domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,minor,0.0196078431372549,0.9803921568627451
blog,chatgpt-roberta,llama70b,minor,0.13725490196078433,0.8627450980392157
blog,detectgpt,llama70b,minor,0.3137254901960784,0.6862745098039216
blog,fastdetectgpt,llama70b,minor,0.09803921568627451,0.9019607843137255
blog,gltr,llama70b,minor,0.45098039215686275,0.5490196078431373
blog,gpt2-base,llama70b,minor,0.11764705882352941,0.8823529411764706
blog,gpt2-large,llama70b,minor,0.21568627450980393,0.7843137254901961
blog,llmdet,llama70b,minor,0.8431372549019608,0.1568627450980392
blog,radar,llama70b,minor,0.4117647058823529,0.5882352941176471
blog,zerogpt,llama70b,minor,0.0392156862745098,0.9607843137254902
email_content,binoculars,llama70b,minor,0.11627906976744186,0.8837209302325582
email_content,chatgpt-roberta,llama70b,minor,0.11627906976744186,0.8837209302325582
email_content,detectgpt,llama70b,minor,0.20930232558139536,0.7906976744186046
email_content,fastdetectgpt,llama70b,minor,0.18604651162790697,0.813953488372093
email_content,gltr,llama70b,minor,0.23255813953488372,0.7674418604651163
email_content,gpt2-base,llama70b,minor,0.32558139534883723,0.6744186046511628
email_content,gpt2-large,llama70b,minor,0.5581395348837209,0.4418604651162791
email_content,llmdet,llama70b,minor,0.8372093023255814,0.16279069767441862
email_content,radar,llama70b,minor,0.4186046511627907,0.5813953488372093
email_content,zerogpt,llama70b,minor,0.06976744186046512,0.9302325581395349
game_review,binoculars,llama70b,minor,0.18,0.82
game_review,chatgpt-roberta,llama70b,minor,0.2,0.8
game_review,detectgpt,llama70b,minor,0.52,0.48
game_review,fastdetectgpt,llama70b,minor,0.2,0.8
game_review,gltr,llama70b,minor,0.56,0.44
game_review,gpt2-base,llama70b,minor,0.42,0.58
game_review,gpt2-large,llama70b,minor,0.38,0.62
game_review,llmdet,llama70b,minor,0.8,0.2
game_review,radar,llama70b,minor,0.26,0.74
game_review,zerogpt,llama70b,minor,0.04,0.96
news,binoculars,llama70b,minor,0.14583333333333334,0.8541666666666666
news,chatgpt-roberta,llama70b,minor,0.6041666666666666,0.3958333333333333
news,detectgpt,llama70b,minor,0.4583333333333333,0.5416666666666666
news,fastdetectgpt,llama70b,minor,0.20833333333333334,0.7916666666666666
news,gltr,llama70b,minor,0.5416666666666666,0.4583333333333333
news,gpt2-base,llama70b,minor,0.16666666666666666,0.8333333333333334
news,gpt2-large,llama70b,minor,0.20833333333333334,0.7916666666666666
news,llmdet,llama70b,minor,0.7708333333333334,0.22916666666666666
news,radar,llama70b,minor,0.020833333333333332,0.9791666666666666
news,zerogpt,llama70b,minor,0.16666666666666666,0.8333333333333334
paper_abstract,binoculars,llama70b,minor,0.09803921568627451,0.9019607843137255
paper_abstract,chatgpt-roberta,llama70b,minor,0.0392156862745098,0.9607843137254902
paper_abstract,detectgpt,llama70b,minor,0.35294117647058826,0.6470588235294118
paper_abstract,fastdetectgpt,llama70b,minor,0.13725490196078433,0.8627450980392157
paper_abstract,gltr,llama70b,minor,0.11764705882352941,0.8823529411764706
paper_abstract,gpt2-base,llama70b,minor,0.13725490196078433,0.8627450980392157
paper_abstract,gpt2-large,llama70b,minor,0.37254901960784315,0.6274509803921569
paper_abstract,llmdet,llama70b,minor,0.37254901960784315,0.6274509803921569
paper_abstract,radar,llama70b,minor,0.0,1.0
paper_abstract,zerogpt,llama70b,minor,0.0392156862745098,0.9607843137254902
speech,binoculars,llama70b,minor,0.22,0.78
speech,chatgpt-roberta,llama70b,minor,0.46,0.54
speech,detectgpt,llama70b,minor,0.5,0.5
speech,fastdetectgpt,llama70b,minor,0.26,0.74
speech,gltr,llama70b,minor,0.62,0.38
speech,gpt2-base,llama70b,minor,0.44,0.56
speech,gpt2-large,llama70b,minor,0.22,0.78
speech,llmdet,llama70b,minor,0.88,0.12
speech,radar,llama70b,minor,0.22,0.78
speech,zerogpt,llama70b,minor,0.32,0.68
