id,model,decoding,repetition_penalty,attack,domain,generation
1,Dolly,none,none,none,NarrativeQA_LLMs,"In the passage provided, barabas is introduced as a man owning more wealth than all of malta. This means he is the richest person on malta. However, when turkish ships arrive to demand tribute, his wealth is seized and he is left penniless. Incensed, he begins a campaign to engineer the downfall of the maltese governor who robbed him. With the aid of his daughter, abigail, he recovers some of his former assets and buys a turkish slave, ithamore, who appears to hate christians as much as barabas does. Barabas then, in revenge for the robbery, uses his daughter's beauty to embitter the governor's son (lodowick) and his friend (mathias) against each other, leading to a duel in which they both die."
2,Dolly,none,none,none,NarrativeQA_LLMs,"Lizzie went down to the brook to visit the goblins to buy some of their fruit. Once she arrived at the stream, the goblins welcomed her and invited her to sit and dine with them. When they realized that lizzie meant to pay with mere silver to buy the goblin-fruits to help another person, they turned upon the girl and pummeled and assaulted her. Lizzie escaped and ran home hoping that laura would eat and drink the pulp and juice from her sister's body. Laura underwent a violent transformation, however, and ate nothing of the goblin fruit. Laura was restored. Both laura and lizzie live to tell their children of the evils of the goblin fruits."
3,GPT4,none,none,none,NarrativeQA_LLMs,"Domino harvey, a former model living in los angeles becomes a bounty hunter when, after being kicked out of college, she notices a newspaper advertisement for a bounty hunter training seminar. Her colleagues are ed moseby, choco and afghan driver alf. They are employed by claremont williams iii, a bail bondsman who also runs an armored car business. Claremont's mistress, lateesha rodriguez, works for the california department of motor vehicles. Her granddaughter mica is suffering from a blood disease and needs an operation that costs $300,000. Claremont sets up the robbery of $10 million"
4,Dolly,none,none,none,NarrativeQA_LLMs,"Gale and evelle returned from prison looking for revenge. They were planning on robbing a ""hayseed"" bank with junior in tow. Nathan arizona sr. Noticed their car and approached them, but nathan sr. Refused smalls offer to get the child back for $50,000. Nathan sr. Believed that smalls was the kidnapper. When smalls arrived, he confronted evelle and gale and tried to take the baby, but they overheard smalls talking about the plan to kidnap junior and reported this to nathan sr. Nathan sr. Knew nathan jr. Was missing and contacted the bounty hunter leonard smalls (randall ""tex"" cobb). When smalls arrived at the bank, he confronted the crooks and tried to take the baby, but one of the bank's dye canisters exploded and shot him. The couple reunited with the child and decided to not inform the police."
5,Dolly,none,none,none,NarrativeQA_LLMs,"The question you present is about truman capote, who was an american author known for his essay ""in cold blood"", based on the true story of the clutter family. The question is about why capote became attached to perry smith. Based on the context, i will give an answer. Capote was impressed by the way perry smith described the crime in detail after drinking to hide his guilt. While reading the new york times, capote was captivated by the details about the crime, which made him eager to speak with perry smith in order to understand the crime in greater depth. In the process of spending more time with perry smith and learning more details about his personal life and how the crime came to be, capote developed feelings for him."
6,Dolly,none,none,none,NarrativeQA_LLMs,"Bateman is enraged by paul allen's business card because paul allen is a co-worker at his investment bank and bateman is jealous that paul allen has a higher profile than him. Bateman tries to murder paul allen because paul allen is a co-worker at his investment bank and bateman is jealous that paul allen has a higher profile than him. Bateman murders a homeless man and his dog because the homeless man and his dog are homeless and they make bateman feel guilty. Bateman invites two prostitutes to his apartment so he can torture them and play music that sounds cathartic, but instead he has sex with the prostitutes and does not torture them. Bateman also invited his secretary jean because he wants to escape his punishment at work and he wants to have a sex surrogate in case he does not get one from his fiancăše."
7,ChatGPT,none,none,none,NarrativeQA_LLMs,"Jenny stays with the alien, who is known as the starman, after she witnesses him use one of his silver spheres to miraculously resurrect a dead deer. This event deeply moves her and changes her initial hostile and fearful attitude towards him. She becomes sympathetic to his situation and decides to help him reach his rendezvous point in arizona, despite being pursued by the authorities. Additionally, as the two of them spend more time together, the starman learns to communicate with jenny and assures her that he means no harm. These factors, coupled with her growing attachment to the starman, ultimately cause her to stay with him and continue their journey towards the barringer crater."
8,StableLM,none,none,none,NarrativeQA_LLMs,"Based on the context provided, it is not clear what diana refused before she left on her journey. The context primarily focuses on the events that take place in the hotel in biskra and the subsequent kidnapping by the eponymous sheik, ahmed ben hassan. However, the passage does describe ahmed's treatment of diana and the realization that he is punishing her because she is english, which may indicate that diana's independence was challenged at some point during the novel. Additionally, the passage mentions ahmed's friend explaining to diana why he hates the english, which suggests that diana's independence may have been challenged at some point. Overall, the passage"
9,ChatGPT,none,none,none,NarrativeQA_LLMs,"In astrology, saturn is not associated with the time of birth, but rather with a specific planet in the solar system. Saturn is one of the seven classical planets in astrology and is associated with structure, discipline, and responsibility. According to astrology, people with a strong saturn influence in their birth chart are thought to be responsible, reliable, and hard-working, and may have a strong sense of duty and a desire for stability and security. On the negative side, a strong saturn influence can also lead to feelings of restriction, limitations, and a tendency towards pessimism and self-doubt. It is important to note that astrology is not a science and that the study of astrology has not been shown to have any basis in scientific evidence."
10,GPT4,none,none,none,NarrativeQA_LLMs,"The prompt provided is a question to answer, task or conversation. The context is about a young woman named liza kemp who lives in vere street, lambeth. She is an 18-year old factory worker who has recently moved in with her mother. She is very popular among the residents of vere street, but she is not interested in tom who likes her. She has a secret relationship with jim blakeston, who is a 40-year old father of five. They have a sexual relationship and jim is trying to win her heart. The novel builds up a sad climax, suggesting that all men are alike in"
