domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,slight_major,0.061224489795918366,0.9387755102040817
blog,chatgpt-roberta,gpt,slight_major,0.08163265306122448,0.9183673469387755
blog,detectgpt,gpt,slight_major,0.24489795918367346,0.7551020408163265
blog,fastdetectgpt,gpt,slight_major,0.0,1.0
blog,gltr,gpt,slight_major,0.2653061224489796,0.7346938775510204
blog,gpt2-base,gpt,slight_major,0.12244897959183673,0.8775510204081632
blog,gpt2-large,gpt,slight_major,0.1836734693877551,0.8163265306122449
blog,llmdet,gpt,slight_major,0.6938775510204082,0.30612244897959184
blog,radar,gpt,slight_major,0.5102040816326531,0.4897959183673469
blog,zerogpt,gpt,slight_major,0.22448979591836735,0.7755102040816326
email_content,binoculars,gpt,slight_major,0.14285714285714285,0.8571428571428571
email_content,chatgpt-roberta,gpt,slight_major,0.14285714285714285,0.8571428571428571
email_content,detectgpt,gpt,slight_major,0.21428571428571427,0.7857142857142857
email_content,fastdetectgpt,gpt,slight_major,0.21428571428571427,0.7857142857142857
email_content,gltr,gpt,slight_major,0.40476190476190477,0.5952380952380952
email_content,gpt2-base,gpt,slight_major,0.3333333333333333,0.6666666666666666
email_content,gpt2-large,gpt,slight_major,0.5952380952380952,0.40476190476190477
email_content,llmdet,gpt,slight_major,0.8571428571428571,0.14285714285714285
email_content,radar,gpt,slight_major,0.42857142857142855,0.5714285714285714
email_content,zerogpt,gpt,slight_major,0.2619047619047619,0.7380952380952381
game_review,binoculars,gpt,slight_major,0.15217391304347827,0.8478260869565217
game_review,chatgpt-roberta,gpt,slight_major,0.1956521739130435,0.8043478260869565
game_review,detectgpt,gpt,slight_major,0.34782608695652173,0.6521739130434783
game_review,fastdetectgpt,gpt,slight_major,0.15217391304347827,0.8478260869565217
game_review,gltr,gpt,slight_major,0.4782608695652174,0.5217391304347826
game_review,gpt2-base,gpt,slight_major,0.2608695652173913,0.7391304347826086
game_review,gpt2-large,gpt,slight_major,0.30434782608695654,0.6956521739130435
game_review,llmdet,gpt,slight_major,0.8043478260869565,0.1956521739130435
game_review,radar,gpt,slight_major,0.34782608695652173,0.6521739130434783
game_review,zerogpt,gpt,slight_major,0.3695652173913043,0.6304347826086957
news,binoculars,gpt,slight_major,0.0625,0.9375
news,chatgpt-roberta,gpt,slight_major,0.6458333333333334,0.3541666666666667
news,detectgpt,gpt,slight_major,0.4166666666666667,0.5833333333333334
news,fastdetectgpt,gpt,slight_major,0.041666666666666664,0.9583333333333334
news,gltr,gpt,slight_major,0.6458333333333334,0.3541666666666667
news,gpt2-base,gpt,slight_major,0.125,0.875
news,gpt2-large,gpt,slight_major,0.1875,0.8125
news,llmdet,gpt,slight_major,0.6875,0.3125
news,radar,gpt,slight_major,0.08333333333333333,0.9166666666666666
news,zerogpt,gpt,slight_major,0.5208333333333334,0.4791666666666667
paper_abstract,binoculars,gpt,slight_major,0.0196078431372549,0.9803921568627451
paper_abstract,chatgpt-roberta,gpt,slight_major,0.058823529411764705,0.9411764705882353
paper_abstract,detectgpt,gpt,slight_major,0.21568627450980393,0.7843137254901961
paper_abstract,fastdetectgpt,gpt,slight_major,0.0392156862745098,0.9607843137254902
paper_abstract,gltr,gpt,slight_major,0.13725490196078433,0.8627450980392157
paper_abstract,gpt2-base,gpt,slight_major,0.0784313725490196,0.9215686274509803
paper_abstract,gpt2-large,gpt,slight_major,0.23529411764705882,0.7647058823529411
paper_abstract,llmdet,gpt,slight_major,0.39215686274509803,0.6078431372549019
paper_abstract,radar,gpt,slight_major,0.0,1.0
paper_abstract,zerogpt,gpt,slight_major,0.09803921568627451,0.9019607843137255
speech,binoculars,gpt,slight_major,0.125,0.875
speech,chatgpt-roberta,gpt,slight_major,0.3125,0.6875
speech,detectgpt,gpt,slight_major,0.375,0.625
speech,fastdetectgpt,gpt,slight_major,0.10416666666666667,0.8958333333333334
speech,gltr,gpt,slight_major,0.5,0.5
speech,gpt2-base,gpt,slight_major,0.22916666666666666,0.7708333333333334
speech,gpt2-large,gpt,slight_major,0.22916666666666666,0.7708333333333334
speech,llmdet,gpt,slight_major,0.7916666666666666,0.20833333333333334
speech,radar,gpt,slight_major,0.3958333333333333,0.6041666666666666
speech,zerogpt,gpt,slight_major,0.5625,0.4375
