id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_extreme_minor,blog,"Another week flew by me. I drove by the new house yesterday and the front window was covered in boxes. We may get the keys at closing, I am getting so excited. If everything goes well this week, we will be set for closing a week from Wednesday. I was up until after 3 00 am last night watching movies with Bethany. There has been a lot of movie watching going on around here lately. Here's my rundown  last night we watched thirteen, a movie every mother of a teenager should see. It was better than I expected. Then we watched Gigli, yes, it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_extreme_minor,blog,"Summer TV used to be a dead zone filled with repeats, but now there are two great new shows I've been watching religiously for the past week. The most absurd concept I've come across recently is a hairstylist, Jonathan Antin, planning to open a second location for his extremely popular West Hollywood salon in Beverly Hills. Normally, I wouldn't care, but while flipping through channels, I caught a glimpse of Jonathan, looking equally narcissistic and dull, speaking in a public voice on Rodeo Drive, 'I'm going to build here the greatest salon in the history of the world!' - and I was hooked. Not since Rocco have I found someone as captivatingly clueless on TV."
3,hybrid,none,none,polish_extreme_minor,blog,"What a week has been a challenging one for me. My right shoulder has tendonitis, located under my shoulder blade. As a result, when I move my arm excessively, especially when using a mouse on a computer, it becomes excruciatingly painful. I've been on a marathon of updates to my website and working on other online projects, which has left me with limited mobility. I'm struggling to muster the strength to draw or perform any physical activity. The lack of sleep is exacerbating my discomfort. I'm not feeling particularly thrilled at the moment, but I'm confident that I'll make a full recovery. My mom's surgery went well, and her eyesight has shown some improvement. She can now distinguish between fuzzy shapes and identify basic colors. While she still faces challenges, I'm hopeful that she'll regain her full vision soon."
4,hybrid,none,none,polish_extreme_minor,blog,"I recently attempted to do laundry with the kids in tow and was struck by how quickly the simplest tasks can become a daunting ordeal. I also discovered how remarkably sweet total strangers can be, simply because they feel like being kind. Trust me, it wasn't as if they were trying to gain anything from me. I had a child's drool all over me and was wearing my 'wash-day' outfit. Additionally, I'm not sure I'll ever be bathing again, so there wasn't an olfactory incentive there! I'm doing two things simultaneously. I'm composing this post and watching collected notes from videos. I'm doing both of these tasks at my desk in my room."
5,hybrid,none,none,polish_extreme_minor,blog,"It's 11 14 pm MST, and I'm currently in my bedroom fixing the personal computer of my job's personnel director. While I don't mind doing it, I sometimes wonder how often I find myself fixing someone else's computer out of obligation. I'm glad to be able to serve and support people in this way, but I often ponder where the line is drawn where it becomes exploitative. Over the past couple of weeks, I've been staying up late reading and such, so I was looking forward to an early bedtime, until I realized it would be more practical to return the computer to its owner. *chuckle* No rest for the weary, indeed. As I settled in, I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_extreme_minor,blog,"Remind me, what did I write about before this? Or, a continuation in the 'Is This a Date?' saga, so after the weird lunch, my confidence shook, I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Duston starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding and realizing that we're talking more about finding Duston's best friend a girl than discussing whatever it is you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and then silently asked myself  Am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_extreme_minor,blog,"I would like everyone to take a moment to think before acting. In fact, I'd like each and every person in the world to pause before getting out of bed in the morning, and make a commitment to think critically all day. If they're not prepared to do so, I'd like them to consider going back to bed and taking a more thoughtful approach. I'm tired of people who act impulsively. Not being the most intelligent person, I believe it's reasonable to call out the absurdity of some situations. Let's focus on a few specific examples for now, and save others for another time, sound good?"
8,hybrid,none,none,polish_extreme_minor,blog,"Two issues with the scenario outlined in my previous post  1. While the Bush administration's stimulus efforts are stimulating the economy, they are doing so in the wrong way. According to Robert Rubin, who spoke on NPR, the same stimulus effect could have been achieved without the long-term debt hangover by enacting targeted tax cuts, temporary tax cuts that would benefit low- and middle-income individuals. Ah, Robert Rubin, a name that resonates well with us. Quickly, can you name a Bush administration cabinet official with Rubin's gravitas? Still thinking... it will come to you... 2. We cannot hand over control to the Republicans solely during wartime, as they have cleverly crafted an endless, global 'war on terrorism.'"
9,hybrid,none,none,polish_extreme_minor,blog,"She's saying I'm on the run, I'm chasing guys for fun. The Offspring haven't updated in a while, but there's not much to say. Went to the cove to see Supernova; they were good as usual, got to chill with Tiago. Sat. Went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home around quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good; I did my full-on floor and didn't fall, second on floor and vault, and third on beam, with a score of 29.45, which isn't bad because my meets get better as the season goes on."
10,hybrid,none,none,polish_extreme_minor,blog,"Do you ever have those moments when you begin to reflect on life? Like, sitting in math class, feeling utterly bored, and wondering what exactly goes on in your brain that makes you understand math? And you realize that you exist and you're in math class, and you wonder why. Then you suddenly realize how amazing existing is. And it hits you - the fact that you're going on this random train of thought is incredibly pathetic. Ever had that happen? I hate that. You know what else I hate? Block schedules. Who would ever come up with that idea? Anyone can see that sitting through a two-and-a-half-hour class in any subject is cruel and an unusual punishment."
