domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,average,0.03081663434604611,0.9691833656539538
blog,chatgpt-roberta,gpt,average,0.07828054298642532,0.9217194570135747
blog,detectgpt,gpt,average,0.19216548157724625,0.8078345184227537
blog,fastdetectgpt,gpt,average,0.044826546003016596,0.9551734539969834
blog,gltr,gpt,average,0.27082740788623144,0.7291725921137687
blog,gpt2-base,gpt,average,0.07531566472742944,0.9246843352725705
blog,gpt2-large,gpt,average,0.1840379228614523,0.8159620771385476
blog,llmdet,gpt,average,0.6883430295195001,0.31165697048049984
blog,radar,gpt,average,0.4270652876535229,0.572934712346477
blog,zerogpt,gpt,average,0.036418875242404655,0.9635811247575955
email_content,binoculars,gpt,average,0.03986710963455149,0.9601328903654485
email_content,chatgpt-roberta,gpt,average,0.10299003322259136,0.8970099667774086
email_content,detectgpt,gpt,average,0.25249169435215946,0.7475083056478404
email_content,fastdetectgpt,gpt,average,0.14950166112956811,0.8504983388704318
email_content,gltr,gpt,average,0.16943521594684383,0.8305647840531561
email_content,gpt2-base,gpt,average,0.31561461794019935,0.6843853820598007
email_content,gpt2-large,gpt,average,0.42524916943521596,0.574750830564784
email_content,llmdet,gpt,average,0.8305647840531561,0.16943521594684388
email_content,radar,gpt,average,0.4252491694352159,0.574750830564784
email_content,zerogpt,gpt,average,0.0664451827242525,0.9335548172757474
game_review,binoculars,gpt,average,0.09449036757560167,0.9055096324243983
game_review,chatgpt-roberta,gpt,average,0.14639455782312924,0.8536054421768708
game_review,detectgpt,gpt,average,0.3286320242382667,0.6713679757617331
game_review,fastdetectgpt,gpt,average,0.12867318355913793,0.8713268164408621
game_review,gltr,gpt,average,0.423229863373921,0.576770136626079
game_review,gpt2-base,gpt,average,0.32234150803178413,0.6776584919682158
game_review,gpt2-large,gpt,average,0.32279654719030465,0.6772034528096953
game_review,llmdet,gpt,average,0.7084193677470988,0.29158063225290115
game_review,radar,gpt,average,0.17279940547647632,0.8272005945235238
game_review,zerogpt,gpt,average,0.0319533527696793,0.9680466472303205
news,binoculars,gpt,average,0.06141642371234208,0.9385835762876579
news,chatgpt-roberta,gpt,average,0.5378206997084548,0.46217930029154525
news,detectgpt,gpt,average,0.41385082604470363,0.5861491739552963
news,fastdetectgpt,gpt,average,0.1480636540330418,0.8519363459669582
news,gltr,gpt,average,0.504851797862002,0.49514820213799815
news,gpt2-base,gpt,average,0.10801263362487852,0.8919873663751214
news,gpt2-large,gpt,average,0.1809791059280855,0.8190208940719145
news,llmdet,gpt,average,0.7207021379980564,0.2792978620019436
news,radar,gpt,average,0.03802964042759961,0.9619703595724004
news,zerogpt,gpt,average,0.16098639455782315,0.8390136054421768
paper_abstract,binoculars,gpt,average,0.06722689075630252,0.9327731092436975
paper_abstract,chatgpt-roberta,gpt,average,0.025210084033613443,0.9747899159663866
paper_abstract,detectgpt,gpt,average,0.25490196078431376,0.7450980392156863
paper_abstract,fastdetectgpt,gpt,average,0.08123249299719888,0.9187675070028012
paper_abstract,gltr,gpt,average,0.07843137254901962,0.9215686274509804
paper_abstract,gpt2-base,gpt,average,0.16526610644257703,0.8347338935574229
paper_abstract,gpt2-large,gpt,average,0.2913165266106443,0.7086834733893558
paper_abstract,llmdet,gpt,average,0.40896358543417366,0.5910364145658262
paper_abstract,radar,gpt,average,0.0,1.0
paper_abstract,zerogpt,gpt,average,0.04761904761904762,0.9523809523809524
speech,binoculars,gpt,average,0.06476190476190476,0.9352380952380953
speech,chatgpt-roberta,gpt,average,0.3719327731092437,0.6280672268907563
speech,detectgpt,gpt,average,0.3715406162464986,0.6284593837535014
speech,fastdetectgpt,gpt,average,0.08442577030812325,0.9155742296918767
speech,gltr,gpt,average,0.5630252100840336,0.43697478991596644
speech,gpt2-base,gpt,average,0.33507002801120445,0.6649299719887957
speech,gpt2-large,gpt,average,0.2561904761904762,0.7438095238095238
speech,llmdet,gpt,average,0.7938935574229691,0.20610644257703084
speech,radar,gpt,average,0.22565826330532213,0.774341736694678
speech,zerogpt,gpt,average,0.23703081232492998,0.76296918767507
