domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,average,0.13240695366292415,0.8675930463370758
blog,chatgpt-roberta,llama,average,0.13786551702747968,0.8621344829725203
blog,detectgpt,llama,average,0.24012788702106985,0.7598721129789302
blog,fastdetectgpt,llama,average,0.11448891714740607,0.8855110828525941
blog,gltr,llama,average,0.3315189814527635,0.6684810185472365
blog,gpt2-base,llama,average,0.209013191902901,0.7909868080970991
blog,gpt2-large,llama,average,0.36462683249591626,0.6353731675040838
blog,llmdet,llama,average,0.6888484998862766,0.31115150011372333
blog,radar,llama,average,0.5487365858197382,0.4512634141802618
blog,zerogpt,llama,average,0.061859531046461136,0.9381404689535389
email_content,binoculars,llama,average,0.029689608636977057,0.9703103913630231
email_content,chatgpt-roberta,llama,average,0.05509983526671588,0.9449001647332841
email_content,detectgpt,llama,average,0.14132775653956656,0.8586722434604334
email_content,fastdetectgpt,llama,average,0.08410488384814443,0.9158951161518555
email_content,gltr,llama,average,0.23168576538281288,0.7683142346171872
email_content,gpt2-base,llama,average,0.41152521704511436,0.5884747829548856
email_content,gpt2-large,llama,average,0.5627612652644746,0.43723873473552555
email_content,llmdet,llama,average,0.6308226789613183,0.36917732103868167
email_content,radar,llama,average,0.6038254642234103,0.3961745357765897
email_content,zerogpt,llama,average,0.06264880462569808,0.937351195374302
game_review,binoculars,llama,average,0.18381789348486852,0.8161821065151313
game_review,chatgpt-roberta,llama,average,0.162718162195498,0.837281837804502
game_review,detectgpt,llama,average,0.3678811506101053,0.6321188493898947
game_review,fastdetectgpt,llama,average,0.15005770670895555,0.8499422932910444
game_review,gltr,llama,average,0.4364053345667592,0.5635946654332409
game_review,gpt2-base,llama,average,0.4332598784194529,0.5667401215805471
game_review,gpt2-large,llama,average,0.41690982776089164,0.5830901722391084
game_review,llmdet,llama,average,0.7527145279943614,0.24728547200563852
game_review,radar,llama,average,0.29561715342936434,0.7043828465706357
game_review,zerogpt,llama,average,0.045487423461521515,0.9545125765384785
news,binoculars,llama,average,0.12694360013508948,0.8730563998649103
news,chatgpt-roberta,llama,average,0.5211710570753124,0.47882894292468764
news,detectgpt,llama,average,0.4204415737926376,0.5795584262073623
news,fastdetectgpt,llama,average,0.14348277608915908,0.856517223910841
news,gltr,llama,average,0.45330547112462005,0.5466945288753801
news,gpt2-base,llama,average,0.22311719013846673,0.7768828098615332
news,gpt2-large,llama,average,0.2781805133400878,0.7218194866599122
news,llmdet,llama,average,0.6351376224248565,0.36486237757514356
news,radar,llama,average,0.1708400878081729,0.829159912191827
news,zerogpt,llama,average,0.14243583248902397,0.8575641675109759
paper_abstract,binoculars,llama,average,0.10924369747899161,0.8907563025210086
paper_abstract,chatgpt-roberta,llama,average,0.01680672268907563,0.9831932773109244
paper_abstract,detectgpt,llama,average,0.17366946778711484,0.826330532212885
paper_abstract,fastdetectgpt,llama,average,0.10924369747899162,0.8907563025210086
paper_abstract,gltr,llama,average,0.07563025210084033,0.9243697478991598
paper_abstract,gpt2-base,llama,average,0.24369747899159666,0.7563025210084033
paper_abstract,gpt2-large,llama,average,0.40616246498599434,0.5938375350140056
paper_abstract,llmdet,llama,average,0.3053221288515406,0.6946778711484595
paper_abstract,radar,llama,average,0.019607843137254905,0.9803921568627452
paper_abstract,zerogpt,llama,average,0.03641456582633053,0.9635854341736695
speech,binoculars,llama,average,0.17188452280608293,0.828115477193917
speech,chatgpt-roberta,llama,average,0.37811335476439817,0.6218866452356019
speech,detectgpt,llama,average,0.4277808539829305,0.5722191460170694
speech,fastdetectgpt,llama,average,0.14715936830659318,0.8528406316934071
speech,gltr,llama,average,0.6548807729778842,0.34511922702211584
speech,gpt2-base,llama,average,0.35325301549191107,0.646746984508089
speech,gpt2-large,llama,average,0.3154153910804443,0.6845846089195557
speech,llmdet,llama,average,0.7928096284106347,0.2071903715893652
speech,radar,llama,average,0.32329180608413577,0.6767081939158642
speech,zerogpt,llama,average,0.29972265197872466,0.7002773480212754
