domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,10,0.22580645161290322,0.7741935483870968
blog,chatgpt-roberta,llama2,10,0.1935483870967742,0.8064516129032258
blog,detectgpt,llama2,10,0.25806451612903225,0.7419354838709677
blog,fastdetectgpt,llama2,10,0.22580645161290322,0.7741935483870968
blog,gltr,llama2,10,0.3870967741935484,0.6129032258064516
blog,gpt2-base,llama2,10,0.3225806451612903,0.6774193548387096
blog,gpt2-large,llama2,10,0.45161290322580644,0.5483870967741935
blog,llmdet,llama2,10,0.7096774193548387,0.2903225806451613
blog,radar,llama2,10,0.6129032258064516,0.3870967741935484
blog,zerogpt,llama2,10,0.0967741935483871,0.9032258064516129
email_content,binoculars,llama2,10,0.2631578947368421,0.7368421052631579
email_content,chatgpt-roberta,llama2,10,0.05263157894736842,0.9473684210526315
email_content,detectgpt,llama2,10,0.2631578947368421,0.7368421052631579
email_content,fastdetectgpt,llama2,10,0.21052631578947367,0.7894736842105263
email_content,gltr,llama2,10,0.2631578947368421,0.7368421052631579
email_content,gpt2-base,llama2,10,0.47368421052631576,0.5263157894736842
email_content,gpt2-large,llama2,10,0.631578947368421,0.3684210526315789
email_content,llmdet,llama2,10,0.9473684210526315,0.05263157894736842
email_content,radar,llama2,10,0.5263157894736842,0.47368421052631576
email_content,zerogpt,llama2,10,0.15789473684210525,0.8421052631578947
game_review,binoculars,llama2,10,0.4,0.6
game_review,chatgpt-roberta,llama2,10,0.4,0.6
game_review,detectgpt,llama2,10,0.5666666666666667,0.43333333333333335
game_review,fastdetectgpt,llama2,10,0.4666666666666667,0.5333333333333333
game_review,gltr,llama2,10,0.4,0.6
game_review,gpt2-base,llama2,10,0.6666666666666666,0.3333333333333333
game_review,gpt2-large,llama2,10,0.6,0.4
game_review,llmdet,llama2,10,0.7666666666666667,0.23333333333333334
game_review,radar,llama2,10,0.6333333333333333,0.36666666666666664
game_review,zerogpt,llama2,10,0.3,0.7
news,binoculars,llama2,10,0.35714285714285715,0.6428571428571429
news,chatgpt-roberta,llama2,10,0.6785714285714286,0.32142857142857145
news,detectgpt,llama2,10,0.4642857142857143,0.5357142857142857
news,fastdetectgpt,llama2,10,0.32142857142857145,0.6785714285714286
news,gltr,llama2,10,0.6785714285714286,0.32142857142857145
news,gpt2-base,llama2,10,0.5,0.5
news,gpt2-large,llama2,10,0.5714285714285714,0.42857142857142855
news,llmdet,llama2,10,0.7142857142857143,0.2857142857142857
news,radar,llama2,10,0.14285714285714285,0.8571428571428571
news,zerogpt,llama2,10,0.32142857142857145,0.6785714285714286
paper_abstract,binoculars,llama2,10,0.35,0.65
paper_abstract,chatgpt-roberta,llama2,10,0.175,0.825
paper_abstract,detectgpt,llama2,10,0.375,0.625
paper_abstract,fastdetectgpt,llama2,10,0.375,0.625
paper_abstract,gltr,llama2,10,0.3,0.7
paper_abstract,gpt2-base,llama2,10,0.25,0.75
paper_abstract,gpt2-large,llama2,10,0.45,0.55
paper_abstract,llmdet,llama2,10,0.35,0.65
paper_abstract,radar,llama2,10,0.1,0.9
paper_abstract,zerogpt,llama2,10,0.15,0.85
speech,binoculars,llama2,10,0.37037037037037035,0.6296296296296297
speech,chatgpt-roberta,llama2,10,0.4074074074074074,0.5925925925925926
speech,detectgpt,llama2,10,0.5925925925925926,0.4074074074074074
speech,fastdetectgpt,llama2,10,0.2962962962962963,0.7037037037037037
speech,gltr,llama2,10,0.5185185185185185,0.48148148148148145
speech,gpt2-base,llama2,10,0.4444444444444444,0.5555555555555556
speech,gpt2-large,llama2,10,0.48148148148148145,0.5185185185185185
speech,llmdet,llama2,10,0.8148148148148148,0.18518518518518517
speech,radar,llama2,10,0.5925925925925926,0.4074074074074074
speech,zerogpt,llama2,10,0.4444444444444444,0.5555555555555556
