domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,slight_major,0.32653061224489793,0.673469387755102
blog,chatgpt-roberta,llama70b,slight_major,0.1836734693877551,0.8163265306122449
blog,detectgpt,llama70b,slight_major,0.40816326530612246,0.5918367346938775
blog,fastdetectgpt,llama70b,slight_major,0.2857142857142857,0.7142857142857143
blog,gltr,llama70b,slight_major,0.5714285714285714,0.42857142857142855
blog,gpt2-base,llama70b,slight_major,0.16326530612244897,0.8367346938775511
blog,gpt2-large,llama70b,slight_major,0.30612244897959184,0.6938775510204082
blog,llmdet,llama70b,slight_major,0.7959183673469388,0.20408163265306123
blog,radar,llama70b,slight_major,0.5918367346938775,0.40816326530612246
blog,zerogpt,llama70b,slight_major,0.32653061224489793,0.673469387755102
email_content,binoculars,llama70b,slight_major,0.11904761904761904,0.8809523809523809
email_content,chatgpt-roberta,llama70b,slight_major,0.14285714285714285,0.8571428571428571
email_content,detectgpt,llama70b,slight_major,0.2857142857142857,0.7142857142857143
email_content,fastdetectgpt,llama70b,slight_major,0.14285714285714285,0.8571428571428571
email_content,gltr,llama70b,slight_major,0.2857142857142857,0.7142857142857143
email_content,gpt2-base,llama70b,slight_major,0.35714285714285715,0.6428571428571429
email_content,gpt2-large,llama70b,slight_major,0.6190476190476191,0.38095238095238093
email_content,llmdet,llama70b,slight_major,0.9285714285714286,0.07142857142857142
email_content,radar,llama70b,slight_major,0.3333333333333333,0.6666666666666666
email_content,zerogpt,llama70b,slight_major,0.16666666666666666,0.8333333333333334
game_review,binoculars,llama70b,slight_major,0.5,0.5
game_review,chatgpt-roberta,llama70b,slight_major,0.3333333333333333,0.6666666666666666
game_review,detectgpt,llama70b,slight_major,0.5952380952380952,0.40476190476190477
game_review,fastdetectgpt,llama70b,slight_major,0.5,0.5
game_review,gltr,llama70b,slight_major,0.6190476190476191,0.38095238095238093
game_review,gpt2-base,llama70b,slight_major,0.4523809523809524,0.5476190476190477
game_review,gpt2-large,llama70b,slight_major,0.47619047619047616,0.5238095238095238
game_review,llmdet,llama70b,slight_major,0.8333333333333334,0.16666666666666666
game_review,radar,llama70b,slight_major,0.35714285714285715,0.6428571428571429
game_review,zerogpt,llama70b,slight_major,0.42857142857142855,0.5714285714285714
news,binoculars,llama70b,slight_major,0.14285714285714285,0.8571428571428571
news,chatgpt-roberta,llama70b,slight_major,0.7959183673469388,0.20408163265306123
news,detectgpt,llama70b,slight_major,0.5306122448979592,0.46938775510204084
news,fastdetectgpt,llama70b,slight_major,0.1836734693877551,0.8163265306122449
news,gltr,llama70b,slight_major,0.5918367346938775,0.40816326530612246
news,gpt2-base,llama70b,slight_major,0.08163265306122448,0.9183673469387755
news,gpt2-large,llama70b,slight_major,0.22448979591836735,0.7755102040816326
news,llmdet,llama70b,slight_major,0.7346938775510204,0.2653061224489796
news,radar,llama70b,slight_major,0.061224489795918366,0.9387755102040817
news,zerogpt,llama70b,slight_major,0.5306122448979592,0.46938775510204084
paper_abstract,binoculars,llama70b,slight_major,0.12,0.88
paper_abstract,chatgpt-roberta,llama70b,slight_major,0.04,0.96
paper_abstract,detectgpt,llama70b,slight_major,0.28,0.72
paper_abstract,fastdetectgpt,llama70b,slight_major,0.14,0.86
paper_abstract,gltr,llama70b,slight_major,0.04,0.96
paper_abstract,gpt2-base,llama70b,slight_major,0.14,0.86
paper_abstract,gpt2-large,llama70b,slight_major,0.22,0.78
paper_abstract,llmdet,llama70b,slight_major,0.34,0.66
paper_abstract,radar,llama70b,slight_major,0.0,1.0
paper_abstract,zerogpt,llama70b,slight_major,0.12,0.88
speech,binoculars,llama70b,slight_major,0.32653061224489793,0.673469387755102
speech,chatgpt-roberta,llama70b,slight_major,0.6530612244897959,0.3469387755102041
speech,detectgpt,llama70b,slight_major,0.4489795918367347,0.5510204081632653
speech,fastdetectgpt,llama70b,slight_major,0.2857142857142857,0.7142857142857143
speech,gltr,llama70b,slight_major,0.5918367346938775,0.40816326530612246
speech,gpt2-base,llama70b,slight_major,0.2857142857142857,0.7142857142857143
speech,gpt2-large,llama70b,slight_major,0.3469387755102041,0.6530612244897959
speech,llmdet,llama70b,slight_major,0.8163265306122449,0.1836734693877551
speech,radar,llama70b,slight_major,0.4489795918367347,0.5510204081632653
speech,zerogpt,llama70b,slight_major,0.6938775510204082,0.30612244897959184
