domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,average,0.0451255886970172,0.9548744113029828
blog,chatgpt-roberta,gpt,average,0.1102629513343799,0.8897370486656202
blog,detectgpt,gpt,average,0.3447135007849293,0.6552864992150707
blog,fastdetectgpt,gpt,average,0.0545368916797488,0.9454631083202512
blog,gltr,gpt,average,0.3349960753532182,0.6650039246467818
blog,gpt2-base,gpt,average,0.1054552590266875,0.8945447409733124
blog,gpt2-large,gpt,average,0.1851177394034537,0.8148822605965463
blog,llmdet,gpt,average,0.739348508634223,0.2606514913657771
blog,radar,gpt,average,0.4821507064364207,0.5178492935635792
blog,zerogpt,gpt,average,0.1826648351648351,0.8173351648351648
email_content,binoculars,gpt,average,0.108970099667774,0.891029900332226
email_content,chatgpt-roberta,gpt,average,0.1188538205980066,0.8811461794019934
email_content,detectgpt,gpt,average,0.2189784053156146,0.7810215946843854
email_content,fastdetectgpt,gpt,average,0.2104028239202657,0.7895971760797342
email_content,gltr,gpt,average,0.3290974529346622,0.6709025470653378
email_content,gpt2-base,gpt,average,0.3140019379844961,0.6859980620155038
email_content,gpt2-large,gpt,average,0.4983734772978959,0.5016265227021041
email_content,llmdet,gpt,average,0.8869601328903655,0.1130398671096345
email_content,radar,gpt,average,0.4231312292358803,0.5768687707641196
email_content,zerogpt,gpt,average,0.1811738648947951,0.8188261351052049
game_review,binoculars,gpt,average,0.1495551061678463,0.8504448938321537
game_review,chatgpt-roberta,gpt,average,0.1646107178968655,0.8353892821031345
game_review,detectgpt,gpt,average,0.4306774519716886,0.5693225480283114
game_review,fastdetectgpt,gpt,average,0.2061830131445904,0.7938169868554096
game_review,gltr,gpt,average,0.4734024266936299,0.5265975733063701
game_review,gpt2-base,gpt,average,0.3066127401415571,0.6933872598584429
game_review,gpt2-large,gpt,average,0.3366683518705763,0.6633316481294237
game_review,llmdet,gpt,average,0.8071334681496461,0.1928665318503539
game_review,radar,gpt,average,0.2882355915065723,0.7117644084934278
game_review,zerogpt,gpt,average,0.2428564206268958,0.7571435793731042
news,binoculars,gpt,average,0.0781050354924578,0.9218949645075422
news,chatgpt-roberta,gpt,average,0.674479628808045,0.325520371191955
news,detectgpt,gpt,average,0.485617420881396,0.514382579118604
news,fastdetectgpt,gpt,average,0.1190457704821058,0.8809542295178941
news,gltr,gpt,average,0.6365648107068914,0.3634351892931086
news,gpt2-base,gpt,average,0.1244709405501331,0.8755290594498669
news,gpt2-large,gpt,average,0.2182148402839396,0.7817851597160603
news,llmdet,gpt,average,0.7533745563442769,0.2466254436557231
news,radar,gpt,average,0.0523417627920733,0.9476582372079266
news,zerogpt,gpt,average,0.3989128586217095,0.6010871413782904
paper_abstract,binoculars,gpt,average,0.069313725490196,0.930686274509804
paper_abstract,chatgpt-roberta,gpt,average,0.0642156862745098,0.9357843137254902
paper_abstract,detectgpt,gpt,average,0.2224509803921568,0.7775490196078431
paper_abstract,fastdetectgpt,gpt,average,0.0842156862745098,0.9157843137254902
paper_abstract,gltr,gpt,average,0.0985294117647058,0.901470588235294
paper_abstract,gpt2-base,gpt,average,0.1236274509803921,0.8763725490196078
paper_abstract,gpt2-large,gpt,average,0.262156862745098,0.7378431372549019
paper_abstract,llmdet,gpt,average,0.4156862745098039,0.5843137254901961
paper_abstract,radar,gpt,average,0.0,1.0
paper_abstract,zerogpt,gpt,average,0.084313725490196,0.915686274509804
speech,binoculars,gpt,average,0.133125,0.866875
speech,chatgpt-roberta,gpt,average,0.3666666666666667,0.6333333333333333
speech,detectgpt,gpt,average,0.4639583333333333,0.5360416666666666
speech,fastdetectgpt,gpt,average,0.1322916666666667,0.8677083333333333
speech,gltr,gpt,average,0.5702083333333333,0.4297916666666667
speech,gpt2-base,gpt,average,0.3247916666666667,0.6752083333333333
speech,gpt2-large,gpt,average,0.2697916666666666,0.7302083333333333
speech,llmdet,gpt,average,0.785,0.215
speech,radar,gpt,average,0.318125,0.681875
speech,zerogpt,gpt,average,0.4727083333333334,0.5272916666666666
blog,binoculars,gpt,extreme_minor,0.0384615384615384,0.9615384615384616
blog,chatgpt-roberta,gpt,extreme_minor,0.0961538461538461,0.903846153846154
blog,detectgpt,gpt,extreme_minor,0.3653846153846153,0.6346153846153846
blog,fastdetectgpt,gpt,extreme_minor,0.0769230769230769,0.9230769230769232
blog,gltr,gpt,extreme_minor,0.3269230769230769,0.6730769230769231
blog,gpt2-base,gpt,extreme_minor,0.0769230769230769,0.9230769230769232
blog,gpt2-large,gpt,extreme_minor,0.1923076923076923,0.8076923076923077
blog,llmdet,gpt,extreme_minor,0.7692307692307693,0.2307692307692307
blog,radar,gpt,extreme_minor,0.3461538461538461,0.6538461538461539
blog,zerogpt,gpt,extreme_minor,0.0192307692307692,0.9807692307692308
email_content,binoculars,gpt,extreme_minor,0.0232558139534883,0.9767441860465116
email_content,chatgpt-roberta,gpt,extreme_minor,0.1162790697674418,0.8837209302325582
email_content,detectgpt,gpt,extreme_minor,0.2325581395348837,0.7674418604651163
email_content,fastdetectgpt,gpt,extreme_minor,0.1627906976744186,0.8372093023255814
email_content,gltr,gpt,extreme_minor,0.1627906976744186,0.8372093023255814
email_content,gpt2-base,gpt,extreme_minor,0.3023255813953488,0.6976744186046512
email_content,gpt2-large,gpt,extreme_minor,0.5348837209302325,0.4651162790697674
email_content,llmdet,gpt,extreme_minor,0.8837209302325582,0.1162790697674418
email_content,radar,gpt,extreme_minor,0.3953488372093023,0.6046511627906976
email_content,zerogpt,gpt,extreme_minor,0.0697674418604651,0.9302325581395348
game_review,binoculars,gpt,extreme_minor,0.1,0.9
game_review,chatgpt-roberta,gpt,extreme_minor,0.14,0.86
game_review,detectgpt,gpt,extreme_minor,0.42,0.58
game_review,fastdetectgpt,gpt,extreme_minor,0.26,0.74
game_review,gltr,gpt,extreme_minor,0.46,0.54
game_review,gpt2-base,gpt,extreme_minor,0.42,0.58
game_review,gpt2-large,gpt,extreme_minor,0.4,0.6
game_review,llmdet,gpt,extreme_minor,0.82,0.18
game_review,radar,gpt,extreme_minor,0.14,0.86
game_review,zerogpt,gpt,extreme_minor,0.04,0.96
news,binoculars,gpt,extreme_minor,0.08,0.92
news,chatgpt-roberta,gpt,extreme_minor,0.6,0.4
news,detectgpt,gpt,extreme_minor,0.54,0.46
news,fastdetectgpt,gpt,extreme_minor,0.1,0.9
news,gltr,gpt,extreme_minor,0.64,0.36
news,gpt2-base,gpt,extreme_minor,0.12,0.88
news,gpt2-large,gpt,extreme_minor,0.2,0.8
news,llmdet,gpt,extreme_minor,0.7,0.3
news,radar,gpt,extreme_minor,0.02,0.98
news,zerogpt,gpt,extreme_minor,0.16,0.84
paper_abstract,binoculars,gpt,extreme_minor,0.1176470588235294,0.8823529411764706
paper_abstract,chatgpt-roberta,gpt,extreme_minor,0.0980392156862745,0.9019607843137256
paper_abstract,detectgpt,gpt,extreme_minor,0.2941176470588235,0.7058823529411765
paper_abstract,fastdetectgpt,gpt,extreme_minor,0.1176470588235294,0.8823529411764706
paper_abstract,gltr,gpt,extreme_minor,0.1568627450980392,0.8431372549019608
paper_abstract,gpt2-base,gpt,extreme_minor,0.196078431372549,0.803921568627451
paper_abstract,gpt2-large,gpt,extreme_minor,0.3333333333333333,0.6666666666666666
paper_abstract,llmdet,gpt,extreme_minor,0.4705882352941176,0.5294117647058824
paper_abstract,radar,gpt,extreme_minor,0.0,1.0
paper_abstract,zerogpt,gpt,extreme_minor,0.0392156862745098,0.9607843137254902
speech,binoculars,gpt,extreme_minor,0.06,0.94
speech,chatgpt-roberta,gpt,extreme_minor,0.38,0.62
speech,detectgpt,gpt,extreme_minor,0.46,0.54
speech,fastdetectgpt,gpt,extreme_minor,0.14,0.86
speech,gltr,gpt,extreme_minor,0.68,0.32
speech,gpt2-base,gpt,extreme_minor,0.4,0.6
speech,gpt2-large,gpt,extreme_minor,0.3,0.7
speech,llmdet,gpt,extreme_minor,0.86,0.14
speech,radar,gpt,extreme_minor,0.16,0.84
speech,zerogpt,gpt,extreme_minor,0.24,0.76
blog,binoculars,gpt,minor,0.04,0.96
blog,chatgpt-roberta,gpt,minor,0.1,0.9
blog,detectgpt,gpt,minor,0.34,0.66
blog,fastdetectgpt,gpt,minor,0.08,0.92
blog,gltr,gpt,minor,0.36,0.64
blog,gpt2-base,gpt,minor,0.1,0.9
blog,gpt2-large,gpt,minor,0.14,0.86
blog,llmdet,gpt,minor,0.78,0.22
blog,radar,gpt,minor,0.46,0.54
blog,zerogpt,gpt,minor,0.14,0.86
email_content,binoculars,gpt,minor,0.0697674418604651,0.9302325581395348
email_content,chatgpt-roberta,gpt,minor,0.1162790697674418,0.8837209302325582
email_content,detectgpt,gpt,minor,0.2790697674418604,0.7209302325581395
email_content,fastdetectgpt,gpt,minor,0.1395348837209302,0.8604651162790697
email_content,gltr,gpt,minor,0.3488372093023256,0.6511627906976745
email_content,gpt2-base,gpt,minor,0.3953488372093023,0.6046511627906976
email_content,gpt2-large,gpt,minor,0.4883720930232558,0.5116279069767442
email_content,llmdet,gpt,minor,0.9069767441860463,0.0930232558139534
email_content,radar,gpt,minor,0.4186046511627907,0.5813953488372093
email_content,zerogpt,gpt,minor,0.0930232558139534,0.9069767441860463
game_review,binoculars,gpt,minor,0.16,0.84
game_review,chatgpt-roberta,gpt,minor,0.16,0.84
game_review,detectgpt,gpt,minor,0.42,0.58
game_review,fastdetectgpt,gpt,minor,0.18,0.82
game_review,gltr,gpt,minor,0.56,0.44
game_review,gpt2-base,gpt,minor,0.22,0.78
game_review,gpt2-large,gpt,minor,0.34,0.66
game_review,llmdet,gpt,minor,0.86,0.14
game_review,radar,gpt,minor,0.2,0.8
game_review,zerogpt,gpt,minor,0.12,0.88
news,binoculars,gpt,minor,0.0612244897959183,0.9387755102040816
news,chatgpt-roberta,gpt,minor,0.7346938775510204,0.2653061224489796
news,detectgpt,gpt,minor,0.5510204081632653,0.4489795918367347
news,fastdetectgpt,gpt,minor,0.2040816326530612,0.7959183673469388
news,gltr,gpt,minor,0.673469387755102,0.3265306122448979
news,gpt2-base,gpt,minor,0.1224489795918367,0.8775510204081632
news,gpt2-large,gpt,minor,0.2244897959183673,0.7755102040816326
news,llmdet,gpt,minor,0.7346938775510204,0.2653061224489796
news,radar,gpt,minor,0.0408163265306122,0.9591836734693876
news,zerogpt,gpt,minor,0.3061224489795918,0.6938775510204082
paper_abstract,binoculars,gpt,minor,0.1,0.9
paper_abstract,chatgpt-roberta,gpt,minor,0.06,0.94
paper_abstract,detectgpt,gpt,minor,0.2,0.8
paper_abstract,fastdetectgpt,gpt,minor,0.16,0.84
paper_abstract,gltr,gpt,minor,0.04,0.96
paper_abstract,gpt2-base,gpt,minor,0.14,0.86
paper_abstract,gpt2-large,gpt,minor,0.3,0.7
paper_abstract,llmdet,gpt,minor,0.44,0.56
paper_abstract,radar,gpt,minor,0.0,1.0
paper_abstract,zerogpt,gpt,minor,0.12,0.88
speech,binoculars,gpt,minor,0.16,0.84
speech,chatgpt-roberta,gpt,minor,0.42,0.58
speech,detectgpt,gpt,minor,0.5,0.5
speech,fastdetectgpt,gpt,minor,0.16,0.84
speech,gltr,gpt,minor,0.58,0.42
speech,gpt2-base,gpt,minor,0.42,0.58
speech,gpt2-large,gpt,minor,0.3,0.7
speech,llmdet,gpt,minor,0.78,0.22
speech,radar,gpt,minor,0.3,0.7
speech,zerogpt,gpt,minor,0.38,0.62
blog,binoculars,llama2,average,0.3480392156862745,0.6519607843137255
blog,chatgpt-roberta,llama2,average,0.2026143790849673,0.7973856209150327
blog,detectgpt,llama2,average,0.3406862745098039,0.6593137254901961
blog,fastdetectgpt,llama2,average,0.3190359477124183,0.6809640522875817
blog,gltr,llama2,average,0.5012254901960784,0.4987745098039216
blog,gpt2-base,llama2,average,0.2524509803921568,0.7475490196078431
blog,gpt2-large,llama2,average,0.4350490196078431,0.5649509803921569
blog,llmdet,llama2,average,0.7826797385620915,0.2173202614379085
blog,radar,llama2,average,0.5861928104575164,0.4138071895424837
blog,zerogpt,llama2,average,0.2602124183006536,0.7397875816993463
email_content,binoculars,llama2,average,0.2805622009569378,0.7194377990430622
email_content,chatgpt-roberta,llama2,average,0.1576555023923445,0.8423444976076555
email_content,detectgpt,llama2,average,0.3227870813397129,0.6772129186602871
email_content,fastdetectgpt,llama2,average,0.2691985645933014,0.7308014354066985
email_content,gltr,llama2,average,0.3044258373205741,0.6955741626794258
email_content,gpt2-base,llama2,average,0.3807416267942584,0.6192583732057416
email_content,gpt2-large,llama2,average,0.6778708133971292,0.3221291866028707
email_content,llmdet,llama2,average,0.9272727272727272,0.0727272727272727
