domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,major,0.7931034482758621,0.20689655172413793
blog,chatgpt-roberta,llama70b,major,0.1724137931034483,0.8275862068965517
blog,detectgpt,llama70b,major,0.5862068965517241,0.41379310344827586
blog,fastdetectgpt,llama70b,major,0.6551724137931034,0.3448275862068966
blog,gltr,llama70b,major,0.6206896551724138,0.3793103448275862
blog,gpt2-base,llama70b,major,0.2413793103448276,0.7586206896551724
blog,gpt2-large,llama70b,major,0.27586206896551724,0.7241379310344828
blog,llmdet,llama70b,major,0.7586206896551724,0.2413793103448276
blog,radar,llama70b,major,0.7241379310344828,0.27586206896551724
blog,zerogpt,llama70b,major,0.896551724137931,0.10344827586206896
email_content,binoculars,llama70b,major,0.5142857142857142,0.4857142857142857
email_content,chatgpt-roberta,llama70b,major,0.3142857142857143,0.6857142857142857
email_content,detectgpt,llama70b,major,0.4,0.6
email_content,fastdetectgpt,llama70b,major,0.34285714285714286,0.6571428571428571
email_content,gltr,llama70b,major,0.6285714285714286,0.37142857142857144
email_content,gpt2-base,llama70b,major,0.34285714285714286,0.6571428571428571
email_content,gpt2-large,llama70b,major,0.5428571428571428,0.45714285714285713
email_content,llmdet,llama70b,major,0.8857142857142857,0.11428571428571428
email_content,radar,llama70b,major,0.4857142857142857,0.5142857142857142
email_content,zerogpt,llama70b,major,0.5142857142857142,0.4857142857142857
game_review,binoculars,llama70b,major,0.9047619047619048,0.09523809523809523
game_review,chatgpt-roberta,llama70b,major,0.2857142857142857,0.7142857142857143
game_review,detectgpt,llama70b,major,0.9047619047619048,0.09523809523809523
game_review,fastdetectgpt,llama70b,major,0.8571428571428571,0.14285714285714285
game_review,gltr,llama70b,major,0.6666666666666666,0.3333333333333333
game_review,gpt2-base,llama70b,major,0.2857142857142857,0.7142857142857143
game_review,gpt2-large,llama70b,major,0.19047619047619047,0.8095238095238095
game_review,llmdet,llama70b,major,0.6666666666666666,0.3333333333333333
game_review,radar,llama70b,major,0.6190476190476191,0.38095238095238093
game_review,zerogpt,llama70b,major,1.0,0.0
news,binoculars,llama70b,major,0.4878048780487805,0.5121951219512195
news,chatgpt-roberta,llama70b,major,0.8048780487804879,0.1951219512195122
news,detectgpt,llama70b,major,0.5609756097560976,0.43902439024390244
news,fastdetectgpt,llama70b,major,0.5365853658536586,0.4634146341463415
news,gltr,llama70b,major,0.8780487804878049,0.12195121951219512
news,gpt2-base,llama70b,major,0.21951219512195122,0.7804878048780488
news,gpt2-large,llama70b,major,0.21951219512195122,0.7804878048780488
news,llmdet,llama70b,major,0.8536585365853658,0.14634146341463414
news,radar,llama70b,major,0.0975609756097561,0.9024390243902439
news,zerogpt,llama70b,major,0.926829268292683,0.07317073170731707
paper_abstract,binoculars,llama70b,major,0.22,0.78
paper_abstract,chatgpt-roberta,llama70b,major,0.02,0.98
paper_abstract,detectgpt,llama70b,major,0.34,0.66
paper_abstract,fastdetectgpt,llama70b,major,0.28,0.72
paper_abstract,gltr,llama70b,major,0.14,0.86
paper_abstract,gpt2-base,llama70b,major,0.06,0.94
paper_abstract,gpt2-large,llama70b,major,0.16,0.84
paper_abstract,llmdet,llama70b,major,0.26,0.74
paper_abstract,radar,llama70b,major,0.0,1.0
paper_abstract,zerogpt,llama70b,major,0.36,0.64
speech,binoculars,llama70b,major,0.8857142857142857,0.11428571428571428
speech,chatgpt-roberta,llama70b,major,0.5142857142857142,0.4857142857142857
speech,detectgpt,llama70b,major,0.8285714285714286,0.17142857142857143
speech,fastdetectgpt,llama70b,major,0.7428571428571429,0.2571428571428571
speech,gltr,llama70b,major,0.8571428571428571,0.14285714285714285
speech,gpt2-base,llama70b,major,0.5142857142857142,0.4857142857142857
speech,gpt2-large,llama70b,major,0.42857142857142855,0.5714285714285714
speech,llmdet,llama70b,major,0.7142857142857143,0.2857142857142857
speech,radar,llama70b,major,0.5142857142857142,0.4857142857142857
speech,zerogpt,llama70b,major,0.9714285714285714,0.02857142857142857
