domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,20,0.038461538461538464,0.9615384615384616
blog,chatgpt-roberta,llama70b,20,0.1346153846153846,0.8653846153846154
blog,detectgpt,llama70b,20,0.17307692307692307,0.8269230769230769
blog,fastdetectgpt,llama70b,20,0.019230769230769232,0.9807692307692307
blog,gltr,llama70b,20,0.2692307692307692,0.7307692307692307
blog,gpt2-base,llama70b,20,0.057692307692307696,0.9423076923076923
blog,gpt2-large,llama70b,20,0.21153846153846154,0.7884615384615384
blog,llmdet,llama70b,20,0.8076923076923077,0.19230769230769232
blog,radar,llama70b,20,0.38461538461538464,0.6153846153846154
blog,zerogpt,llama70b,20,0.019230769230769232,0.9807692307692307
email_content,binoculars,llama70b,20,0.06976744186046512,0.9302325581395349
email_content,chatgpt-roberta,llama70b,20,0.11627906976744186,0.8837209302325582
email_content,detectgpt,llama70b,20,0.20930232558139536,0.7906976744186046
email_content,fastdetectgpt,llama70b,20,0.18604651162790697,0.813953488372093
email_content,gltr,llama70b,20,0.16279069767441862,0.8372093023255814
email_content,gpt2-base,llama70b,20,0.37209302325581395,0.627906976744186
email_content,gpt2-large,llama70b,20,0.4883720930232558,0.5116279069767442
email_content,llmdet,llama70b,20,0.8837209302325582,0.11627906976744186
email_content,radar,llama70b,20,0.4186046511627907,0.5813953488372093
email_content,zerogpt,llama70b,20,0.06976744186046512,0.9302325581395349
game_review,binoculars,llama70b,20,0.16326530612244897,0.8367346938775511
game_review,chatgpt-roberta,llama70b,20,0.16326530612244897,0.8367346938775511
game_review,detectgpt,llama70b,20,0.3877551020408163,0.6122448979591837
game_review,fastdetectgpt,llama70b,20,0.20408163265306123,0.7959183673469388
game_review,gltr,llama70b,20,0.5102040816326531,0.4897959183673469
game_review,gpt2-base,llama70b,20,0.3877551020408163,0.6122448979591837
game_review,gpt2-large,llama70b,20,0.3877551020408163,0.6122448979591837
game_review,llmdet,llama70b,20,0.7346938775510204,0.2653061224489796
game_review,radar,llama70b,20,0.20408163265306123,0.7959183673469388
game_review,zerogpt,llama70b,20,0.0,1.0
news,binoculars,llama70b,20,0.10204081632653061,0.8979591836734694
news,chatgpt-roberta,llama70b,20,0.5510204081632653,0.4489795918367347
news,detectgpt,llama70b,20,0.4897959183673469,0.5102040816326531
news,fastdetectgpt,llama70b,20,0.22448979591836735,0.7755102040816326
news,gltr,llama70b,20,0.6122448979591837,0.3877551020408163
news,gpt2-base,llama70b,20,0.10204081632653061,0.8979591836734694
news,gpt2-large,llama70b,20,0.14285714285714285,0.8571428571428571
news,llmdet,llama70b,20,0.7142857142857143,0.2857142857142857
news,radar,llama70b,20,0.02040816326530612,0.9795918367346939
news,zerogpt,llama70b,20,0.14285714285714285,0.8571428571428571
paper_abstract,binoculars,llama70b,20,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,llama70b,20,0.0,1.0
paper_abstract,detectgpt,llama70b,20,0.2549019607843137,0.7450980392156863
paper_abstract,fastdetectgpt,llama70b,20,0.13725490196078433,0.8627450980392157
paper_abstract,gltr,llama70b,20,0.17647058823529413,0.8235294117647058
paper_abstract,gpt2-base,llama70b,20,0.1568627450980392,0.8431372549019608
paper_abstract,gpt2-large,llama70b,20,0.3137254901960784,0.6862745098039216
paper_abstract,llmdet,llama70b,20,0.47058823529411764,0.5294117647058824
paper_abstract,radar,llama70b,20,0.0,1.0
paper_abstract,zerogpt,llama70b,20,0.058823529411764705,0.9411764705882353
speech,binoculars,llama70b,20,0.09803921568627451,0.9019607843137255
speech,chatgpt-roberta,llama70b,20,0.4117647058823529,0.5882352941176471
speech,detectgpt,llama70b,20,0.4117647058823529,0.5882352941176471
speech,fastdetectgpt,llama70b,20,0.13725490196078433,0.8627450980392157
speech,gltr,llama70b,20,0.7058823529411765,0.29411764705882354
speech,gpt2-base,llama70b,20,0.37254901960784315,0.6274509803921569
speech,gpt2-large,llama70b,20,0.23529411764705882,0.7647058823529411
speech,llmdet,llama70b,20,0.9019607843137255,0.09803921568627451
speech,radar,llama70b,20,0.2549019607843137,0.7450980392156863
speech,zerogpt,llama70b,20,0.21568627450980393,0.7843137254901961
