domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,average,0.3480392156862745,0.6519607843137255
blog,chatgpt-roberta,llama2,average,0.20261437908496732,0.7973856209150327
blog,detectgpt,llama2,average,0.34068627450980393,0.6593137254901961
blog,fastdetectgpt,llama2,average,0.3190359477124183,0.6809640522875817
blog,gltr,llama2,average,0.5012254901960784,0.4987745098039216
blog,gpt2-base,llama2,average,0.25245098039215685,0.7475490196078431
blog,gpt2-large,llama2,average,0.43504901960784315,0.5649509803921569
blog,llmdet,llama2,average,0.7826797385620915,0.2173202614379085
blog,radar,llama2,average,0.5861928104575164,0.4138071895424837
blog,zerogpt,llama2,average,0.2602124183006536,0.7397875816993463
email_content,binoculars,llama2,average,0.2805622009569378,0.7194377990430622
email_content,chatgpt-roberta,llama2,average,0.1576555023923445,0.8423444976076555
email_content,detectgpt,llama2,average,0.3227870813397129,0.6772129186602871
email_content,fastdetectgpt,llama2,average,0.2691985645933014,0.7308014354066985
email_content,gltr,llama2,average,0.30442583732057416,0.6955741626794258
email_content,gpt2-base,llama2,average,0.3807416267942584,0.6192583732057416
email_content,gpt2-large,llama2,average,0.6778708133971292,0.32212918660287077
email_content,llmdet,llama2,average,0.9272727272727272,0.07272727272727272
email_content,radar,llama2,average,0.515011961722488,0.484988038277512
email_content,zerogpt,llama2,average,0.21919856459330142,0.7808014354066986
game_review,binoculars,llama2,average,0.5144097222222221,0.4855902777777778
game_review,chatgpt-roberta,llama2,average,0.42685185185185187,0.5731481481481482
game_review,detectgpt,llama2,average,0.5892939814814815,0.4107060185185185
game_review,fastdetectgpt,llama2,average,0.512962962962963,0.48703703703703705
game_review,gltr,llama2,average,0.5309606481481481,0.46903935185185186
game_review,gpt2-base,llama2,average,0.6293981481481481,0.37060185185185185
game_review,gpt2-large,llama2,average,0.5296296296296297,0.4703703703703703
game_review,llmdet,llama2,average,0.8479745370370371,0.15202546296296293
game_review,radar,llama2,average,0.4005208333333333,0.5994791666666667
game_review,zerogpt,llama2,average,0.32708333333333334,0.6729166666666666
news,binoculars,llama2,average,0.44819819819819817,0.5518018018018018
news,chatgpt-roberta,llama2,average,0.7067977067977069,0.2932022932022932
news,detectgpt,llama2,average,0.566953316953317,0.43304668304668303
news,fastdetectgpt,llama2,average,0.4565929565929566,0.5434070434070434
news,gltr,llama2,average,0.6984029484029484,0.30159705159705164
news,gpt2-base,llama2,average,0.4928337428337428,0.5071662571662572
news,gpt2-large,llama2,average,0.502047502047502,0.49795249795249796
news,llmdet,llama2,average,0.8374283374283376,0.16257166257166256
news,radar,llama2,average,0.20126945126945128,0.7987305487305487
news,zerogpt,llama2,average,0.4406224406224406,0.5593775593775594
paper_abstract,binoculars,llama2,average,0.31102756892230576,0.6889724310776942
paper_abstract,chatgpt-roberta,llama2,average,0.24886173767752712,0.7511382623224728
paper_abstract,detectgpt,llama2,average,0.30268474215842633,0.6973152578415736
paper_abstract,fastdetectgpt,llama2,average,0.396885205437837,0.603114794562163
paper_abstract,gltr,llama2,average,0.33996829194197614,0.6600317080580239
paper_abstract,gpt2-base,llama2,average,0.2590928077770183,0.7409071922229817
paper_abstract,gpt2-large,llama2,average,0.45157401078453707,0.5484259892154628
paper_abstract,llmdet,llama2,average,0.5428115743905217,0.45718842560947826
paper_abstract,radar,llama2,average,0.06206615022404496,0.9379338497759551
paper_abstract,zerogpt,llama2,average,0.25480937191463504,0.7451906280853651
speech,binoculars,llama2,average,0.5025793650793651,0.49742063492063493
speech,chatgpt-roberta,llama2,average,0.5498015873015873,0.4501984126984127
speech,detectgpt,llama2,average,0.5857142857142856,0.41428571428571426
speech,fastdetectgpt,llama2,average,0.49702380952380953,0.5029761904761905
speech,gltr,llama2,average,0.7416666666666667,0.2583333333333333
speech,gpt2-base,llama2,average,0.46944444444444444,0.5305555555555556
speech,gpt2-large,llama2,average,0.40496031746031746,0.5950396825396825
speech,llmdet,llama2,average,0.9176587301587301,0.08234126984126984
speech,radar,llama2,average,0.46805555555555556,0.5319444444444444
speech,zerogpt,llama2,average,0.5192460317460317,0.48075396825396827
