domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,minor,0.04,0.96
blog,chatgpt-roberta,gpt,minor,0.1,0.9
blog,detectgpt,gpt,minor,0.34,0.66
blog,fastdetectgpt,gpt,minor,0.08,0.92
blog,gltr,gpt,minor,0.36,0.64
blog,gpt2-base,gpt,minor,0.1,0.9
blog,gpt2-large,gpt,minor,0.14,0.86
blog,llmdet,gpt,minor,0.78,0.22
blog,radar,gpt,minor,0.46,0.54
blog,zerogpt,gpt,minor,0.14,0.86
email_content,binoculars,gpt,minor,0.06976744186046512,0.9302325581395349
email_content,chatgpt-roberta,gpt,minor,0.11627906976744186,0.8837209302325582
email_content,detectgpt,gpt,minor,0.27906976744186046,0.7209302325581395
email_content,fastdetectgpt,gpt,minor,0.13953488372093023,0.8604651162790697
email_content,gltr,gpt,minor,0.3488372093023256,0.6511627906976745
email_content,gpt2-base,gpt,minor,0.3953488372093023,0.6046511627906976
email_content,gpt2-large,gpt,minor,0.4883720930232558,0.5116279069767442
email_content,llmdet,gpt,minor,0.9069767441860465,0.09302325581395349
email_content,radar,gpt,minor,0.4186046511627907,0.5813953488372093
email_content,zerogpt,gpt,minor,0.09302325581395349,0.9069767441860465
game_review,binoculars,gpt,minor,0.16,0.84
game_review,chatgpt-roberta,gpt,minor,0.16,0.84
game_review,detectgpt,gpt,minor,0.42,0.58
game_review,fastdetectgpt,gpt,minor,0.18,0.82
game_review,gltr,gpt,minor,0.56,0.44
game_review,gpt2-base,gpt,minor,0.22,0.78
game_review,gpt2-large,gpt,minor,0.34,0.66
game_review,llmdet,gpt,minor,0.86,0.14
game_review,radar,gpt,minor,0.2,0.8
game_review,zerogpt,gpt,minor,0.12,0.88
news,binoculars,gpt,minor,0.061224489795918366,0.9387755102040817
news,chatgpt-roberta,gpt,minor,0.7346938775510204,0.2653061224489796
news,detectgpt,gpt,minor,0.5510204081632653,0.4489795918367347
news,fastdetectgpt,gpt,minor,0.20408163265306123,0.7959183673469388
news,gltr,gpt,minor,0.673469387755102,0.32653061224489793
news,gpt2-base,gpt,minor,0.12244897959183673,0.8775510204081632
news,gpt2-large,gpt,minor,0.22448979591836735,0.7755102040816326
news,llmdet,gpt,minor,0.7346938775510204,0.2653061224489796
news,radar,gpt,minor,0.04081632653061224,0.9591836734693877
news,zerogpt,gpt,minor,0.30612244897959184,0.6938775510204082
paper_abstract,binoculars,gpt,minor,0.1,0.9
paper_abstract,chatgpt-roberta,gpt,minor,0.06,0.94
paper_abstract,detectgpt,gpt,minor,0.2,0.8
paper_abstract,fastdetectgpt,gpt,minor,0.16,0.84
paper_abstract,gltr,gpt,minor,0.04,0.96
paper_abstract,gpt2-base,gpt,minor,0.14,0.86
paper_abstract,gpt2-large,gpt,minor,0.3,0.7
paper_abstract,llmdet,gpt,minor,0.44,0.56
paper_abstract,radar,gpt,minor,0.0,1.0
paper_abstract,zerogpt,gpt,minor,0.12,0.88
speech,binoculars,gpt,minor,0.16,0.84
speech,chatgpt-roberta,gpt,minor,0.42,0.58
speech,detectgpt,gpt,minor,0.5,0.5
speech,fastdetectgpt,gpt,minor,0.16,0.84
speech,gltr,gpt,minor,0.58,0.42
speech,gpt2-base,gpt,minor,0.42,0.58
speech,gpt2-large,gpt,minor,0.3,0.7
speech,llmdet,gpt,minor,0.78,0.22
speech,radar,gpt,minor,0.3,0.7
speech,zerogpt,gpt,minor,0.38,0.62
