domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,major,0.04081632653061224,0.9591836734693877
blog,chatgpt-roberta,gpt,major,0.16326530612244897,0.8367346938775511
blog,detectgpt,gpt,major,0.42857142857142855,0.5714285714285714
blog,fastdetectgpt,gpt,major,0.061224489795918366,0.9387755102040817
blog,gltr,gpt,major,0.3877551020408163,0.6122448979591837
blog,gpt2-base,gpt,major,0.12244897959183673,0.8775510204081632
blog,gpt2-large,gpt,major,0.22448979591836735,0.7755102040816326
blog,llmdet,gpt,major,0.7142857142857143,0.2857142857142857
blog,radar,gpt,major,0.6122448979591837,0.3877551020408163
blog,zerogpt,gpt,major,0.3469387755102041,0.6530612244897959
email_content,binoculars,gpt,major,0.2,0.8
email_content,chatgpt-roberta,gpt,major,0.1,0.9
email_content,detectgpt,gpt,major,0.15,0.85
email_content,fastdetectgpt,gpt,major,0.325,0.675
email_content,gltr,gpt,major,0.4,0.6
email_content,gpt2-base,gpt,major,0.225,0.775
email_content,gpt2-large,gpt,major,0.375,0.625
email_content,llmdet,gpt,major,0.9,0.1
email_content,radar,gpt,major,0.45,0.55
email_content,zerogpt,gpt,major,0.3,0.7
game_review,binoculars,gpt,major,0.18604651162790697,0.813953488372093
game_review,chatgpt-roberta,gpt,major,0.16279069767441862,0.8372093023255814
game_review,detectgpt,gpt,major,0.5348837209302325,0.46511627906976744
game_review,fastdetectgpt,gpt,major,0.23255813953488372,0.7674418604651163
game_review,gltr,gpt,major,0.3953488372093023,0.6046511627906976
game_review,gpt2-base,gpt,major,0.32558139534883723,0.6744186046511628
game_review,gpt2-large,gpt,major,0.3023255813953488,0.6976744186046512
game_review,llmdet,gpt,major,0.7441860465116279,0.2558139534883721
game_review,radar,gpt,major,0.46511627906976744,0.5348837209302325
game_review,zerogpt,gpt,major,0.4418604651162791,0.5581395348837209
news,binoculars,gpt,major,0.10869565217391304,0.8913043478260869
news,chatgpt-roberta,gpt,major,0.717391304347826,0.2826086956521739
news,detectgpt,gpt,major,0.43478260869565216,0.5652173913043478
news,fastdetectgpt,gpt,major,0.13043478260869565,0.8695652173913043
news,gltr,gpt,major,0.5869565217391305,0.41304347826086957
news,gpt2-base,gpt,major,0.13043478260869565,0.8695652173913043
news,gpt2-large,gpt,major,0.2608695652173913,0.7391304347826086
news,llmdet,gpt,major,0.8913043478260869,0.10869565217391304
news,radar,gpt,major,0.06521739130434782,0.9347826086956522
news,zerogpt,gpt,major,0.6086956521739131,0.391304347826087
paper_abstract,binoculars,gpt,major,0.04,0.96
paper_abstract,chatgpt-roberta,gpt,major,0.04,0.96
paper_abstract,detectgpt,gpt,major,0.18,0.82
paper_abstract,fastdetectgpt,gpt,major,0.02,0.98
paper_abstract,gltr,gpt,major,0.06,0.94
paper_abstract,gpt2-base,gpt,major,0.08,0.92
paper_abstract,gpt2-large,gpt,major,0.18,0.82
paper_abstract,llmdet,gpt,major,0.36,0.64
paper_abstract,radar,gpt,major,0.0,1.0
paper_abstract,zerogpt,gpt,major,0.08,0.92
speech,binoculars,gpt,major,0.1875,0.8125
speech,chatgpt-roberta,gpt,major,0.3541666666666667,0.6458333333333334
speech,detectgpt,gpt,major,0.5208333333333334,0.4791666666666667
speech,fastdetectgpt,gpt,major,0.125,0.875
speech,gltr,gpt,major,0.5208333333333334,0.4791666666666667
speech,gpt2-base,gpt,major,0.25,0.75
speech,gpt2-large,gpt,major,0.25,0.75
speech,llmdet,gpt,major,0.7083333333333334,0.2916666666666667
speech,radar,gpt,major,0.4166666666666667,0.5833333333333334
speech,zerogpt,gpt,major,0.7083333333333334,0.2916666666666667
