domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,1,0.06,0.94
blog,chatgpt-roberta,llama,1,0.08,0.92
blog,detectgpt,llama,1,0.24,0.76
blog,fastdetectgpt,llama,1,0.08,0.92
blog,gltr,llama,1,0.24,0.76
blog,gpt2-base,llama,1,0.14,0.86
blog,gpt2-large,llama,1,0.2,0.8
blog,llmdet,llama,1,0.7,0.3
blog,radar,llama,1,0.36,0.64
blog,zerogpt,llama,1,0.0,1.0
email_content,binoculars,llama,1,0.0,1.0
email_content,chatgpt-roberta,llama,1,0.024390243902439025,0.975609756097561
email_content,detectgpt,llama,1,0.24390243902439024,0.7560975609756098
email_content,fastdetectgpt,llama,1,0.0975609756097561,0.9024390243902439
email_content,gltr,llama,1,0.17073170731707318,0.8292682926829268
email_content,gpt2-base,llama,1,0.3902439024390244,0.6097560975609756
email_content,gpt2-large,llama,1,0.5609756097560976,0.43902439024390244
email_content,llmdet,llama,1,0.7804878048780488,0.21951219512195122
email_content,radar,llama,1,0.5121951219512195,0.4878048780487805
email_content,zerogpt,llama,1,0.024390243902439025,0.975609756097561
game_review,binoculars,llama,1,0.08,0.92
game_review,chatgpt-roberta,llama,1,0.06,0.94
game_review,detectgpt,llama,1,0.24,0.76
game_review,fastdetectgpt,llama,1,0.1,0.9
game_review,gltr,llama,1,0.34,0.66
game_review,gpt2-base,llama,1,0.4,0.6
game_review,gpt2-large,llama,1,0.28,0.72
game_review,llmdet,llama,1,0.7,0.3
game_review,radar,llama,1,0.08,0.92
game_review,zerogpt,llama,1,0.02,0.98
news,binoculars,llama,1,0.06,0.94
news,chatgpt-roberta,llama,1,0.4,0.6
news,detectgpt,llama,1,0.38,0.62
news,fastdetectgpt,llama,1,0.08,0.92
news,gltr,llama,1,0.4,0.6
news,gpt2-base,llama,1,0.1,0.9
news,gpt2-large,llama,1,0.16,0.84
news,llmdet,llama,1,0.66,0.34
news,radar,llama,1,0.04,0.96
news,zerogpt,llama,1,0.08,0.92
paper_abstract,binoculars,llama,1,0.09803921568627451,0.9019607843137255
paper_abstract,chatgpt-roberta,llama,1,0.0,1.0
paper_abstract,detectgpt,llama,1,0.23529411764705882,0.7647058823529411
paper_abstract,fastdetectgpt,llama,1,0.0784313725490196,0.9215686274509803
paper_abstract,gltr,llama,1,0.09803921568627451,0.9019607843137255
paper_abstract,gpt2-base,llama,1,0.23529411764705882,0.7647058823529411
paper_abstract,gpt2-large,llama,1,0.3333333333333333,0.6666666666666666
paper_abstract,llmdet,llama,1,0.4117647058823529,0.5882352941176471
paper_abstract,radar,llama,1,0.0,1.0
paper_abstract,zerogpt,llama,1,0.0196078431372549,0.9803921568627451
speech,binoculars,llama,1,0.0392156862745098,0.9607843137254902
speech,chatgpt-roberta,llama,1,0.37254901960784315,0.6274509803921569
speech,detectgpt,llama,1,0.43137254901960786,0.5686274509803921
speech,fastdetectgpt,llama,1,0.11764705882352941,0.8823529411764706
speech,gltr,llama,1,0.6274509803921569,0.37254901960784315
speech,gpt2-base,llama,1,0.35294117647058826,0.6470588235294118
speech,gpt2-large,llama,1,0.23529411764705882,0.7647058823529411
speech,llmdet,llama,1,0.9019607843137255,0.09803921568627451
speech,radar,llama,1,0.13725490196078433,0.8627450980392157
speech,zerogpt,llama,1,0.13725490196078433,0.8627450980392157
