id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_minor,blog,"Another week just flew by. I drove by the new house yesterday and the front window was covered in boxes. We may get the keys at closing, and I'm getting so excited. If all goes well this week, we will be set for closing a week from Wednesday. I was up until after 3:00 am last night watching movies with Bethany. There has been a lot of movie watching going on around here lately. Here's my rundown: last night we watched Thirteen, a movie every mother of a teen should see. It was better than I expected. Then we watched Gigli - yeah, it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_minor,blog,"Summer TV used to be a dead zone full of repeats, but now there are two great new shows on TV, and I've been watching both religiously for the last week. One of them, ""Blow Out,"" has the gayest concept ever, yet seemingly has zero gay people in sight. Hairstylist Jonathan Antin wants to build a second location for his incredibly popular West Hollywood salon, this time in Beverly Hills. Normally, no one would care, certainly not me, but as I was flipping through the channels, I caught a glimpse of Jonathan, equally narcissistic and dull, looking at an empty space on Rodeo Drive and saying, in a public voice, ""I'm going to build here the greatest salon in the history of the world ever!"" and I was hooked. Not since Rocco have I found such a moron so compelling to watch."
3,hybrid,none,none,polish_minor,blog,"What a week... My right shoulder has tendonitis. It's located right under my shoulder blade. So, when I move my arm too much, mainly when using a mouse on a computer, it's excruciating. I can barely move it now because I was on a spree updating my website and working on other online things. I can barely muster the strength to draw anything. Lack of sleep is also exacerbating my pain. I'm not too happy right now, but I'll get better. My mom's surgery went okay. Her eyesight has partially returned; she can see fuzzy shapes and make out colors. Other than that, she's still largely blind. Hopefully, she'll fully regain her vision soon."
4,hybrid,none,none,polish_minor,blog,"Kindness of strangers... I attempted laundry today with the kids in tow and realized how quickly the simplest things can become a chaotic ordeal. I also learned how remarkably sweet total strangers can be for no reason other than because they feel like being kind. Trust me, it wasn't like they were trying to impress me or anything. I had kid drool all over me and was wearing my 'wash-day' outfit... Also, I'm not sure I'll ever be bathing again, so it's not like there was even an olfactory incentive there. Right now, I'm doing two things simultaneously. I'm composing this post and watching the collected No Doubt videos, both from the comfort of my desk in my room."
5,hybrid,none,none,polish_minor,blog,"It's 11:14pm MST, and I'm sitting in my bedroom fixing the personal computer of the personnel director from my job. Not that I mind doing it, but I sometimes wonder how often I find myself fixing someone else's computer as a favour. I'm glad to be able to show love and care for people in this way, but where is the line drawn before it becomes a case of being taken advantage of? The last couple of weeks, I've been staying up late reading and such, so I was looking forward to an early night, until I realized it would be more prudent to return this computer to its owner. *laugh* No rest for the weary, right? So I ended up watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_minor,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga. So, after the weird lunch, my confidence was shaken. I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dustin's best friend a girl than discussing whatever it is you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and then silently asked myself: am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_minor,blog,"I would like everyone to think before they act. Ideally, I'd like each person in the world to think before they get out of bed in the morning, and make a commitment to keep thinking all day. If they're not prepared to do so, I'd rather they stayed in bed and drifted off to sleep. I'm tired of dealing with people who lack common sense. I'm not claiming to be the smartest person in the world, but I'm not talking about complex issues that require a lot of brain power. I think it's fair to criticize those who are willfully ignorant. Let's focus on a few specific types for now and save the rest for another day, sound good? Great."
8,hybrid,none,none,polish_minor,blog,"Two problems with the scenario outlined in my previous post: 1. While it's true that Bush is stimulating the economy, he's doing so in the wrong way. Robert Rubin told NPR's Marketplace today that Bush could have achieved the same stimulus effect without the long-term debt hangover by enacting different tax cuts - temporary ones that would benefit low- and middle-income individuals. Ah, Robert Rubin - the sound of his name is music to our ears. Quick: name one Bush administration cabinet official on the domestic side with Rubin's gravitas. Still thinking? It'll come to you... 2. We can't give the Republicans control only in wartime because they've ingeniously concocted an endless, global 'war on terrorism.'"
9,hybrid,none,none,polish_minor,blog,"'She's saying I'm on the run, I'm chasing guys for fun' ~The Offspring. I haven't updated in a while, but there's not much to say. Went to The Cove to see Supernova, they were good as usual, and got to chill with Tiago. On Saturday, I went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home at quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good - I did my full routine on floor and didn't fall, came second on floor and vault, and third on beam, with an all-around score of 29.45, which isn't bad since my meets tend to get better as the season goes on."
10,hybrid,none,none,polish_minor,blog,"Do you ever have one of those moments when you start to reflect on life? Like when you're sitting in math class, feeling extremely bored, and you wonder what exactly goes on in your brain that makes you understand math? You realize that you exist, you're in math class, and you wonder why. Then it hits you - the fact that existing is actually amazing. But suddenly, it dawns on you that going off on this random train of thought is pretty pathetic. Has that ever happened to you? I hate that feeling. You know what else I hate? Block schedules. Who would come up with such an idea? It's clear that sitting through a two-and-a-half-hour class in any subject is cruel and unusual punishment."
