domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,extreme_minor,0.29411764705882354,0.7058823529411765
blog,chatgpt-roberta,llama2,extreme_minor,0.17647058823529413,0.8235294117647058
blog,detectgpt,llama2,extreme_minor,0.29411764705882354,0.7058823529411765
blog,fastdetectgpt,llama2,extreme_minor,0.2647058823529412,0.7352941176470589
blog,gltr,llama2,extreme_minor,0.5,0.5
blog,gpt2-base,llama2,extreme_minor,0.20588235294117646,0.7941176470588235
blog,gpt2-large,llama2,extreme_minor,0.4411764705882353,0.5588235294117647
blog,llmdet,llama2,extreme_minor,0.8235294117647058,0.17647058823529413
blog,radar,llama2,extreme_minor,0.5588235294117647,0.4411764705882353
blog,zerogpt,llama2,extreme_minor,0.17647058823529413,0.8235294117647058
email_content,binoculars,llama2,extreme_minor,0.25,0.75
email_content,chatgpt-roberta,llama2,extreme_minor,0.15,0.85
email_content,detectgpt,llama2,extreme_minor,0.35,0.65
email_content,fastdetectgpt,llama2,extreme_minor,0.3,0.7
email_content,gltr,llama2,extreme_minor,0.3,0.7
email_content,gpt2-base,llama2,extreme_minor,0.25,0.75
email_content,gpt2-large,llama2,extreme_minor,0.65,0.35
email_content,llmdet,llama2,extreme_minor,0.9,0.1
email_content,radar,llama2,extreme_minor,0.45,0.55
email_content,zerogpt,llama2,extreme_minor,0.15,0.85
game_review,binoculars,llama2,extreme_minor,0.5666666666666667,0.43333333333333335
game_review,chatgpt-roberta,llama2,extreme_minor,0.43333333333333335,0.5666666666666667
game_review,detectgpt,llama2,extreme_minor,0.6333333333333333,0.36666666666666664
game_review,fastdetectgpt,llama2,extreme_minor,0.6,0.4
game_review,gltr,llama2,extreme_minor,0.4666666666666667,0.5333333333333333
game_review,gpt2-base,llama2,extreme_minor,0.6666666666666666,0.3333333333333333
game_review,gpt2-large,llama2,extreme_minor,0.5666666666666667,0.43333333333333335
game_review,llmdet,llama2,extreme_minor,0.9,0.1
game_review,radar,llama2,extreme_minor,0.43333333333333335,0.5666666666666667
game_review,zerogpt,llama2,extreme_minor,0.36666666666666664,0.6333333333333333
news,binoculars,llama2,extreme_minor,0.4594594594594595,0.5405405405405406
news,chatgpt-roberta,llama2,extreme_minor,0.6756756756756757,0.32432432432432434
news,detectgpt,llama2,extreme_minor,0.5405405405405406,0.4594594594594595
news,fastdetectgpt,llama2,extreme_minor,0.43243243243243246,0.5675675675675675
news,gltr,llama2,extreme_minor,0.7027027027027027,0.2972972972972973
news,gpt2-base,llama2,extreme_minor,0.4864864864864865,0.5135135135135135
news,gpt2-large,llama2,extreme_minor,0.43243243243243246,0.5675675675675675
news,llmdet,llama2,extreme_minor,0.8648648648648649,0.13513513513513514
news,radar,llama2,extreme_minor,0.10810810810810811,0.8918918918918919
news,zerogpt,llama2,extreme_minor,0.4594594594594595,0.5405405405405406
paper_abstract,binoculars,llama2,extreme_minor,0.2631578947368421,0.7368421052631579
paper_abstract,chatgpt-roberta,llama2,extreme_minor,0.21052631578947367,0.7894736842105263
paper_abstract,detectgpt,llama2,extreme_minor,0.3157894736842105,0.6842105263157895
paper_abstract,fastdetectgpt,llama2,extreme_minor,0.3684210526315789,0.631578947368421
paper_abstract,gltr,llama2,extreme_minor,0.3157894736842105,0.6842105263157895
paper_abstract,gpt2-base,llama2,extreme_minor,0.2894736842105263,0.7105263157894737
paper_abstract,gpt2-large,llama2,extreme_minor,0.47368421052631576,0.5263157894736842
paper_abstract,llmdet,llama2,extreme_minor,0.5526315789473685,0.4473684210526316
paper_abstract,radar,llama2,extreme_minor,0.10526315789473684,0.8947368421052632
paper_abstract,zerogpt,llama2,extreme_minor,0.23684210526315788,0.7631578947368421
speech,binoculars,llama2,extreme_minor,0.4722222222222222,0.5277777777777778
speech,chatgpt-roberta,llama2,extreme_minor,0.5277777777777778,0.4722222222222222
speech,detectgpt,llama2,extreme_minor,0.6666666666666666,0.3333333333333333
speech,fastdetectgpt,llama2,extreme_minor,0.4166666666666667,0.5833333333333334
speech,gltr,llama2,extreme_minor,0.75,0.25
speech,gpt2-base,llama2,extreme_minor,0.4444444444444444,0.5555555555555556
speech,gpt2-large,llama2,extreme_minor,0.3888888888888889,0.6111111111111112
speech,llmdet,llama2,extreme_minor,0.9444444444444444,0.05555555555555555
speech,radar,llama2,extreme_minor,0.4722222222222222,0.5277777777777778
speech,zerogpt,llama2,extreme_minor,0.4722222222222222,0.5277777777777778
