domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,average,0.3422899857617465,0.6577100142382534
blog,chatgpt-roberta,llama,average,0.16742999525391553,0.8325700047460846
blog,detectgpt,llama,average,0.30577598481252966,0.6942240151874703
blog,fastdetectgpt,llama,average,0.35708590412909347,0.6429140958709065
blog,gltr,llama,average,0.5914499288087328,0.40855007119126724
blog,gpt2-base,llama,average,0.4004579971523493,0.5995420028476507
blog,gpt2-large,llama,average,0.5252396772662553,0.47476032273374463
blog,llmdet,llama,average,0.8603179876601803,0.13968201233981964
blog,radar,llama,average,0.65390602752729,0.34609397247271
blog,zerogpt,llama,average,0.356578073089701,0.643421926910299
email_content,binoculars,llama,average,0.19777986241400874,0.8022201375859912
email_content,chatgpt-roberta,llama,average,0.08911819887429642,0.9108818011257035
email_content,detectgpt,llama,average,0.22123202001250783,0.7787679799874923
email_content,fastdetectgpt,llama,average,0.22889305816135083,0.7711069418386491
email_content,gltr,llama,average,0.45747342088805504,0.542526579111945
email_content,gpt2-base,llama,average,0.47514071294559096,0.5248592870544091
email_content,gpt2-large,llama,average,0.6597873671044403,0.3402126328955597
email_content,llmdet,llama,average,0.8044090056285178,0.1955909943714822
email_content,radar,llama,average,0.5376797998749219,0.4623202001250782
email_content,zerogpt,llama,average,0.2038774233896185,0.7961225766103814
game_review,binoculars,llama,average,0.4001701131141746,0.5998298868858253
game_review,chatgpt-roberta,llama,average,0.32517416342641686,0.6748258365735832
game_review,detectgpt,llama,average,0.465726994226464,0.534273005773536
game_review,fastdetectgpt,llama,average,0.49372091139389657,0.5062790886061035
game_review,gltr,llama,average,0.688884102156239,0.31111589784376104
game_review,gpt2-base,llama,average,0.5048695799457995,0.4951304200542006
game_review,gpt2-large,llama,average,0.5825221662542712,0.4174778337457288
game_review,llmdet,llama,average,0.8947220749381407,0.10527792506185932
game_review,radar,llama,average,0.44596110227406627,0.5540388977259337
game_review,zerogpt,llama,average,0.32751450748203137,0.6724854925179686
news,binoculars,llama,average,0.29275085034013604,0.707249149659864
news,chatgpt-roberta,llama,average,0.7152593537414966,0.2847406462585034
news,detectgpt,llama,average,0.4804166666666666,0.5195833333333334
news,fastdetectgpt,llama,average,0.4001232993197279,0.5998767006802721
news,gltr,llama,average,0.7003741496598639,0.29962585034013606
news,gpt2-base,llama,average,0.37929421768707483,0.6207057823129253
news,gpt2-large,llama,average,0.47625,0.5237499999999999
news,llmdet,llama,average,0.8273214285714285,0.17267857142857143
news,radar,llama,average,0.13809523809523808,0.861904761904762
news,zerogpt,llama,average,0.3795068027210885,0.6204931972789116
paper_abstract,binoculars,llama,average,0.18735294117647058,0.8126470588235295
paper_abstract,chatgpt-roberta,llama,average,0.07911764705882353,0.9208823529411764
paper_abstract,detectgpt,llama,average,0.19225490196078432,0.8077450980392158
paper_abstract,fastdetectgpt,llama,average,0.21225490196078428,0.7877450980392158
paper_abstract,gltr,llama,average,0.13823529411764707,0.861764705882353
paper_abstract,gpt2-base,llama,average,0.2016666666666667,0.7983333333333332
paper_abstract,gpt2-large,llama,average,0.40401960784313723,0.5959803921568627
paper_abstract,llmdet,llama,average,0.4631372549019608,0.5368627450980392
paper_abstract,radar,llama,average,0.0,1.0
paper_abstract,zerogpt,llama,average,0.08401960784313725,0.9159803921568627
speech,binoculars,llama,average,0.4869314381270903,0.5130685618729097
speech,chatgpt-roberta,llama,average,0.40522955305564,0.59477044694436
speech,detectgpt,llama,average,0.529722560048647,0.47027743995135296
speech,fastdetectgpt,llama,average,0.45532532684706595,0.544674673152934
speech,gltr,llama,average,0.7755145941015507,0.2244854058984494
speech,gpt2-base,llama,average,0.44877622377622384,0.5512237762237762
speech,gpt2-large,llama,average,0.4875083612040134,0.5124916387959866
speech,llmdet,llama,average,0.829161599270295,0.17083840072970508
speech,radar,llama,average,0.44057920340529033,0.5594207965947097
speech,zerogpt,llama,average,0.5412123745819398,0.4587876254180602
