id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_minor,blog,"Another week just flew by. I drove by the new house yesterday, and the front window was covered in boxes. We may get the keys at closing—I'm getting so excited. If all goes well this week, we'll be set for closing a week from Wednesday. I was up until after 3:00 AM last night watching movies with Bethany. There's been a lot of movie-watching going on around here lately. Here's my rundown: last night we watched *Thirteen*, a movie every mother of a teen should see. It was better than I expected. Then we watched *Gigli*—yeah, it was just as bad as the media said, but we had to see for ourselves."
2,hybrid,none,none,polish_minor,blog,"Summer TV used to be a dead zone full of repeats or something. But now there are two great new shows on TV, and I’ve been watching both religiously for the last week. *Blow Out*—the gayest concept ever that seemingly has zero gay people in sight. Hairstylist Jonathan Antin wants to build a second location for his incredibly popular West Hollywood salon, this time in Beverly Hills. Normally, no one would care—certainly not me—but as I was flipping through the channels, I caught a glimpse of Jonathan, equally narcissistic and dull, looking at an empty space on Rodeo Dr., declaring (in a public voice), 'I am going to build here the greatest salon in the history of the world—ever!' And I was hooked. Not since Rocco have I found such a moron compelling to watch."
3,hybrid,none,none,polish_minor,blog,"What a week... My right shoulder has tendonitis. It's right under my shoulder blade, so when I move my arm too much—mainly while using a mouse on the computer—it kills me. I can't move it much now because I was on a spree updating my website and working on other online things. I can barely muster the strength to draw anything. Lack of sleep adds to my pain. I'm not too happy right now, but I'll get better.  

My mom's surgery went okay. Her eyesight has come back somewhat—she can see fuzzy shapes and make out colors. Other than that, she's still blind as all sin. Hopefully, she'll fully regain her vision soon."
4,hybrid,none,none,polish_minor,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest things can become a freaking ordeal. I also learned how remarkably sweet total strangers can be for no reason other than because they feel like being kind. Trust me, it wasn’t like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit... Also, I’m not super sure I’ll ever be bathing again, so it’s not like there was even an olfactory incentive there! I am doing two things right now: composing a post and watching the collected No Doubt videos. I’m doing both of these while sitting at my desk in my room."
5,hybrid,none,none,polish_minor,blog,"It's 11:14 PM MST, and here I sit in my bedroom fixing the personal computer of the personnel director from my job. Not that I mind doing it, but I sometimes wonder how often I end up fixing someone else's computer as a favor. I'm glad to be able to love and help people this way, but where do you draw the line between helping and being taken advantage of? The last couple of weeks, I've been staying up late reading and such, so I was looking forward to going to bed early—until I realized it would be more practical to get this computer out of my bedroom and back to its owner. *Laugh* No rest for the weary, right? So I found myself watching *Joe Schmo 2* again tonight."
6,hybrid,none,none,polish_minor,blog,"Remind me, what did I write about before this? Or, a continuation in the 'Is this a date?' saga. So, after the weird lunch, my confidence was shaken. I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dustin's best friend a girl than discussing whatever it is you talk about with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and silently asked myself: Am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_minor,blog,"I’d like everyone to think before they act. Actually, I’d like each and every single person in the world to think before they get out of bed in the morning and make a commitment to keep thinking all day. And if they’re not prepared to, I’d very much like them to hop right back into bed and drift off into eternal slumber. I’m sick to death of stupid people. No, I’m not the smartest person in the world, but I’m not talking about things that take a lot of brainpower—so I think it’s fair to call out the inanely stupid. Let’s see if I can keep this rant to just a few particular types, and we’ll save some for another day. Sound good? Great."
8,hybrid,none,none,polish_minor,blog,"Two problems with the scenario outlined in my previous post:  

1. True, Bush is stimulating the economy, but in the wrong way. As [Robert Rubin](URL) told NPR's Marketplace today, Bush could have achieved the same stimulus effect without the long-term debt hangover by enacting different tax cuts—temporary ones that would benefit low- and middle-income individuals. Ah, Robert Rubin. The sound of his name is music to our ears. Quick: name one Bush administration cabinet official on the domestic side with Rubin's gravitas. Still thinking? It’ll come to you...  

2. We can't give the Republicans control only in wartime because they've ingeniously concocted an endless, global ""war on terrorism."
9,hybrid,none,none,polish_minor,blog,"She's saying I'm on the run, I'm chasing guys for fun"" ~The Offspring  
Haven't updated in a while, but not much to say. Went to The Cove to see Supernothing—they were good as usual, got to chill with Tiago. :)  
Saturday: went to work, then out with Joe and Rach. Met up with Steve, Tiago, and Tom. Came home around quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good. I did my full on floor and didn’t fall, placed second on floor and vault, and third on beam. 29.45 all-around, which isn’t bad since my meets get better as the season goes on."
10,hybrid,none,none,polish_minor,blog,"Do you ever have one of those moments when you start reflecting on life? Like when you're sitting in math class, bored out of your mind, and you wonder what exactly goes on in your brain that makes you understand math? Then you realize you exist, you're in math class, and you question why. Suddenly, it strikes you how amazing existence is—only to then realize how absurd it is that you're spiraling into this random train of thought. Ever had that happen? I hate that.  

You know what else I hate? Block schedules. Who even came up with that idea? Anyone can see that sitting through a two-and-a-half-hour class in any subject is cruel and unusual punishment."
11,hybrid,none,none,polish_minor,blog,"I think that Monopoly has run its course in my life, and I vow to never lay my hands on that damn iron (not a hot one, but the piece in the game) again. Tonight, Andy beat me by a few small dollars and won the frustrating game—or maybe I let him win on account of him leaving in a few short hours and me wanting him to feel good on his last night here. Well, however the story goes, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve, and I must say it's doing the trick. All I need now is some well-deserved R&R. 'Your telephone's the one that helped me wrap the cord around your neck...' —At the Drive-In."
12,hybrid,none,none,polish_minor,blog,"Well... today's been a long day. We had to drive home from Indiana. I guess I'm gonna have to be a little choosy about what I write because I could really take up a lot of time and space, and I just don't have enough energy. First off, I have to say that camp was awesome—even better than I could have expected. God's been doing so much in my life lately, and it's just amazing. I've sort of turned over a new leaf, I guess, but anyway, back to the beginning. We arrived at the Twiggs' house on Friday evening and stayed until we left for camp on Monday. Most of what we did was go to the fair, church, a parade, Walmart, and watch movies."
13,hybrid,none,none,polish_minor,blog,"Today is my last day of summer vacation! Waaaaaa! And I have a dentist appointment at 9. I hate that, but I'd rather get it over with than try to schedule it during the first month of my surgery rotation. I'm definitely nervous, scared, jittery, and any other words you can think of for ""hell no, I don't wanna go"" to school. This is going to be a whole new ball game for me. As a perfectionist, I love excelling at everything I do. But starting new things is a bitch. I hate being a pawn (like I told Cassie: ""I'm going to be the only pawn on the chessboard who insists on moving like a knight""), and I hate not knowing what's going on."
14,hybrid,none,none,polish_minor,blog,"Arun Shourie talks about how the present Governor of Uttar Pradesh had warned, as far back as 1996, about the impending threat of the rise of a 'third Islamic state' in the subcontinent. T.V. Rajeswar, the former head of the Intelligence Bureau and the present Governor of Uttar Pradesh, had predicted this dire threat in a series of articles published in *The Hindustan Times* back in 1996. Shourie raises a valid point when he asks: Does the fact that you now know he—and not I, to say nothing of Mr. Advani—wrote all that make the warnings ring true? Or do you conclude that because he wrote in this vein, T.V. Rajeswar is a closet communalist and should not be allowed to continue as Governor of Uttar Pradesh?"
