id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_minor,blog,"Another week just flew by. I drove past the new house yesterday, and the front window was covered in boxes. We might get the keys at closing; I am so excited. If everything goes well this week, we are set for closing a week from Wednesday. I was up until after 3:00 a.m. last night watching movies with Bethany. There's been a lot of movie-watching going on around here lately. Here's my rundown: last night we watched ""Thirteen,"" a movie every mother of a teen should see. It was better than I expected. Then we watched ""Gigli""—yes, it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_minor,blog,"Summer TV used to be a dead zone full of repeats, but now there are two great new shows I've been watching religiously for the past week. ""Blow Out"" presents the most flamboyant concept ever, surprisingly featuring zero visible gay people. Hairstylist Jonathan Antin wants to open a second location for his incredibly popular West Hollywood salon, this time in Beverly Hills. Normally, no one would care—certainly not me—but while flipping through the channels, I caught a glimpse of Jonathan, equally narcissistic and dull, looking at an empty space on Rodeo Drive, saying in a big public voice, ""I am going to build here the greatest salon in the history of the world ever!"" and I was hooked. Not since ""Rocco"" have I found such a moron to be so compelling to watch on TV."
3,hybrid,none,none,polish_minor,blog,"What a week... My right shoulder has tendinitis, right under my shoulder blade. When I move my arm too much, especially while using a mouse on a computer, it’s incredibly painful. I can’t move it much now because I went on a spree updating my website and working on other online projects. I can barely muster the strength to draw anything. Lack of sleep adds to my discomfort. I'm not too happy at the moment, but I’ll get better. My mom’s surgery went okay. Her eyesight has recovered slightly—she can see fuzzy shapes and distinguish colors. Other than that, she’s still as blind as ever. Hopefully, she’ll fully regain her vision soon."
4,hybrid,none,none,polish_minor,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest things can become an ordeal. I also learned how remarkably sweet total strangers can be, simply because they feel like being kind. Trust me, it wasn't like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit. Also, I'm not super sure I'll ever be bathing again, so it's not like there was even an olfactory incentive there! I am doing two things right now: composing a post and watching the collected No Doubt videos, both while sitting at my desk in my room."
5,hybrid,none,none,polish_minor,blog,"It's 11:14 PM MST, and here I am in my bedroom, fixing the personal computer of the personnel director from my job. I don't mind doing it, but sometimes I wonder how often I end up fixing someone else's computer as a favor. I'm glad to be able to help and support people this way, but where is the line drawn before you're being taken advantage of? Over the last couple of weeks, I've been staying up late reading and such, so I was looking forward to going to bed early, until I realized it would be more prudent to return this computer to its owner. *laugh* No rest for the weary, right? So I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_minor,blog,"Could you remind me what I wrote about before this? Or, perhaps, this is a continuation in the ""Is this a date?"" saga. So, after the awkward lunch, with my confidence shaken, I realized I forgot to tell you an important part of the story. Before Pat showed up for lunch, Dustin began talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. As I listened and nodded, I realized we were talking more about finding a girl for Dustin's best friend than about whatever you typically discuss over pink lemonade with a stranger. I excused myself to the bathroom, looked in the mirror, and silently asked: Am I being set up with the other guy? Is this what's happening now?"
7,hybrid,none,none,polish_minor,blog,"I would like everyone to think before they act. In fact, I'd like each and every person in the world to consider their actions before getting out of bed in the morning and commit to thinking all day. If they're not prepared to do so, I'd very much prefer they hop back into bed and drift off to an eternal slumber. I'm utterly tired of dealing with foolish people. No, I'm not claiming to be the smartest person in the world, but I'm not referring to matters that demand a lot of brainpower. Therefore, I believe it's fair to criticize those who are recklessly ignorant. Let's see if I can limit this particular rant to a few types of individuals, and we can save others for another day, sound good? Great."
8,hybrid,none,none,polish_minor,blog,"Two issues arise from the scenario I discussed in my previous post: 

1. While it's true that Bush is stimulating the economy, he's doing it the wrong way. Robert Rubin mentioned on NPR's Marketplace today that Bush could have achieved the same economic stimulus without the long-term debt burden by implementing different, temporary tax cuts that would benefit low- and middle-income individuals. Ah, Robert Rubin—just hearing his name is delightful. Now, quickly: can you name a Bush administration official on the domestic side with Rubin's level of gravitas? Still thinking? It might come to you...

2. We can't just entrust the Republicans with control during wartime since they've cleverly concocted an endless, global 'war on terrorism.'"
10,hybrid,none,none,polish_minor,blog,"Do you ever have one of those moments when you start reflecting on life? Like you're sitting in math class, bored out of your mind, and you wonder what exactly happens in your brain that helps you understand math. Then you realize that you exist, you're in math class, and you ask yourself why. You start to appreciate how amazing existence is. Suddenly, it hits you—this random train of thought is incredibly pathetic. Ever had that happen? I hate that. You know what else I hate? Block schedules. Who came up with that idea? Anyone can see that sitting through a two-and-a-half-hour class in any subject is cruel and unusual punishment."
11,hybrid,none,none,polish_minor,blog,"I believe Monopoly has run its course in my life, and I vow never to lay my hands on that darn iron (the game piece, not the hot one) again. Tonight, Andy beat me by a few dollars and won the game, or perhaps I let him win because he's leaving in a few hours, and I wanted him to feel good on his last night here. Whatever the case, nothing compares to this Texas-sized headache I have right now. I've taken some Aleve, and I must say they're doing wonders. All I need now is some well-deserved rest and relaxation... ""At the Drive-In"" was playing while we wrapped up the evening."
