id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_slight_major,blog,"Another week has flown by. I drove past the new house yesterday and noticed the front window was covered in boxes. We might receive the keys at closing, and I'm getting increasingly excited. If everything goes smoothly this week, we'll be on track for closing a week from Wednesday. I stayed up late last night, watching movies with Bethany until after 3:00am. There's been a movie marathon of sorts going on around here lately. Here's my rundown: last night we watched ""Thirteen,"" a film every mother of a teenager should see. It exceeded my expectations. We also watched ""Gigli,"" which, unfortunately, lived up to its poor reviews, but we had to see it for ourselves."
2,hybrid,none,none,polish_slight_major,blog,"Summer TV used to be a dead zone filled with repeats, but now there are two great new shows that have caught my attention. I've been watching them religiously for the past week. One of them, ""Blow Out,"" has a concept that's almost laughably over-the-top, yet somehow lacks any visible gay presence. The show revolves around hairstylist Jonathan Antin, who wants to expand his incredibly popular West Hollywood salon to a second location in Beverly Hills. Normally, this wouldn't be of interest to me, but while flipping through channels, I caught a glimpse of Jonathan, who exudes equal parts narcissism and dullness, standing in an empty space on Rodeo Drive and proclaiming, ""I'm going to build the greatest salon in the history of the world!"" I was hooked. It's been a while since I've found someone as moronically compelling as Rocco, making for some entertaining TV."
3,hybrid,none,none,polish_slight_major,blog,"What a week... I've developed tendonitis in my right shoulder, just under my shoulder blade. Whenever I move my arm excessively, particularly when using a computer mouse, it's excruciating. Unfortunately, I've been on a marathon updating my website and working on other online projects, which has left me with limited mobility. I'm struggling to muster the strength to draw anything. The lack of sleep isn't helping, either. I'm not in the best of spirits right now, but I'm optimistic about a full recovery. On a more positive note, my mom's surgery was successful, and her eyesight has started to return. She can now see blurry shapes and distinguish colors, although her vision is still severely impaired. Hopefully, she'll regain her full vision soon."
4,hybrid,none,none,polish_slight_major,blog,"The kindness of strangers... I attempted to do laundry today with the kids in tow and quickly realized how the simplest tasks can escalate into a chaotic ordeal. However, I also discovered the remarkable kindness of total strangers, who showed compassion for no reason other than the fact that they felt like being kind. Rest assured, it wasn't about ulterior motives - I was covered in kid drool and wearing my casual 'wash-day' outfit, hardly a sight to behold. To be honest, I'm not sure when I'll be bathing again, so there wasn't even an olfactory incentive. Currently, I'm multitasking - composing this post while watching a collection of No Doubt music videos, all from the comfort of my desk in my room."
5,hybrid,none,none,polish_slight_major,blog,"It's 11:14pm MST, and I'm sitting in my bedroom, fixing the personal computer of our personnel director from work. I don't mind doing favors, but I often wonder how frequently I end up fixing someone else's computer. I'm glad I can show love and care for people in this way, but I do question where the line is drawn before I'm taken advantage of. The past couple of weeks have been late nights spent reading, so I was looking forward to an early night's sleep, until I realized it would be more practical to return this computer to its owner as soon as possible. No rest for the weary, indeed. Instead, I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_slight_major,blog,"Remind me, what was I discussing before this, or is this a continuation of the 'is this a date?' saga? Following the awkward lunch, my confidence took a hit. I forgot to share a crucial part of the story with you all. Before Pat arrived for lunch, Dustin started talking about what a great guy Pat is and how he's trying to find him a girlfriend. As I listened and nodded, I realized we were spending more time discussing finding a girl for Dustin's best friend than engaging in typical conversation with a stranger over pink lemonade. I excused myself to the bathroom, caught a glimpse of myself in the mirror, and silently wondered: am I being set up with the other guy? Is this how things are supposed to go now?"
7,hybrid,none,none,polish_slight_major,blog,"I wish everyone would think before acting. Ideally, I'd like every person in the world to start their day with a commitment to think critically, and maintain that mindset throughout. If they're not willing to do so, I'd rather they stayed in bed and avoided causing harm. I'm exhausted by the prevalence of thoughtless behavior. I'm not claiming to be the most intelligent person, but I'm not advocating for complex thinking either. I believe it's reasonable to hold people accountable for their inexcusable lack of common sense. Let's focus on a few specific examples for now and save the rest for another time, if that sounds agreeable."
8,hybrid,none,none,polish_slight_major,blog,"Two issues with the scenario outlined in my previous post: 1. While it's true that Bush is stimulating the economy, he's doing so in an unideal manner. Robert Rubin, in an interview with NPR's Marketplace, pointed out that the same stimulus effect could have been achieved without incurring long-term debt by implementing temporary tax cuts that would benefit low- and middle-income individuals. The mention of Robert Rubin's name is indeed a welcome sound. It's worth noting that among Bush administration cabinet officials on the domestic side, few possess the same level of gravitas as Rubin. 2. We cannot afford to give Republicans control solely during wartime, as they have effectively created a perpetual, global 'war on terrorism' that shows no signs of abating."
10,hybrid,none,none,polish_slight_major,blog,"Have you ever experienced one of those moments where you pause to reflect on life? Perhaps you're sitting in a math class, feeling utterly bored, and you start to wonder what processes in your brain enable you to comprehend math. You then realize your existence and the fact that you're in math class, prompting you to question the purpose of it all. This realization can be quite profound, as you begin to appreciate the beauty of simply existing. However, this train of thought is often short-lived, as you suddenly feel a pang of embarrassment at the randomness of your musings. It's a feeling that can be quite frustrating. On a related note, I have a strong dislike for block schedules. Who would conceive of such an idea? It's clear that sitting through a two-and-a-half-hour class in any subject is a form of cruel and unusual punishment."
11,hybrid,none,none,polish_slight_major,blog,"I believe that Monopoly has run its course in my life, and I vow to never lay my hands on that iron game piece again. Tonight, Andy beat me by a few small dollars and won the game, or perhaps I let him win, considering he's leaving in a few short hours and I wanted him to feel good on his last night here. Whatever the story may be, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve, and I must say they're doing the trick; all I need now is some well-deserved rest and relaxation. Your telephone's the one that helped me wrap the cord around your neck... At the drive-in."
12,hybrid,none,none,polish_slight_major,blog,"Today's been a long day, having driven home from Indiana. I'll have to be selective about what I write, as I could easily fill a lot of space and time, but I'm running low on energy. To start, I have to say that camp was incredible, exceeding my expectations in every way. Lately, God has been doing some amazing things in my life, and it's truly awesome. I feel like I've turned a new leaf, but I'll get back to the beginning. We arrived at the Twiggs' house on Friday evening and stayed until we left for camp on Monday. During our visit, we attended the fair, church, a parade, went to Walmart, and watched movies."
13,hybrid,none,none,polish_slight_major,blog,"Today marks the end of my summer vacation, and I'm not exactly thrilled about it. To make matters worse, I have a dentist appointment at 9. While I'm not looking forward to it, I'd rather get it over with now than try to squeeze it in during the first month of my surgery rotation. I'm feeling anxious, apprehensive, and more than a little resistant to the idea of going back to school. This is going to be a whole new challenge for me. As a perfectionist, I thrive on excelling in everything I do, but starting anew is daunting. I dislike being uncertain and out of control, like a pawn on a chessboard, and I especially hate not knowing what to expect."
14,hybrid,none,none,polish_slight_major,blog,"Arun Shourie discusses how the current Governor of Uttar Pradesh had warned as far back as 1996 about the impending threat of the rise of a 'third Islamic state' in the subcontinent. T V Rajeswar, the former head of the Intelligence Bureau and the present Governor of Uttar Pradesh, had predicted this dire threat in a series of articles published in the Hindustan Times in 1996. Shourie raises a valid point when he asks, does the fact that it is now known that Rajeswar, rather than himself or Mr. Advani, wrote these warnings make them ring true? Or do we conclude that because Rajeswar expressed these concerns, he is a closet communalist and should not be allowed to continue as Governor of Uttar Pradesh?"
15,hybrid,none,none,polish_slight_major,blog,"Attitude: bored, mood: indifferent, but looking forward to tonight. It's been a long, arduous day in the trenches, leaving little time to write for my readers. On a brighter note, it's great to see Tigger (now Akcron) taking the reins and making an appearance, sharing her thoughts. Unfortunately, I don't have much to share today. Yesterday's Shakespeare on the Green was a lovely play, although I had to leave before the final curtain, which was disappointing. Hopefully, I'll get to see a complete Shakespeare play someday. As an aside, Akcron is spot on about the issues with the shower - it's subpar. However, I must admit that witnessing someone's reaction to self-inflicted discomfort can be quite amusing, especially in the shower."
16,hybrid,none,none,polish_slight_major,blog,"Over the past two days, I've been unexpectedly overcome with severe bouts of exhaustion - a bone-dead fatigue. Last evening, I went home and slept off, only waking up when my mother called me around 8:30. When I woke up, it was dark, and I hadn't switched on the lights, so for a few seconds, I was disoriented, with only my mother's voice in the darkness as I struggled to grasp reality. I'm still wondering why I'm feeling so drained. This morning, however, the weather was pleasant, with a gentle drizzle when I arrived. In contrast, I've heard that it's been raining in Calcutta for the past three days."
17,hybrid,none,none,polish_slight_major,blog,"Last night was a disaster. I ended up discarding the sweater I was knitting, which was about 14 inches long. I likely lost around $10 worth of yarn, considering it costs $8 per skein. Unfortunately, the project had become unmanageable by the time I reached the armholes, with too many stitches and the mohair constantly knotting itself together as I knitted. As a result, frogging didn't work well, and the yarn kept breaking. Surprisingly, I didn't even swear, which is out of character for me. Instead, I morosely ripped out the rows while listening to season two of Sex and the City, courtesy of the library. Eventually, I grew tired of it and threw the sweater away. I suppose I can say that I gained valuable experience from attempting to make this sweater."
18,hybrid,none,none,polish_slight_major,blog,"Last night in class, we delved into that week's assigned reading, ""Getting Back into Place: Toward a Renewed Study of the Place-World"" by Edward S. Casey. The first chapter explores ""implacement"" and the second, ""displacement."" In the first chapter, Casey distinguishes that our contemporary world and culture are centered around time as the primary situating force, where phrases like ""running out of time,"" ""saving time,"" and ""just in time"" dominate our discourse. He argues that by placing place at the heart of culture, we can foster a more grounded community. (Please note that this is a rough summary, and I offer this disclaimer in case my professor or classmates happen to read this post.) So far, this book is the first reading that has truly resonated with me."
19,hybrid,none,none,polish_slight_major,blog,"Whatever it is they put into freeze pops to make them those vibrant colours, there should be some sort of warning label: may make your life a bit more bizarre. And while giggling is good for you, one can't help but wonder if we would have found ourselves climbing up that fire escape, drinking beer in the fierce wind, had we not been consuming them earlier. Finding ourselves in front of a doorway to a bar that was sadly closed for business, we stopped to browse through an office-supplies catalogue that had arrived in the mail. Fortunately, we did. Who could have possibly guessed that within these pages lay the special offers of a lifetime? Certainly not I. To name a few: purchase 36 permanent marker pens, receive a stunt kite free. Buy 30 lever arch files, get a complimentary barbecue."
