domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,major,0.5581395348837209,0.4418604651162791
blog,chatgpt-roberta,llama,major,0.18604651162790697,0.813953488372093
blog,detectgpt,llama,major,0.3953488372093023,0.6046511627906976
blog,fastdetectgpt,llama,major,0.5581395348837209,0.4418604651162791
blog,gltr,llama,major,0.7906976744186046,0.20930232558139536
blog,gpt2-base,llama,major,0.5116279069767442,0.4883720930232558
blog,gpt2-large,llama,major,0.6511627906976745,0.3488372093023256
blog,llmdet,llama,major,0.8837209302325582,0.11627906976744186
blog,radar,llama,major,0.7209302325581395,0.27906976744186046
blog,zerogpt,llama,major,0.5348837209302325,0.46511627906976744
email_content,binoculars,llama,major,0.3333333333333333,0.6666666666666666
email_content,chatgpt-roberta,llama,major,0.10256410256410256,0.8974358974358975
email_content,detectgpt,llama,major,0.28205128205128205,0.717948717948718
email_content,fastdetectgpt,llama,major,0.28205128205128205,0.717948717948718
email_content,gltr,llama,major,0.5641025641025641,0.4358974358974359
email_content,gpt2-base,llama,major,0.5641025641025641,0.4358974358974359
email_content,gpt2-large,llama,major,0.7435897435897436,0.2564102564102564
email_content,llmdet,llama,major,0.8205128205128205,0.1794871794871795
email_content,radar,llama,major,0.5641025641025641,0.4358974358974359
email_content,zerogpt,llama,major,0.358974358974359,0.6410256410256411
game_review,binoculars,llama,major,0.6829268292682927,0.3170731707317073
game_review,chatgpt-roberta,llama,major,0.36585365853658536,0.6341463414634146
game_review,detectgpt,llama,major,0.5609756097560976,0.43902439024390244
game_review,fastdetectgpt,llama,major,0.7317073170731707,0.2682926829268293
game_review,gltr,llama,major,0.8292682926829268,0.17073170731707318
game_review,gpt2-base,llama,major,0.6097560975609756,0.3902439024390244
game_review,gpt2-large,llama,major,0.6829268292682927,0.3170731707317073
game_review,llmdet,llama,major,0.9024390243902439,0.0975609756097561
game_review,radar,llama,major,0.6341463414634146,0.36585365853658536
game_review,zerogpt,llama,major,0.6097560975609756,0.3902439024390244
news,binoculars,llama,major,0.4791666666666667,0.5208333333333334
news,chatgpt-roberta,llama,major,0.7708333333333334,0.22916666666666666
news,detectgpt,llama,major,0.5416666666666666,0.4583333333333333
news,fastdetectgpt,llama,major,0.6041666666666666,0.3958333333333333
news,gltr,llama,major,0.8333333333333334,0.16666666666666666
news,gpt2-base,llama,major,0.5416666666666666,0.4583333333333333
news,gpt2-large,llama,major,0.625,0.375
news,llmdet,llama,major,0.875,0.125
news,radar,llama,major,0.16666666666666666,0.8333333333333334
news,zerogpt,llama,major,0.5833333333333334,0.4166666666666667
paper_abstract,binoculars,llama,major,0.22,0.78
paper_abstract,chatgpt-roberta,llama,major,0.14,0.86
paper_abstract,detectgpt,llama,major,0.22,0.78
paper_abstract,fastdetectgpt,llama,major,0.3,0.7
paper_abstract,gltr,llama,major,0.2,0.8
paper_abstract,gpt2-base,llama,major,0.14,0.86
paper_abstract,gpt2-large,llama,major,0.42,0.58
paper_abstract,llmdet,llama,major,0.48,0.52
paper_abstract,radar,llama,major,0.0,1.0
paper_abstract,zerogpt,llama,major,0.14,0.86
speech,binoculars,llama,major,0.75,0.25
speech,chatgpt-roberta,llama,major,0.4772727272727273,0.5227272727272727
speech,detectgpt,llama,major,0.6590909090909091,0.3409090909090909
speech,fastdetectgpt,llama,major,0.7045454545454546,0.29545454545454547
speech,gltr,llama,major,0.7727272727272727,0.22727272727272727
speech,gpt2-base,llama,major,0.5681818181818182,0.4318181818181818
speech,gpt2-large,llama,major,0.5,0.5
speech,llmdet,llama,major,0.8636363636363636,0.13636363636363635
speech,radar,llama,major,0.6363636363636364,0.36363636363636365
speech,zerogpt,llama,major,0.75,0.25
