id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_35,blog,"Another week has flown by. I drove past the new house yesterday, and the front window was covered in boxes. We may get the keys at closing—I'm so excited! If all goes well, we’ll be set to close a week from Wednesday. I stayed up until after 3:00 AM last night watching movies with Bethany. We’ve been watching a lot of films lately. Here’s my rundown: last night, we watched *Thirteen*, a movie every mother of a teen should see. It was better than I expected. Then we watched *Gigli*—yes, it was just as bad as the reviews claimed, but we had to see for ourselves."
2,hybrid,none,none,polish_35,blog,"Summer TV used to be a dead zone full of repeats, but now there are two great new shows I’ve been watching religiously. *Blow Out*—the gayest concept ever with zero gay people in sight. Hairstylist Jonathan Antin wants to open a second location of his popular West Hollywood salon, this time in Beverly Hills. Normally, I wouldn’t care, but as I flipped through channels, I caught a glimpse of Jonathan—equally narcissistic and dull—standing in an empty space on Rodeo Dr., declaring (loudly), ""I’m going to build the greatest salon in history!"" I was hooked. Not since *Rocco* has such a moron made for compelling TV."
3,hybrid,none,none,polish_35,blog,"What a week... My right shoulder has tendonitis. It's right under my shoulder blade, so moving my arm too much—especially while using a computer mouse—is agonizing. I can barely move it now after updating my website and working online. Finding the strength to draw is difficult, and lack of sleep worsens the pain. I'm not too happy right now, but I'll recover. My mom's surgery went well. Her eyesight has improved slightly—she can see fuzzy shapes and colors—but she's still mostly blind. Hopefully, her vision will fully return soon."
4,hybrid,none,none,polish_35,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest things can become an ordeal. I also learned how remarkably sweet strangers can be for no reason other than kindness. Trust me, it wasn’t like they were trying to get into my pants—I had kid drool all over me and wore my 'wash-day' outfit. Also, I’m not entirely sure I’ll ever bathe again, so there wasn’t even an olfactory incentive! Right now, I’m composing a post while watching No Doubt’s music videos, all from my desk."
5,hybrid,none,none,polish_35,blog,"Here's the polished version with exactly 49 words edited:  

""It's 11:14 PM MST, and here I sit in my bedroom repairing the personnel director's computer from work. I don’t mind doing it, but I often wonder how frequently I end up fixing someone else's device as a favor. I’m happy to help, but when does it cross into being taken advantage of? The past few weeks, I’ve stayed up late reading, so I’d hoped to turn in early—until I realized I should return this computer promptly. *Laugh* No rest for the weary, right? So tonight, I’m rewatching *Joe Schmo 2*."
6,hybrid,none,none,polish_35,blog,"Remind me, what did I write about before this? Or, a continuation of the 'Is this a date?' saga. After the awkward lunch, my confidence wavered, and I forgot to share a key detail. Before Pat arrived, Dustin started praising him, mentioning how he’s trying to find him a girlfriend. I listened, nodding, realizing we were focusing more on setting Pat up than having a normal conversation with a stranger over pink lemonade. I excused myself to the bathroom, glanced in the mirror, and wondered: Am I being pawned off to the other guy? Is this what’s happening now?"
7,hybrid,none,none,polish_35,blog,"I would like everyone to think before they act. Actually, I'd like each and every person in the world to consider their choices before getting out of bed in the morning, and commit to staying thoughtful all day. If they're unwilling to do so, I'd very much prefer they climb back into bed and drift off to an eternal slumber. I'm sick to death of stupid people. No, I'm not the smartest person in the world... but I'm not discussing complex matters, so I believe it's fair to criticize the willfully ignorant. Let's see if I can focus this rant on a few specific types—we'll save the rest for another day. Sound good? Great."
8,hybrid,none,none,polish_35,blog,"Two issues with the scenario from my previous post: 1. True, Bush is stimulating the economy, but incorrectly. Urllink Robert Rubin noted on NPR's Marketplace that Bush could have achieved similar stimulus without long-term debt by implementing temporary tax cuts for low- and middle-income earners. Ah, Robert Rubin. His name is music to our ears. Quick: name one Bush administration domestic cabinet official with Rubin's gravitas. Still thinking? It’ll come to you... 2. We can't grant Republicans control solely during wartime because they’ve cleverly crafted an endless, global ""war on terror."
9,hybrid,none,none,polish_35,blog,"'She's saying I'm on the run, I'm chasing guys for fun' ~The Offspring. Haven’t updated in a while, but not much to share. Went to The Cove to see Supernothing—they were great as always, and got to hang with Tiago :-). Saturday: work, then out with Joe and Rach, met up with Steve, Tiago, and Tom. Got home around 11:45 PM and woke up at 6:45 AM for a meet. Arrived slightly late, but it went well—full routine on floor (no falls!), second on floor and vault, third on beam. Scored 29.45 all-around, which is decent since I improve as the season progresses."
10,hybrid,none,none,polish_35,blog,"Do you ever have one of those moments when you pause to reflect on life? Like when you're sitting in math class, bored out of your mind, and you wonder what exactly happens in your brain to make you understand math? Then you realize you exist, stuck in math class, and question why. Suddenly, it dawns on you how incredible existence is—only to recognize how absurd this train of thought is. Ever experienced that? I despise it. You know what else I hate? Block schedules. Who thought that was a good idea? Sitting through a two-and-a-half-hour class in any subject is clearly cruel and unusual punishment."
11,hybrid,none,none,polish_35,blog,"I think that **monopoly** has run **its** course in my life, and I vow to never lay my hands on that **cursed** iron (not a hot one but the piece in the game) again. Tonight, Andy beat me by a few **dollars** and won the **farcical** game—or maybe I let him win, **since** he’s leaving in a few hours and I wanted him to feel good on his last night here. **However** the story goes, it can't compare to this **Texas-sized** headache I have **now**. I’ve taken some Aleve, and it’s **working**—all I need now is some well-deserved R&R. **""Your telephone’s the one that helped me wrap the cord around your neck..."" —At the Drive-In""**"
12,hybrid,none,none,polish_35,blog,"Well... Today's been a long day. We had to drive home from Indiana. I’ll need to be selective about what I write because I could easily take up too much time and space, and I’m just exhausted. First, I have to say camp was incredible—even better than I expected. God’s been doing amazing things in my life lately, and it’s truly wonderful. I’ve turned over a new leaf, I suppose, but anyway, back to the beginning. We arrived at the Twiggs’ house on Friday evening and stayed until we left for camp on Monday. Most of our time was spent at the fair, church, a parade, Walmart, and watching movies."
13,hybrid,none,none,polish_35,blog,"Today is my last day of summer vacation! Waaaaaa! And I have a dentist appointment at 9. I hate that, but I'd rather get it over with than try to schedule it during the first month of my surgery rotation. I'm definitely nervous, scared, jittery—basically any synonym for 'hell no, I don't wanna go' to school. This is going to be a whole new challenge for me. As a perfectionist, I love excelling at everything I do. But starting new things is tough. I hate being a pawn (like I told Cassie: 'I'm going to be the only pawn on the chessboard who insists on moving like a knight'), and I hate not knowing what's going on."
14,hybrid,none,none,polish_35,blog,"Arun Shourie discusses how the current Governor of Uttar Pradesh had warned, as early as 1996, about the potential rise of a 'third Islamic state' in the subcontinent. T.V. Rajeswar, former head of the Intelligence Bureau and the incumbent Governor of Uttar Pradesh, predicted this grave threat in a series of articles published in *The Hindustan Times* back in 1996. Shourie raises a pertinent question: Does knowing that he—and not I, let alone Mr. Advani—wrote these warnings lend them credibility? Or does one dismiss him as a closet communalist, unfit to continue as Governor, simply because of his consistent stance?"
15,hybrid,none,none,polish_35,blog,"Attitude: bored. Mood: indifferent, but looking forward to tonight. It’s been a long, hard day in the trenches today, folks—almost no time to write anything for you readers. However, it’s great to see Tigger (now Akcron) taking up the reins herself, making an appearance, and discussing things. Not much to say otherwise. Yesterday was Shakespeare on the Green—a lovely play, though I had to leave before the final curtain, which was disappointing. Hopefully someday I’ll see an entire Shakespeare production. But I digress. Akcron is right about the shower issues—it’s terrible. As for laughing at her in the shower, you must admit, the expressions people make while enduring self-torture can be quite amusing."
16,hybrid,none,none,polish_35,blog,"All of a sudden, for the past two days, I have been overwhelmed by terrible exhaustion—bone-deep fatigue. Last evening, I went home and slept until my mother called around eight thirty. When I woke, it was dark, and without lights, I struggled to grasp the time or date for a moment—just her voice in the darkness as I fumbled with reality. Wonder why I'm so drained... Lovely weather this morning. It drizzled when I arrived, though I hear Calcutta has had rain for three days."
17,hybrid,none,none,polish_35,blog,"Last night was the worst. I discarded the sweater I was knitting after completing about 14 inches. I lost roughly $10 worth of yarn (at $8 per skein). By the time I reached the armholes, there were too many stitches, and the mohair kept tangling as I worked, making frogging ineffective. The yarn kept breaking. Uncharacteristically, I didn’t even swear—just gloomily unraveled it while listening to *Sex and the City* season two (thanks, library!). Eventually, I gave up and tossed it. I guess I learned a lot from this sweater attempt."
18,hybrid,none,none,polish_35,blog,"Last night in class, we discussed that week’s assigned reading, *Getting Back into Place: Toward a Renewed Study of the Place-World*, by Edward S. Casey. The first chapter explores “implacement,” while the second examines “displacement.” Casey argues that our contemporary world prioritizes time as the organizing force—running out of time, saving time, being just in time. He suggests that centering culture around place fosters a more grounded community. (This is a rough summary, in case my professor or classmates read this.) So far, this book is the first reading that has truly captivated me."
19,hybrid,none,none,polish_35,blog,"Whatever it is they put into freeze pops to create those vibrant colours, there should be a warning: may make your life slightly bizarre. While laughter is wonderful, one wonders if we would have ended up on that fire escape drinking beer in the fierce wind had we not eaten them earlier. Finding ourselves outside a sadly closed bar, we paused to flip through an office-supplies catalogue that had arrived in the mail. Lucky we did. Who could have guessed that within its pages lay the deals of a lifetime? Certainly not me. Here are just a few: buy 36 permanent markers, get a stunt kite. Purchase 30 lever arch files, receive a barbecue."
20,hybrid,none,none,polish_35,blog,"Currently listening to: *The Little Drummer Boy* by Stevan Pasero... Now, onto my post... Senate Republicans—hands up, who watched the 39-hour judicial nominations marathon last week? I know I didn’t. Well, fine—I tuned in briefly. The whole spectacle was orchestrated by Republicans who, furious that Democrats wouldn’t rubber-stamp four of Bush’s extreme nominees, staged a multi-day tantrum to score political points. Never mind that Democrats have already approved 168 of Bush’s judicial picks—nooo, that’s insufficient for power-hungry Republicans who somehow believe they have a mandate for this absurdity."
21,hybrid,none,none,polish_35,blog,"This was a great weekend. I enjoyed a lot of god's green leaf, and after a long time, I listened to Nevermore (something I should have started much earlier) and read extensively. I finished three books—Bruce Sterling's *Heavy Weather*, Larry Niven's *World of Ptavvs*, and Octavia Butler's *Parable of the Sower*. *Heavy Weather* was an engaging cyberpunk adventure set in a near-future USA, ravaged by global warming and chaos. Though clever, well-paced, and convincing, I didn't come away with any profound impressions of the story or characters. Not that they aren't well-crafted and vivid—it's a good book, just not a great one."
22,hybrid,none,none,polish_35,blog,"Because this is the aftermath. The first week back from practicum was a struggle, but it wasn't until the second week that the smoke truly began to clear. Post-practicum trauma was a hidden epidemic now coming to light. I was overwhelmed, but meeting with the course coordinator helped me release my burden, preventing another student from enduring such a pedagogically deficient practicum school. Yesterday (Monday), I encountered another distressed classmate determined to warn the next student assigned to her school. I calmed her, suggesting we approach the administrator first."
23,hybrid,none,none,polish_35,blog,"Well, things are incredibly busy here at times...but there's always time for stress-relieving activities. I've discovered that I'm terrible at 8-ball and ping pong! Rick (the Canuck) beats me regularly—we have a ping pong table in the front lobby, perfect for a quick game. Last night I joined an 8-ball tournament at the Hot Spot (our recreation tent, complete with a popcorn machine, multiple TVs, a jukebox, DVD rentals, a pool table, dartboard, and the ever-present ping pong table). I was doing well in my first game—until I scratched on the eight ball. Still, I had a great time, especially with the two Dutch soldiers who joined the tournament."
24,hybrid,none,none,polish_35,blog,"Fall 1974: I was attempting—for what felt like the 13th time—to fight my way through the second chapter of my high school algebra book. I was not then, nor am I now, a math person. I hate math. I’m math-phobic. You get the picture. As I struggled to make sense of algebra, the doorbell rang. I set my book aside and went to answer it. No one was there. Perfect. I returned to my studies, and just as a glimmer of understanding surfaced in my subconscious, the doorbell rang again. Bam—just like that, my breakthrough vanished. I checked the door, and once again, no one was there. Exactly what a struggling math student needs: an uninvited prankster."
25,hybrid,none,none,polish_35,blog,"This past week has been nothing short of exhausting. I spent Tuesday through Thursday finishing the move to my new classroom. The new room is bigger and closer to my grade-level team, which are important factors as I spend countless hours preparing my room for this year. Had I known about the move before the school year ended, I would have discarded many of the unused books and supplies. Unfortunately, I brought everything with me. This week was spent moving, unpacking, and purging extensively. I must thank my teammate Jill for her invaluable help. She was still teaching this month in my old room, so she and her wonderful students moved nearly my entire classroom for me!"
26,hybrid,none,none,polish_35,blog,"You can't escape it, you can't deny it: a part of you will always live in me. Even if I never bore your child, even if we were never wed, even if we were never an official pair... I loved you deeply, and to this day the feeling lingers in my heart. Forever will I remember those fleeting nights we shared, hearts and limbs entwined in a soulful embrace, bathed in the salty darkness of a beachside evening... Or a kiss beneath the rain. Whenever I feel the sharp ache of longing, you will be there. That fragment of you... Still bleeding the eternal love that once filled me... And endures. .. For heri"
