domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,minor,0.3333333333333333,0.6666666666666666
blog,chatgpt-roberta,llama2,minor,0.2222222222222222,0.7777777777777778
blog,detectgpt,llama2,minor,0.3333333333333333,0.6666666666666666
blog,fastdetectgpt,llama2,minor,0.3055555555555556,0.6944444444444444
blog,gltr,llama2,minor,0.4166666666666667,0.5833333333333334
blog,gpt2-base,llama2,minor,0.3333333333333333,0.6666666666666666
blog,gpt2-large,llama2,minor,0.4166666666666667,0.5833333333333334
blog,llmdet,llama2,minor,0.7777777777777778,0.2222222222222222
blog,radar,llama2,minor,0.6388888888888888,0.3611111111111111
blog,zerogpt,llama2,minor,0.3055555555555556,0.6944444444444444
email_content,binoculars,llama2,minor,0.2,0.8
email_content,chatgpt-roberta,llama2,minor,0.05,0.95
email_content,detectgpt,llama2,minor,0.3,0.7
email_content,fastdetectgpt,llama2,minor,0.15,0.85
email_content,gltr,llama2,minor,0.2,0.8
email_content,gpt2-base,llama2,minor,0.45,0.55
email_content,gpt2-large,llama2,minor,0.65,0.35
email_content,llmdet,llama2,minor,0.9,0.1
email_content,radar,llama2,minor,0.5,0.5
email_content,zerogpt,llama2,minor,0.1,0.9
game_review,binoculars,llama2,minor,0.46875,0.53125
game_review,chatgpt-roberta,llama2,minor,0.5,0.5
game_review,detectgpt,llama2,minor,0.53125,0.46875
game_review,fastdetectgpt,llama2,minor,0.5,0.5
game_review,gltr,llama2,minor,0.53125,0.46875
game_review,gpt2-base,llama2,minor,0.625,0.375
game_review,gpt2-large,llama2,minor,0.5,0.5
game_review,llmdet,llama2,minor,0.84375,0.15625
game_review,radar,llama2,minor,0.46875,0.53125
game_review,zerogpt,llama2,minor,0.375,0.625
news,binoculars,llama2,minor,0.48484848484848486,0.5151515151515151
news,chatgpt-roberta,llama2,minor,0.696969696969697,0.30303030303030304
news,detectgpt,llama2,minor,0.5454545454545454,0.45454545454545453
news,fastdetectgpt,llama2,minor,0.48484848484848486,0.5151515151515151
news,gltr,llama2,minor,0.7272727272727273,0.2727272727272727
news,gpt2-base,llama2,minor,0.5454545454545454,0.45454545454545453
news,gpt2-large,llama2,minor,0.5757575757575758,0.42424242424242425
news,llmdet,llama2,minor,0.8181818181818182,0.18181818181818182
news,radar,llama2,minor,0.2727272727272727,0.7272727272727273
news,zerogpt,llama2,minor,0.48484848484848486,0.5151515151515151
paper_abstract,binoculars,llama2,minor,0.3333333333333333,0.6666666666666666
paper_abstract,chatgpt-roberta,llama2,minor,0.19444444444444445,0.8055555555555556
paper_abstract,detectgpt,llama2,minor,0.2222222222222222,0.7777777777777778
paper_abstract,fastdetectgpt,llama2,minor,0.3611111111111111,0.6388888888888888
paper_abstract,gltr,llama2,minor,0.3055555555555556,0.6944444444444444
paper_abstract,gpt2-base,llama2,minor,0.2222222222222222,0.7777777777777778
paper_abstract,gpt2-large,llama2,minor,0.3888888888888889,0.6111111111111112
paper_abstract,llmdet,llama2,minor,0.5,0.5
paper_abstract,radar,llama2,minor,0.05555555555555555,0.9444444444444444
paper_abstract,zerogpt,llama2,minor,0.2222222222222222,0.7777777777777778
speech,binoculars,llama2,minor,0.4666666666666667,0.5333333333333333
speech,chatgpt-roberta,llama2,minor,0.5333333333333333,0.4666666666666667
speech,detectgpt,llama2,minor,0.5,0.5
speech,fastdetectgpt,llama2,minor,0.43333333333333335,0.5666666666666667
speech,gltr,llama2,minor,0.7666666666666667,0.23333333333333334
speech,gpt2-base,llama2,minor,0.5333333333333333,0.4666666666666667
speech,gpt2-large,llama2,minor,0.36666666666666664,0.6333333333333333
speech,llmdet,llama2,minor,0.9333333333333333,0.06666666666666667
speech,radar,llama2,minor,0.4666666666666667,0.5333333333333333
speech,zerogpt,llama2,minor,0.4666666666666667,0.5333333333333333
