id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_5,blog,"I am so excited for the weekend! I might get the keys to my new apartment tomorrow and I can't wait. Last night, Bethany and I stayed up until after 3:00am watching movies. We've been watching a lot of movies lately. Last night, we watched ""Thirteen"" - a movie every mother of a teenager should see. It was better than I expected. Then we watched ""Gigli,"" and yeah, it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_5,blog,"Summer TV used to be a dead zone, but now two great new shows. Blown away by the gayest concept... Jonothan Antin wants to build a second salon in Beverly Hills, but as I flipped channels, I caught him excitedly declaring, 'I'll build the greatest salon ever!' I was hooked, not since Rocco have I found such a moron compelling TV."
4,hybrid,none,none,polish_5,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest things can become a frustrating ordeal. I also learned how surprisingly sweet total strangers can be for no reason other than to be kind. Trust me, it wasn't like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit... Also, I'm not sure I'll ever be bathing again, so there was no olfactory incentive there! I am currently composing this post and watching the Collected No Doubt videos. I am doing both of these things sitting at my desk in my room."
5,hybrid,none,none,polish_5,blog,"It's 11:14pm and I'm in my bedroom fixing my boss's computer. While I enjoy helping others, I wonder if I'm being taken advantage of. The past couple of weeks, I've been staying up late reading and such, so I was looking forward to getting some rest. However, I realized it would be more practical to return the computer to its owner. *chuckles* No rest for the weary, I guess."
6,hybrid,none,none,polish_5,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga. So, after the bizarre lunch, my confidence was shaken, and I forgot to tell you all an important part of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're discussing more about finding Dustin's best friend, a girl, than discussing whatever it is we're doing with a stranger over pink lemonade. I excuse myself to the bathroom and silently ask myself: am I being pawned off on the other guy? Is this what happens now?"
7,hybrid,none,none,polish_5,blog,"I want people to think before acting. Everyone, in bed, all day, thinking, no stupidity."
8,hybrid,none,none,polish_5,blog,"1. Two problems with the scenario outlined in my previous post: Firstly, while Bush's tax cuts may have stimulated the economy in the short term, they have created a long-term debt hangover that could have been avoided with different tax cuts targeting low- and middle-income individuals.
2. Moreover, the Republicans cannot be given control only in times of war because they have cleverly crafted an endless, global ""war on terrorism"" that provides a pretext for their political agenda."
9,hybrid,none,none,polish_5,blog,"She's saying I'm on the run, I'm chasing guys for fun."" ~The Offspring haven't updated in a while, but not much to say... Went to the cove to see SuperNothing, they were good as usual, got to chill with Tiago. Sat. Went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home at like quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good, I did my full-on floor and didn't fall, second on floor and vault, and third on beam, 29.45 all around, which isn't bad because my meets get better as the season goes on."
11,hybrid,none,none,polish_5,blog,"I think that monopoly has run its course in my life and I vow to never lay my hands on that damn iron (not a hot one, but the piece in the game) again. Tonight, Andy beat me by a few small dollars and won the faroquin game, or maybe I let him win on account of him leaving in a few short hours and me wanting him to feel good on his last night here. Well, however the story goes, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve and I must say, they are doing the trick. All I need now is some well-deserved R&R. Your telephone's the one that helped me wrap the cord around my neck... At the drive-in."
12,hybrid,none,none,polish_5,blog,"Today has been a long day. I guess I'll have to be choosy with what I write about because I don't have a lot of energy. Let me tell you about camp. It was amazing! God has been doing so much in my life lately and it's been great. I've turned over a new leaf, I guess, and it's been awesome. We arrived at the Twiggs' house on Friday evening and we didn't leave until Monday. Most of what we did was go to the fair, church, a parade, and watch movies."
16,hybrid,none,none,polish_5,blog,"As I lay in bed, half-asleep, my mother's voice pierced through the darkness, calling my name at around eight in the morning. I groggily opened my eyes, trying to make sense of the time, but it was still dark, and I couldn't see anything. I was disoriented and confused, unsure of what time it was or what day it was. My mother's voice was the only thing I could hear, echoing in the darkness, telling me something about the weather in Calcutta. It had been raining for three days, she said, and I felt a wave of exhaustion wash over me. I lay there for a few moments, trying to shake off the sleep and make sense of the situation. Despite the confusion, it was a nice morning, with a gentle drizzle falling from the sky."
17,hybrid,none,none,polish_5,blog,"Last night was the worst. I threw away the sweater I was knitting because it had too many stitches and the mohair was knotting together as I knitted. Despite my best efforts, frogging (ripping out rows) didn't help, and the yarn broke a lot. I didn't even swear, which is unusual for me. I just morosely watched two seasons of Sex and the City instead and then threw the sweater away. I suppose I learned something from the experience, but it wasn't exactly a productive or enjoyable one."
18,hybrid,none,none,polish_5,blog,"Last night in class, we discussed the assigned reading, ""Getting Back into Place: Toward a Renewed Study of the Place-World,"" by Edward S. Casey. The first chapter explores the concept of ""implacement"" and the second, ""displacement."" Casey argues that our contemporary world and culture revolve around time as the central organizing principle, with a focus on the finite nature of time and the need to make the most of it. He contends that placing place at the center of culture can foster a more grounded community. So far, this book has been the most engaging read of the semester."
19,hybrid,none,none,polish_5,blog,"Whatever it is they put into freeze, pops to make them those colors, there should be some sort of warning: may make your life a bit bizarre. And while giggling is good, one wonders if we would have found ourselves up that fire escape, drinking beer in the fierce wind had we not been eating them earlier. Finding ourselves in a doorway to a bar, sadly closed for business, we stopped to examine an office-supplies catalog that had arrived in the post. Lucky we did. Who could possibly have guessed that within these pages were the special offers of a lifetime? Not I, for certain. I list but a few: buy 36 permanent marker pens, get a stunt kite. Buy 30 lever arch files, get a barbecue."
20,hybrid,none,none,polish_5,blog,"Currently listening to: The Little Drummer Boy by Stevan Pasero...and now my post...Senate Republicans, hands up - who watched the 39-hour judicial nominations marathon last week? I know I didn't. Well, okay - I did tune in once or twice. The entire colossal waste of time was perpetrated by Republicans trying to score political points by holding a multi-day cry-fest. Never mind the fact that Democrats have already approved 168 of Bush's judicial nominees - nooo, that's not good enough for the power-mad Republicans who are for some reason laboring under the misapprehension they have a huge mandate for this kind of nonsense."
21,hybrid,none,none,polish_5,blog,"This was a good weekend. I did a lot of good reading, after a long time, I listened to a lot of music (something I should have started doing much earlier) and read three books over the weekend - Bruce Sterling's Heavy Weather, Larry Niven's World of Ptavvs, and Octavia Butler's Parable of the Sower. Heavy Weather was a good cyberpunk romp through a near-future USA, devastated by global warming and general anarchy. While it was clever, well-paced, and vividly etched, I failed to come away with any really significant sensations about the story or the characters. Not that both aren't well-constructed and etched - it's a good book, but not a great one, I guess."
22,hybrid,none,none,polish_5,blog,"Since returning from practicum, I've been struggling to process the aftermath. However, as the second week has passed, the smoke has started to clear, revealing a hidden epidemic that was previously overlooked. Post-practicum trauma has affected many students, including myself, and it's only now that we're starting to come to terms with it. I was able to release my burden by meeting with the course coordinator, which prevented another student from experiencing the same difficulties. Yesterday, I encountered another classmate who was determined to share their frustration with someone who was due to go to their practicum school next. I calmed them down and advised them to speak to the administrator first."
23,hybrid,none,none,polish_5,blog,"Well, things are incredibly busy here at times...but there's always time for supposed stress-relieving activities. I've found that I'm not very good at 8-ball or ping pong, and Rick (the Canuck) always beats me. We have a ping pong table in the front lobby of our building, and I try to squeeze in a quick game whenever I can. Last night, I participated in an 8-ball tournament at the hot spot (our recreation tent with a popcorn machine, TVs, jukebox, DVD rentals, pool table, dart board, and ping pong table). Despite scratching on the eight ball, I still had a good time, and I enjoyed the two Dutch soldiers who joined in the tournament."
