domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,average,0.25842285260042175,0.7415771473995783
blog,chatgpt-roberta,llama2,average,0.2205573951554177,0.7794426048445822
blog,detectgpt,llama2,average,0.3128418745866064,0.6871581254133936
blog,fastdetectgpt,llama2,average,0.23131668849735362,0.7686833115026463
blog,gltr,llama2,average,0.45349124541174873,0.5465087545882513
blog,gpt2-base,llama2,average,0.2634687340320018,0.7365312659679982
blog,gpt2-large,llama2,average,0.42051009493334474,0.5794899050666553
blog,llmdet,llama2,average,0.6758009320927527,0.32419906790724723
blog,radar,llama2,average,0.6853101549995587,0.3146898450004412
blog,zerogpt,llama2,average,0.1880944863068103,0.8119055136931896
email_content,binoculars,llama2,average,0.25108604845446947,0.7489139515455304
email_content,chatgpt-roberta,llama2,average,0.11534192624418187,0.8846580737558181
email_content,detectgpt,llama2,average,0.24485022079007043,0.7551497792099297
email_content,fastdetectgpt,llama2,average,0.17225205871822413,0.8277479412817758
email_content,gltr,llama2,average,0.27364840673111346,0.7263515932688865
email_content,gpt2-base,llama2,average,0.41472132712734217,0.5852786728726578
email_content,gpt2-large,llama2,average,0.632515813342881,0.36748418665711896
email_content,llmdet,llama2,average,0.8643632891753191,0.13563671082468073
email_content,radar,llama2,average,0.6213330946413652,0.3786669053586347
email_content,zerogpt,llama2,average,0.14364482635159326,0.8563551736484067
game_review,binoculars,llama2,average,0.5270184906807297,0.47298150931927024
game_review,chatgpt-roberta,llama2,average,0.4185531103937176,0.5814468896062824
game_review,detectgpt,llama2,average,0.5799682923022581,0.42003170769774195
game_review,fastdetectgpt,llama2,average,0.5211377806254467,0.4788622193745534
game_review,gltr,llama2,average,0.5021232931100104,0.4978767068899897
game_review,gpt2-base,llama2,average,0.6527778462313566,0.34722215376864335
game_review,gpt2-large,llama2,average,0.6395048341917412,0.3604951658082588
game_review,llmdet,llama2,average,0.7803639539882424,0.21963604601175762
game_review,radar,llama2,average,0.6767825996478748,0.3232174003521252
game_review,zerogpt,llama2,average,0.358049730155992,0.641950269844008
news,binoculars,llama2,average,0.4257700880938886,0.5742299119061114
news,chatgpt-roberta,llama2,average,0.754572210115718,0.24542778988428218
news,detectgpt,llama2,average,0.5336420491950445,0.46635795080495546
news,fastdetectgpt,llama2,average,0.414547050491751,0.5854529495082491
news,gltr,llama2,average,0.7079986320041215,0.29200136799587867
news,gpt2-base,llama2,average,0.4412114919281496,0.5587885080718504
news,gpt2-large,llama2,average,0.5469155404097122,0.4530844595902877
news,llmdet,llama2,average,0.7721527393948782,0.2278472606051218
news,radar,llama2,average,0.2561904527206777,0.7438095472793224
news,zerogpt,llama2,average,0.4353758365516294,0.5646241634483705
paper_abstract,binoculars,llama2,average,0.3107102928890854,0.6892897071109145
paper_abstract,chatgpt-roberta,llama2,average,0.188908923893444,0.8110910761065558
paper_abstract,detectgpt,llama2,average,0.2967193861350208,0.7032806138649793
paper_abstract,fastdetectgpt,llama2,average,0.3701822429376609,0.6298177570623392
paper_abstract,gltr,llama2,average,0.30014830156084027,0.6998516984391597
paper_abstract,gpt2-base,llama2,average,0.23939385133270583,0.7606061486672943
paper_abstract,gpt2-large,llama2,average,0.43605412475381516,0.5639458752461849
paper_abstract,llmdet,llama2,average,0.3901220575949678,0.6098779424050322
paper_abstract,radar,llama2,average,0.10101436661034183,0.8989856333896581
paper_abstract,zerogpt,llama2,average,0.1743721813961752,0.8256278186038247
speech,binoculars,llama2,average,0.3571089738577423,0.6428910261422577
speech,chatgpt-roberta,llama2,average,0.43685458857872655,0.5631454114212735
speech,detectgpt,llama2,average,0.5456166757890896,0.45438332421091043
speech,fastdetectgpt,llama2,average,0.2863346104725415,0.7136653895274586
speech,gltr,llama2,average,0.5970919018948575,0.40290809810514244
speech,gpt2-base,llama2,average,0.428381812495113,0.571618187504887
speech,gpt2-large,llama2,average,0.3677040164724894,0.6322959835275107
speech,llmdet,llama2,average,0.7409270988088722,0.2590729011911278
speech,radar,llama2,average,0.5332134386321578,0.4667865613678422
speech,zerogpt,llama2,average,0.4426851200250215,0.5573148799749784
