id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_35,blog,"Another week just flew by. I drove past the new house yesterday, and the front window was covered in boxes. We may get the keys at closing; I am so excited. If all goes well this week, we'll be set for closing a week from Wednesday. I was up until after 3:00 a.m. last night, watching movies with Bethany. There's been a lot of movie-watching happening here lately. Here's my rundown: Last night, we watched ""Thirteen,"" a movie every mother of a teen should see. It was better than I expected. Then we watched ""Gigli,"" and, yes, it was just as bad as the media said, but we had to see for ourselves."
2,hybrid,none,none,polish_35,blog,"Summer TV used to be a dead zone full of repeats. But now, there are two great new shows on TV, and I have been watching both religiously for the last week. ""Blow Out,"" with the most extravagant concept, surprisingly features no gay people in sight. Hairstylist Jonathan Antin wants to build a second location for his incredibly popular West Hollywood salon, this time in Beverly Hills. Normally, no one, especially not I, would care. However, as I was flipping through the channels, I caught a glimpse of Jonathan, equally narcissistic and dull, looking at an empty space on Rodeo Dr., declaring, ""I am going to build here the greatest salon in the history of the world ever!"" and I was hooked. Not since Rocco have I found such a moron compelling TV viewing."
3,hybrid,none,none,polish_35,blog,"What a week ... My right shoulder has tendonitis. It's right under my shoulder blade. So, when I move my arm too much, mainly with a mouse on a computer... it hurts. I can't move it much now because I went on a spree updating my website and working on other online tasks. I can barely find the strength to draw anything. Lack of sleep adds to my pain. I'm not too happy right now, but I'll get better. My mom's surgery went okay. Her eyesight has improved somewhat. She can see fuzzy shapes and make out colors. Other than that, she's still blind. Hopefully, she'll fully regain her vision soon."
4,hybrid,none,none,polish_35,blog,"Kindness of strangers... Attempted laundry today with the kids and quickly realized how the simplest tasks can become an ordeal. I also discovered how remarkably sweet strangers can be for no reason other than because they feel like it. Trust me. It wasn't like they were trying to get into my pants or anything. I was covered in kid drool and wore my 'wash-day' outfit... Also, I'm not entirely sure I'll bathe again, so it wasn't like there was any olfactory incentive! I am doing two things right now. I am composing a post and also watching the collected No Doubt videos. I am doing both of these while sitting at my desk in my room."
5,hybrid,none,none,polish_35,blog,"It's 11:14 PM MST, and here I sit in my bedroom fixing the personal computer of the personnel director from my job. I don't mind doing it, but I sometimes wonder at how often I find myself fixing someone else's computer as a favor. I'm glad to help people this way, but where is the line drawn when it comes to being taken advantage of? The last couple of weeks, I've been staying up late reading and such, so I was looking forward to an early night until I realized it would be more prudent to get this computer out of my bedroom and back to its owner. *laugh* No rest for the weary, right? So I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_35,blog,"Remind me, what did I write about before this? Or, a continuation in the ""is this a date?"" saga. So, after the weird lunch, my confidence shook. I forgot to tell you an important piece of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening, nodding, and realizing that we're talking more about finding Dustin's best friend a girl than discussing whatever you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and then silently asked myself: am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_35,blog,"I would like everyone to think before they act. In fact, I'd like every single person in the world to think before they get out of bed in the morning and commit to thinking all day. If they're not prepared to, I'd prefer they hop back into bed and drift off to an eternal slumber. I'm sick of dealing with stupid people. I'm not the smartest person in the world, but I'm not talking about things that require a lot of brain power, so I think it's fair to criticize the truly ignorant. Let's see if I can keep this rant focused on a few types, and we'll save some for another day, sound good? Great."
8,hybrid,none,none,polish_35,blog,"Two issues arise with the scenario outlined in my previous post: 1. It's true that Bush is stimulating the economy, but in the wrong way. Robert Rubin told NPR's Marketplace today that Bush could have achieved the same stimulus effect without long-term debt by enacting different tax cuts—temporary ones benefiting low- and middle-income individuals. Ah, Robert Rubin. The sound of his name is music to our ears. Quick: can you name one Bush administration cabinet official on the domestic side with Rubin's gravitas? Still thinking? It'll come to you... 2. We can't give Republicans control only during wartime because they've ingeniously concocted an endless, global ""war on terrorism."
9,hybrid,none,none,polish_35,blog,"'She's saying I'm on the run, chasing guys for fun' ~The Offspring. Haven't updated in a while, but not much to say. Went to the Cove to see Supernothing; they were great as usual. Got to chill with Tiago :-) Saturday, I went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home around quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a bit late, but it's all good—I performed my full routine on the floor without falling. Secured second on floor and vault and third on beam, scoring 29.45 all around, which isn't bad since my meets improve as the season progresses."
10,hybrid,none,none,polish_35,blog,"Have you ever had one of those moments when you start reflecting on life? Like you're sitting in math class, bored out of your mind, and you wonder what exactly happens in your brain that helps you understand math? Then you realize you exist and you are in math class and wonder why. You understand how amazing existing is. And suddenly it hits you—the fact that you are going off on this random train of thought is incredibly pathetic. Ever experienced that? I hate it. You know what else I hate? Block schedules. Who would ever come up with that idea? Clearly, sitting through a two-and-a-half-hour class in any subject is cruel and unusual punishment."
