id,model,decoding,repetition_penalty,attack,domain,generation
4,hybrid,none,none,polish_extreme_minor,blog,"Kindness of strangers... Attempted laundry today with the kids in tow and realized how quickly the simplest tasks can become a formidable ordeal. I also learned how remarkably sweet total strangers can be, simply because they feel like being kind. Trust me, it wasn't like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit... Also, I'm not sure I'll ever be bathing again, so it's not like there was even an olfactory incentive there! I am currently composing this post and watching the collected No Doubt videos. I am doing both of these things sitting at my desk in my room."
5,hybrid,none,none,polish_extreme_minor,blog,"It is currently 11:14 PM MST and I find myself in my bedroom, fixing the personal computer of the personnel director from my job. While I do not mind doing so, I often wonder at how frequently I find myself fixing someone else's computer as a favor. I am glad to be able to show love and minister to people in this way, but I often wonder where the line is drawn when it comes to being taken advantage of. Over the past couple of weeks, I've been staying up late reading and such, so I was looking forward to getting some rest early on. However, I realized it would be more prudent to get this computer back in its owner's hands. *laugh* No rest for the weary, I suppose. So, I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_extreme_minor,blog,"Here is the rewritten text with the requested changes:
""Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga. So, after the weird lunch, my confidence was shaken, and I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dustin starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dustin's best friend a girl than discussing whatever it is we're supposed to be discussing with a stranger over pink lemonade. I excused myself to the bathroom and silently asked myself: am I being pawned off on the other guy? Is this what happens now?"
7,hybrid,none,none,polish_extreme_minor,blog,"Sure, here is the polished text:
""I would like everyone to think before they act. Actually, I'd like each and every single person in the world to think before they get out of bed in the morning and make a commitment to keep thinking all day. If they're not prepared, I'd like very much that they'd hop back in bed and drift off to an eternal slumber. I'm sick to death of stupid people. While I'm not the smartest motherfucker in the world... I'm not talking about things that require a lot of brain power, so I think it's fair to persecute the inanely stupid. Let's see if I can keep this particular rant to a few particular types, and we'll save some for another day. Sounds good?"
8,hybrid,none,none,polish_extreme_minor,blog,"1. True, Bush's economic policies were not effective in stimulating the economy, but in the wrong way. Robert Rubin, former Treasury Secretary under Bill Clinton, told NPR's Marketplace today that Bush could have achieved the same stimulus effect without the long-term debt hangover by enacting different tax cuts, such as temporary tax cuts that would benefit low- and middle-income people.
2. We cannot give the Republicans control of the government only in times of war because they have cleverly concocted an endless, global ""war on terrorism."
9,hybrid,none,none,polish_extreme_minor,blog,"She's saying I'm on the run, I'm chasing guys for fun."" ~The Offspring (umm, haven't updated in awhile, but not much to say...). Went to the cove to see SuperNothing, they were good as usual, got to chill with Tiago:). Sat. Went to work and then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home at like quarter to 12 and woke up the next morning at quarter to 7 for a meet. Got there a little late, but it's all good, did my full on floor and didn't fall, second on floor and vault, and third on beam, 29.45 all around, which isn't bad bc my meets get better as the season goes on."
11,hybrid,none,none,polish_extreme_minor,blog,"I think Monopoly has run its course in my life, and I vow to never lay my hands on that damn iron (not a hot one, but the piece in the game) again. Tonight, Andy beat me by a few small dollars and won the game, or maybe I let him win on account of him leaving in a few short hours and me wanting him to feel good on his last night here. Well, however the story goes, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve, and I must say, they are doing the trick. All I need now is some well-deserved R&R. Your telephone's the one that helped me wrap the cord around my neck... At the drive-in."
12,hybrid,none,none,polish_extreme_minor,blog,"Today has been a long day. We had to drive home from Indiana. I guess I'll have to be choosy about what I write because I could really take up a lot of time and energy, and I just don't have enough. First off, camp was awesome and even better than I could have expected. God has been doing so much in my life lately, and it's just awesome. I've sort of turned over a new leaf, I guess, but anyway, back to the beginning. We arrived at the Twiggs' house on Friday evening and we stayed until we left for camp on Monday. Most of what we did was go to the fair, church, a parade, Walmart, and watched movies."
13,hybrid,none,none,polish_extreme_minor,blog,"Today is my last day of summer vacation! 😢 and I have a dentist appointment at 9 AM. Ugh, I'd rather get it over with than try to schedule it during the first month of my surgery rotation. I'm definitely nervous and scared, and I can't think of any other words to describe how I feel. This is going to be a whole new ball game for me. As a perfectionist, I love excelling at everything I do. But starting new things is always a challenge. I hate being a pawn (like I told Cassie: 'I'm going to be the only pawn on the chessboard who insists on moving like a knight'). And I hate not knowing what's going to happen."
14,hybrid,none,none,polish_extreme_minor,blog,"Arun Shourie discusses how the current Governor of Uttar Pradesh, T V Rajeswar, warned about the impending threat of a potential 'third Islamic state' in the subcontinent as far back as 1996. In a series of articles published in Hindustan Times, Rajeswar predicted this dire threat. Shourie raises a valid point by questioning whether the fact that Rajeswar, rather than Advani, wrote these warnings makes them more credible. Or does it suggest that Rajeswar, a closet communalist, should not continue as Governor of Uttar Pradesh?"
