domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,extreme_minor,0.0196078431372549,0.9803921568627451
blog,chatgpt-roberta,llama70b,extreme_minor,0.09803921568627451,0.9019607843137255
blog,detectgpt,llama70b,extreme_minor,0.19607843137254902,0.803921568627451
blog,fastdetectgpt,llama70b,extreme_minor,0.0392156862745098,0.9607843137254902
blog,gltr,llama70b,extreme_minor,0.29411764705882354,0.7058823529411765
blog,gpt2-base,llama70b,extreme_minor,0.0784313725490196,0.9215686274509803
blog,gpt2-large,llama70b,extreme_minor,0.13725490196078433,0.8627450980392157
blog,llmdet,llama70b,extreme_minor,0.7450980392156863,0.2549019607843137
blog,radar,llama70b,extreme_minor,0.27450980392156865,0.7254901960784313
blog,zerogpt,llama70b,extreme_minor,0.0,1.0
email_content,binoculars,llama70b,extreme_minor,0.06976744186046512,0.9302325581395349
email_content,chatgpt-roberta,llama70b,extreme_minor,0.11627906976744186,0.8837209302325582
email_content,detectgpt,llama70b,extreme_minor,0.20930232558139536,0.7906976744186046
email_content,fastdetectgpt,llama70b,extreme_minor,0.20930232558139536,0.7906976744186046
email_content,gltr,llama70b,extreme_minor,0.20930232558139536,0.7906976744186046
email_content,gpt2-base,llama70b,extreme_minor,0.3023255813953488,0.6976744186046512
email_content,gpt2-large,llama70b,extreme_minor,0.4883720930232558,0.5116279069767442
email_content,llmdet,llama70b,extreme_minor,0.8604651162790697,0.13953488372093023
email_content,radar,llama70b,extreme_minor,0.3953488372093023,0.6046511627906976
email_content,zerogpt,llama70b,extreme_minor,0.046511627906976744,0.9534883720930233
game_review,binoculars,llama70b,extreme_minor,0.09803921568627451,0.9019607843137255
game_review,chatgpt-roberta,llama70b,extreme_minor,0.11764705882352941,0.8823529411764706
game_review,detectgpt,llama70b,extreme_minor,0.4117647058823529,0.5882352941176471
game_review,fastdetectgpt,llama70b,extreme_minor,0.1568627450980392,0.8431372549019608
game_review,gltr,llama70b,extreme_minor,0.5098039215686274,0.49019607843137253
game_review,gpt2-base,llama70b,extreme_minor,0.49019607843137253,0.5098039215686274
game_review,gpt2-large,llama70b,extreme_minor,0.3333333333333333,0.6666666666666666
game_review,llmdet,llama70b,extreme_minor,0.7843137254901961,0.21568627450980393
game_review,radar,llama70b,extreme_minor,0.0784313725490196,0.9215686274509803
game_review,zerogpt,llama70b,extreme_minor,0.0,1.0
news,binoculars,llama70b,extreme_minor,0.08163265306122448,0.9183673469387755
news,chatgpt-roberta,llama70b,extreme_minor,0.5714285714285714,0.42857142857142855
news,detectgpt,llama70b,extreme_minor,0.3673469387755102,0.6326530612244898
news,fastdetectgpt,llama70b,extreme_minor,0.20408163265306123,0.7959183673469388
news,gltr,llama70b,extreme_minor,0.5102040816326531,0.4897959183673469
news,gpt2-base,llama70b,extreme_minor,0.16326530612244897,0.8367346938775511
news,gpt2-large,llama70b,extreme_minor,0.16326530612244897,0.8367346938775511
news,llmdet,llama70b,extreme_minor,0.7551020408163265,0.24489795918367346
news,radar,llama70b,extreme_minor,0.02040816326530612,0.9795918367346939
news,zerogpt,llama70b,extreme_minor,0.12244897959183673,0.8775510204081632
paper_abstract,binoculars,llama70b,extreme_minor,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,llama70b,extreme_minor,0.0196078431372549,0.9803921568627451
paper_abstract,detectgpt,llama70b,extreme_minor,0.27450980392156865,0.7254901960784313
paper_abstract,fastdetectgpt,llama70b,extreme_minor,0.13725490196078433,0.8627450980392157
paper_abstract,gltr,llama70b,extreme_minor,0.13725490196078433,0.8627450980392157
paper_abstract,gpt2-base,llama70b,extreme_minor,0.19607843137254902,0.803921568627451
paper_abstract,gpt2-large,llama70b,extreme_minor,0.35294117647058826,0.6470588235294118
paper_abstract,llmdet,llama70b,extreme_minor,0.47058823529411764,0.5294117647058824
paper_abstract,radar,llama70b,extreme_minor,0.0,1.0
paper_abstract,zerogpt,llama70b,extreme_minor,0.0392156862745098,0.9607843137254902
speech,binoculars,llama70b,extreme_minor,0.058823529411764705,0.9411764705882353
speech,chatgpt-roberta,llama70b,extreme_minor,0.4117647058823529,0.5882352941176471
speech,detectgpt,llama70b,extreme_minor,0.37254901960784315,0.6274509803921569
speech,fastdetectgpt,llama70b,extreme_minor,0.1568627450980392,0.8431372549019608
speech,gltr,llama70b,extreme_minor,0.6666666666666666,0.3333333333333333
speech,gpt2-base,llama70b,extreme_minor,0.4117647058823529,0.5882352941176471
speech,gpt2-large,llama70b,extreme_minor,0.27450980392156865,0.7254901960784313
speech,llmdet,llama70b,extreme_minor,0.9019607843137255,0.09803921568627451
speech,radar,llama70b,extreme_minor,0.11764705882352941,0.8823529411764706
speech,zerogpt,llama70b,extreme_minor,0.19607843137254902,0.803921568627451
