domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,minor,0.18,0.82
blog,chatgpt-roberta,llama,minor,0.18,0.82
blog,detectgpt,llama,minor,0.26,0.74
blog,fastdetectgpt,llama,minor,0.22,0.78
blog,gltr,llama,minor,0.5,0.5
blog,gpt2-base,llama,minor,0.26,0.74
blog,gpt2-large,llama,minor,0.42,0.58
blog,llmdet,llama,minor,0.82,0.18
blog,radar,llama,minor,0.64,0.36
blog,zerogpt,llama,minor,0.22,0.78
email_content,binoculars,llama,minor,0.1282051282051282,0.8717948717948718
email_content,chatgpt-roberta,llama,minor,0.10256410256410256,0.8974358974358975
email_content,detectgpt,llama,minor,0.23076923076923078,0.7692307692307693
email_content,fastdetectgpt,llama,minor,0.1794871794871795,0.8205128205128205
email_content,gltr,llama,minor,0.38461538461538464,0.6153846153846154
email_content,gpt2-base,llama,minor,0.3076923076923077,0.6923076923076923
email_content,gpt2-large,llama,minor,0.6153846153846154,0.38461538461538464
email_content,llmdet,llama,minor,0.8205128205128205,0.1794871794871795
email_content,radar,llama,minor,0.5384615384615384,0.46153846153846156
email_content,zerogpt,llama,minor,0.15384615384615385,0.8461538461538461
game_review,binoculars,llama,minor,0.32608695652173914,0.6739130434782609
game_review,chatgpt-roberta,llama,minor,0.3695652173913043,0.6304347826086957
game_review,detectgpt,llama,minor,0.41304347826086957,0.5869565217391305
game_review,fastdetectgpt,llama,minor,0.3695652173913043,0.6304347826086957
game_review,gltr,llama,minor,0.6304347826086957,0.3695652173913043
game_review,gpt2-base,llama,minor,0.5,0.5
game_review,gpt2-large,llama,minor,0.5652173913043478,0.43478260869565216
game_review,llmdet,llama,minor,0.9347826086956522,0.06521739130434782
game_review,radar,llama,minor,0.32608695652173914,0.6739130434782609
game_review,zerogpt,llama,minor,0.17391304347826086,0.8260869565217391
news,binoculars,llama,minor,0.20408163265306123,0.7959183673469388
news,chatgpt-roberta,llama,minor,0.7142857142857143,0.2857142857142857
news,detectgpt,llama,minor,0.4897959183673469,0.5102040816326531
news,fastdetectgpt,llama,minor,0.2653061224489796,0.7346938775510204
news,gltr,llama,minor,0.6530612244897959,0.3469387755102041
news,gpt2-base,llama,minor,0.30612244897959184,0.6938775510204082
news,gpt2-large,llama,minor,0.42857142857142855,0.5714285714285714
news,llmdet,llama,minor,0.7755102040816326,0.22448979591836735
news,radar,llama,minor,0.16326530612244897,0.8367346938775511
news,zerogpt,llama,minor,0.2653061224489796,0.7346938775510204
paper_abstract,binoculars,llama,minor,0.19607843137254902,0.803921568627451
paper_abstract,chatgpt-roberta,llama,minor,0.058823529411764705,0.9411764705882353
paper_abstract,detectgpt,llama,minor,0.13725490196078433,0.8627450980392157
paper_abstract,fastdetectgpt,llama,minor,0.19607843137254902,0.803921568627451
paper_abstract,gltr,llama,minor,0.13725490196078433,0.8627450980392157
paper_abstract,gpt2-base,llama,minor,0.21568627450980393,0.7843137254901961
paper_abstract,gpt2-large,llama,minor,0.37254901960784315,0.6274509803921569
paper_abstract,llmdet,llama,minor,0.47058823529411764,0.5294117647058824
paper_abstract,radar,llama,minor,0.0,1.0
paper_abstract,zerogpt,llama,minor,0.0784313725490196,0.9215686274509803
speech,binoculars,llama,minor,0.38,0.62
speech,chatgpt-roberta,llama,minor,0.3,0.7
speech,detectgpt,llama,minor,0.52,0.48
speech,fastdetectgpt,llama,minor,0.34,0.66
speech,gltr,llama,minor,0.78,0.22
speech,gpt2-base,llama,minor,0.4,0.6
speech,gpt2-large,llama,minor,0.44,0.56
speech,llmdet,llama,minor,0.8,0.2
speech,radar,llama,minor,0.34,0.66
speech,zerogpt,llama,minor,0.46,0.54
