domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,average,0.09657826188693854,0.9034217381130615
blog,chatgpt-roberta,llama70b,average,0.09373557699909517,0.9062644230009047
blog,detectgpt,llama70b,average,0.2616492938068377,0.7383507061931623
blog,fastdetectgpt,llama70b,average,0.11084517978339337,0.8891548202166067
blog,gltr,llama70b,average,0.3132534051731518,0.6867465948268483
blog,gpt2-base,llama70b,average,0.10050686161768893,0.8994931383823112
blog,gpt2-large,llama70b,average,0.21091048062900633,0.7890895193709937
blog,llmdet,llama70b,average,0.7535050728264183,0.24649492717358162
blog,radar,llama70b,average,0.4305360442049159,0.5694639557950839
blog,zerogpt,llama70b,average,0.07131084839827911,0.9286891516017208
email_content,binoculars,llama70b,average,0.04651162790697675,0.9534883720930232
email_content,chatgpt-roberta,llama70b,average,0.0965828191741813,0.9034171808258186
email_content,detectgpt,llama70b,average,0.2298686916627116,0.7701313083372885
email_content,fastdetectgpt,llama70b,average,0.1800348046195222,0.8199651953804777
email_content,gltr,llama70b,average,0.1463376048093656,0.8536623951906345
email_content,gpt2-base,llama70b,average,0.3131624742920424,0.6868375257079576
email_content,gpt2-large,llama70b,average,0.47326372409428885,0.5267362759057111
email_content,llmdet,llama70b,average,0.849470020566366,0.15052997943363391
email_content,radar,llama70b,average,0.4501661129568106,0.5498338870431894
email_content,zerogpt,llama70b,average,0.07316880240468279,0.9268311975953171
game_review,binoculars,llama70b,average,0.20581661235922938,0.7941833876407706
game_review,chatgpt-roberta,llama70b,average,0.1520701137597896,0.8479298862402104
game_review,detectgpt,llama70b,average,0.37802430496007927,0.6219756950399207
game_review,fastdetectgpt,llama70b,average,0.21893042931458298,0.7810695706854169
game_review,gltr,llama70b,average,0.49236575582614,0.5076342441738599
game_review,gpt2-base,llama70b,average,0.3804869566874368,0.6195130433125631
game_review,gpt2-large,llama70b,average,0.36847715276586823,0.6315228472341319
game_review,llmdet,llama70b,average,0.7433899750376342,0.2566100249623659
game_review,radar,llama70b,average,0.24652146572914876,0.7534785342708513
game_review,zerogpt,llama70b,average,0.09722222222222222,0.9027777777777778
news,binoculars,llama70b,average,0.10833012595213128,0.8916698740478687
news,chatgpt-roberta,llama70b,average,0.5395313382269904,0.46046866177300955
news,detectgpt,llama70b,average,0.4798681708708328,0.5201318291291672
news,fastdetectgpt,llama70b,average,0.18851611565009968,0.8114838843499005
news,gltr,llama70b,average,0.5655371691307806,0.4344628308692195
news,gpt2-base,llama70b,average,0.08633309902165272,0.9136669009783472
news,gpt2-large,llama70b,average,0.17316896945113447,0.8268310305488656
news,llmdet,llama70b,average,0.7219735189389137,0.2780264810610862
news,radar,llama70b,average,0.048524297353046246,0.9514757026469537
news,zerogpt,llama70b,average,0.17521508659929244,0.8247849134007075
paper_abstract,binoculars,llama70b,average,0.08123249299719888,0.9187675070028012
paper_abstract,chatgpt-roberta,llama70b,average,0.014005602240896359,0.9859943977591037
paper_abstract,detectgpt,llama70b,average,0.22408963585434177,0.7759103641456582
paper_abstract,fastdetectgpt,llama70b,average,0.12605042016806722,0.8739495798319327
paper_abstract,gltr,llama70b,average,0.11484593837535015,0.88515406162465
paper_abstract,gpt2-base,llama70b,average,0.18207282913165268,0.8179271708683472
paper_abstract,gpt2-large,llama70b,average,0.32212885154061627,0.6778711484593838
paper_abstract,llmdet,llama70b,average,0.46218487394957986,0.5378151260504201
paper_abstract,radar,llama70b,average,0.0028011204481792717,0.9971988795518207
paper_abstract,zerogpt,llama70b,average,0.05882352941176471,0.9411764705882353
speech,binoculars,llama70b,average,0.14635460873312534,0.8536453912668746
speech,chatgpt-roberta,llama70b,average,0.4114451533121609,0.5885548466878391
speech,detectgpt,llama70b,average,0.4714443101655378,0.5285556898344622
speech,fastdetectgpt,llama70b,average,0.14968831679829123,0.8503116832017089
speech,gltr,llama70b,average,0.6637975323908829,0.33620246760911726
speech,gpt2-base,llama70b,average,0.35996355732928625,0.6400364426707138
speech,gpt2-large,llama70b,average,0.25140327702987547,0.7485967229701246
speech,llmdet,llama70b,average,0.8534954985338616,0.1465045014661383
speech,radar,llama70b,average,0.297774186597716,0.702225813402284
speech,zerogpt,llama70b,average,0.28983905267792737,0.7101609473220727
