domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama2,major,0.5,0.5
blog,chatgpt-roberta,llama2,major,0.2647058823529412,0.7352941176470589
blog,detectgpt,llama2,major,0.4117647058823529,0.5882352941176471
blog,fastdetectgpt,llama2,major,0.4117647058823529,0.5882352941176471
blog,gltr,llama2,major,0.5882352941176471,0.4117647058823529
blog,gpt2-base,llama2,major,0.29411764705882354,0.7058823529411765
blog,gpt2-large,llama2,major,0.4411764705882353,0.5588235294117647
blog,llmdet,llama2,major,0.7647058823529411,0.23529411764705882
blog,radar,llama2,major,0.6470588235294118,0.35294117647058826
blog,zerogpt,llama2,major,0.38235294117647056,0.6176470588235294
email_content,binoculars,llama2,major,0.4090909090909091,0.5909090909090909
email_content,chatgpt-roberta,llama2,major,0.2727272727272727,0.7272727272727273
email_content,detectgpt,llama2,major,0.2727272727272727,0.7272727272727273
email_content,fastdetectgpt,llama2,major,0.36363636363636365,0.6363636363636364
email_content,gltr,llama2,major,0.45454545454545453,0.5454545454545454
email_content,gpt2-base,llama2,major,0.45454545454545453,0.5454545454545454
email_content,gpt2-large,llama2,major,0.7272727272727273,0.2727272727272727
email_content,llmdet,llama2,major,0.9090909090909091,0.09090909090909091
email_content,radar,llama2,major,0.6363636363636364,0.36363636363636365
email_content,zerogpt,llama2,major,0.36363636363636365,0.6363636363636364
game_review,binoculars,llama2,major,0.5555555555555556,0.4444444444444444
game_review,chatgpt-roberta,llama2,major,0.4074074074074074,0.5925925925925926
game_review,detectgpt,llama2,major,0.5925925925925926,0.4074074074074074
game_review,fastdetectgpt,llama2,major,0.5185185185185185,0.48148148148148145
game_review,gltr,llama2,major,0.5925925925925926,0.4074074074074074
game_review,gpt2-base,llama2,major,0.5925925925925926,0.4074074074074074
game_review,gpt2-large,llama2,major,0.5185185185185185,0.48148148148148145
game_review,llmdet,llama2,major,0.8148148148148148,0.18518518518518517
game_review,radar,llama2,major,0.3333333333333333,0.6666666666666666
game_review,zerogpt,llama2,major,0.3333333333333333,0.6666666666666666
news,binoculars,llama2,major,0.48484848484848486,0.5151515151515151
news,chatgpt-roberta,llama2,major,0.7575757575757576,0.24242424242424243
news,detectgpt,llama2,major,0.5757575757575758,0.42424242424242425
news,fastdetectgpt,llama2,major,0.45454545454545453,0.5454545454545454
news,gltr,llama2,major,0.7575757575757576,0.24242424242424243
news,gpt2-base,llama2,major,0.5454545454545454,0.45454545454545453
news,gpt2-large,llama2,major,0.5151515151515151,0.48484848484848486
news,llmdet,llama2,major,0.8181818181818182,0.18181818181818182
news,radar,llama2,major,0.18181818181818182,0.8181818181818182
news,zerogpt,llama2,major,0.42424242424242425,0.5757575757575758
paper_abstract,binoculars,llama2,major,0.3333333333333333,0.6666666666666666
paper_abstract,chatgpt-roberta,llama2,major,0.3333333333333333,0.6666666666666666
paper_abstract,detectgpt,llama2,major,0.2727272727272727,0.7272727272727273
paper_abstract,fastdetectgpt,llama2,major,0.5151515151515151,0.48484848484848486
paper_abstract,gltr,llama2,major,0.42424242424242425,0.5757575757575758
paper_abstract,gpt2-base,llama2,major,0.18181818181818182,0.8181818181818182
paper_abstract,gpt2-large,llama2,major,0.5151515151515151,0.48484848484848486
paper_abstract,llmdet,llama2,major,0.5757575757575758,0.42424242424242425
paper_abstract,radar,llama2,major,0.030303030303030304,0.9696969696969697
paper_abstract,zerogpt,llama2,major,0.30303030303030304,0.696969696969697
speech,binoculars,llama2,major,0.5714285714285714,0.42857142857142855
speech,chatgpt-roberta,llama2,major,0.5714285714285714,0.42857142857142855
speech,detectgpt,llama2,major,0.6428571428571429,0.35714285714285715
speech,fastdetectgpt,llama2,major,0.5714285714285714,0.42857142857142855
speech,gltr,llama2,major,0.75,0.25
speech,gpt2-base,llama2,major,0.5,0.5
speech,gpt2-large,llama2,major,0.4642857142857143,0.5357142857142857
speech,llmdet,llama2,major,0.8928571428571429,0.10714285714285714
speech,radar,llama2,major,0.5,0.5
speech,zerogpt,llama2,major,0.5714285714285714,0.42857142857142855
