domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama,extreme_minor,0.08,0.92
blog,chatgpt-roberta,llama,extreme_minor,0.12,0.88
blog,detectgpt,llama,extreme_minor,0.18,0.82
blog,fastdetectgpt,llama,extreme_minor,0.14,0.86
blog,gltr,llama,extreme_minor,0.32,0.68
blog,gpt2-base,llama,extreme_minor,0.32,0.68
blog,gpt2-large,llama,extreme_minor,0.54,0.46
blog,llmdet,llama,extreme_minor,0.86,0.14
blog,radar,llama,extreme_minor,0.52,0.48
blog,zerogpt,llama,extreme_minor,0.1,0.9
email_content,binoculars,llama,extreme_minor,0.07317073170731707,0.926829268292683
email_content,chatgpt-roberta,llama,extreme_minor,0.04878048780487805,0.9512195121951219
email_content,detectgpt,llama,extreme_minor,0.24390243902439024,0.7560975609756098
email_content,fastdetectgpt,llama,extreme_minor,0.14634146341463414,0.8536585365853658
email_content,gltr,llama,extreme_minor,0.3170731707317073,0.6829268292682927
email_content,gpt2-base,llama,extreme_minor,0.43902439024390244,0.5609756097560976
email_content,gpt2-large,llama,extreme_minor,0.5365853658536586,0.4634146341463415
email_content,llmdet,llama,extreme_minor,0.7560975609756098,0.24390243902439024
email_content,radar,llama,extreme_minor,0.5609756097560976,0.43902439024390244
email_content,zerogpt,llama,extreme_minor,0.0975609756097561,0.9024390243902439
game_review,binoculars,llama,extreme_minor,0.125,0.875
game_review,chatgpt-roberta,llama,extreme_minor,0.1875,0.8125
game_review,detectgpt,llama,extreme_minor,0.3333333333333333,0.6666666666666666
game_review,fastdetectgpt,llama,extreme_minor,0.22916666666666666,0.7708333333333334
game_review,gltr,llama,extreme_minor,0.5625,0.4375
game_review,gpt2-base,llama,extreme_minor,0.3541666666666667,0.6458333333333334
game_review,gpt2-large,llama,extreme_minor,0.4375,0.5625
game_review,llmdet,llama,extreme_minor,0.875,0.125
game_review,radar,llama,extreme_minor,0.3125,0.6875
game_review,zerogpt,llama,extreme_minor,0.10416666666666667,0.8958333333333334
news,binoculars,llama,extreme_minor,0.1,0.9
news,chatgpt-roberta,llama,extreme_minor,0.58,0.42
news,detectgpt,llama,extreme_minor,0.38,0.62
news,fastdetectgpt,llama,extreme_minor,0.18,0.82
news,gltr,llama,extreme_minor,0.56,0.44
news,gpt2-base,llama,extreme_minor,0.2,0.8
news,gpt2-large,llama,extreme_minor,0.28,0.72
news,llmdet,llama,extreme_minor,0.72,0.28
news,radar,llama,extreme_minor,0.1,0.9
news,zerogpt,llama,extreme_minor,0.2,0.8
paper_abstract,binoculars,llama,extreme_minor,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,llama,extreme_minor,0.058823529411764705,0.9411764705882353
paper_abstract,detectgpt,llama,extreme_minor,0.21568627450980393,0.7843137254901961
paper_abstract,fastdetectgpt,llama,extreme_minor,0.1568627450980392,0.8431372549019608
paper_abstract,gltr,llama,extreme_minor,0.11764705882352941,0.8823529411764706
paper_abstract,gpt2-base,llama,extreme_minor,0.23529411764705882,0.7647058823529411
paper_abstract,gpt2-large,llama,extreme_minor,0.39215686274509803,0.6078431372549019
paper_abstract,llmdet,llama,extreme_minor,0.43137254901960786,0.5686274509803921
paper_abstract,radar,llama,extreme_minor,0.0,1.0
paper_abstract,zerogpt,llama,extreme_minor,0.0196078431372549,0.9803921568627451
speech,binoculars,llama,extreme_minor,0.23076923076923078,0.7692307692307693
speech,chatgpt-roberta,llama,extreme_minor,0.36538461538461536,0.6346153846153846
speech,detectgpt,llama,extreme_minor,0.46153846153846156,0.5384615384615384
speech,fastdetectgpt,llama,extreme_minor,0.21153846153846154,0.7884615384615384
speech,gltr,llama,extreme_minor,0.7884615384615384,0.21153846153846154
speech,gpt2-base,llama,extreme_minor,0.3269230769230769,0.6730769230769231
speech,gpt2-large,llama,extreme_minor,0.4230769230769231,0.5769230769230769
speech,llmdet,llama,extreme_minor,0.8269230769230769,0.17307692307692307
speech,radar,llama,extreme_minor,0.3076923076923077,0.6923076923076923
speech,zerogpt,llama,extreme_minor,0.34615384615384615,0.6538461538461539
