id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_50,blog,"Another week has flown by. I drove by the new house yesterday and noticed the front window was covered in boxes. We may receive the keys at closing, and I'm getting increasingly excited. If all goes well this week, we'll be set for closing a week from Wednesday. I was up late last night, watching movies with Bethany until after 3:00am. There's been a lot of movie watching lately. Here's my rundown: last night we watched Thirteen, a movie every mother of a teen should see. It exceeded my expectations. Then we watched Gigli, which was just as bad as the media said, but we had to see it for ourselves."
2,hybrid,none,none,polish_50,blog,"Summer TV used to be a dead zone filled with repeats, but now there are two great new shows that I've been watching religiously for the past week. One of them is 'Blow Out,' a show with a concept that seems to have zero gay people involved, despite its title. The show revolves around hairstylist Jonathan Antin, who wants to build a second location for his popular West Hollywood salon in Beverly Hills. Normally, this wouldn't be of interest to me, but while flipping through channels, I caught a glimpse of Jonathan speaking in a public voice, 'I'm going to build the greatest salon in the history of the world ever!' in an empty space on Rodeo Drive. His equal mix of narcissism and dullness has me hooked. Not since 'Rocco' have I found such a compelling, yet moronic, TV personality to watch."
3,hybrid,none,none,polish_50,blog,"What a week... I've developed tendonitis in my right shoulder, just under my shoulder blade. When I move my arm excessively, particularly when using a computer mouse, it's excruciating. I've had to limit my movement due to a recent marathon of updating my website and working on other online projects. As a result, I'm struggling to muster the strength to draw. Lack of sleep is exacerbating the pain. I'm not in the best spirits, but I'm optimistic about recovery. On a more positive note, my mom's surgery was successful. Her eyesight has partially returned, allowing her to see fuzzy shapes and distinguish colors. Although she's still largely blind, I'm hopeful she'll regain her full vision soon."
4,hybrid,none,none,polish_50,blog,"Kindness of strangers... I attempted to do laundry today with the kids in tow and quickly realized how the simplest tasks can become a chaotic ordeal. I also discovered how remarkably kind total strangers can be, simply because they feel like being sweet. It wasn't like they had ulterior motives; I was covered in kid drool and wearing my casual 'wash-day' outfit. I'm not sure I'll be bathing again anytime soon, so there wasn't even an olfactory incentive. Currently, I'm multitasking - composing this post and watching No Doubt's collected music videos, both from the comfort of my desk in my room."
5,hybrid,none,none,polish_50,blog,"It's 11:14pm MST, and I'm sitting in my bedroom, fixing the personal computer of our personnel director from work. I don't mind doing favors, but I often wonder how frequently I end up fixing someone else's computer. I'm glad to be able to show love and care for people in this way. However, I sometimes question where the line is drawn before I'm taken advantage of. The last couple of weeks, I've been staying up late reading, so I was looking forward to an early night. Instead, I realized it would be more prudent to return the computer to its owner. No rest for the weary, right? I found myself watching Joe Schmo 2 again tonight, as I sit here working."
6,hybrid,none,none,polish_50,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga. So, after the weird lunch, my confidence took a hit. I forgot to share an important part of the story with you guys. Before Pat arrived for lunch, Dustin started talking about what a great guy Pat is and how he's trying to find him a girlfriend. I listened and nodded, realizing we were discussing finding Dustin's best friend a partner more than getting to know each other over pink lemonade. I excused myself to the bathroom, looked in the mirror, and silently asked myself: am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_50,blog,"I would like everyone to think before they act. Ideally, I'd like each person to make a conscious decision to think critically from the moment they wake up, and maintain that mindset throughout the day. If they're not willing to do so, I wish they would reconsider their daily activities. I'm frustrated with the lack of critical thinking in the world. I'm not claiming to be the most intelligent person, but I believe it's reasonable to expect a basic level of thoughtfulness. I'm not referring to complex issues, but rather simple, everyday decisions. Let's focus on a few specific examples for now, and save the rest for another time, if that sounds agreeable."
8,hybrid,none,none,polish_50,blog,"Two issues with the scenario outlined in my previous post: 1. While it's true that Bush is stimulating the economy, he's doing so in an ineffective manner. Robert Rubin, in an interview with NPR's Marketplace, suggested that the same stimulus effect could have been achieved without incurring long-term debt by implementing temporary tax cuts that benefit low and middle-income individuals. The mention of Robert Rubin's name is indeed reassuring. Can you think of a Bush administration cabinet official on the domestic side who possesses similar gravitas? 2. We cannot afford to give Republicans control solely during wartime, as they have cleverly created a perpetual, global 'war on terrorism.'"
10,hybrid,none,none,polish_50,blog,"Do you ever have one of those moments when you begin to reflect on life? Like you're sitting in math class, feeling utterly bored, and you wonder what exactly goes on in your brain that enables you to comprehend math? You realize that you exist, and you're in math class, and you wonder why. Then you realize how amazing existing is. And suddenly it hits you - the fact that you're going off on this random train of thought is incredibly pathetic. Ever had that happen? I hate that. You know what else I dislike? Block schedules. Who would ever come up with that idea? Sitting through a two and a half hour class in any subject is, in my opinion, a form of cruel and unusual punishment. Anyone can see that."
11,hybrid,none,none,polish_50,blog,"I think Monopoly has run its course in my life, and I vow to never touch that iron game piece again. Tonight, Andy beat me by a few dollars and won the game, or perhaps I let him win since he's leaving in a few hours and I wanted him to feel good on his last night here. Whatever the story may be, it can't compare to this Texas-sized headache I have at the moment. I've taken some Aleve, and I must say they're doing the trick. All I need now is some well-deserved rest and relaxation. Your telephone's the one that helped me wrap the cord around your neck... At the drive-in."
