domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,llama70b,average,0.28971243669881747,0.7102875633011825
blog,chatgpt-roberta,llama70b,average,0.14784534503456556,0.8521546549654344
blog,detectgpt,llama70b,average,0.3760435208566185,0.6239564791433815
blog,fastdetectgpt,llama70b,average,0.2695354003670434,0.7304645996329566
blog,gltr,llama70b,average,0.4843040664541679,0.5156959335458321
blog,gpt2-base,llama70b,average,0.1501807619599564,0.8498192380400436
blog,gpt2-large,llama70b,average,0.23373142360392432,0.7662685763960756
blog,llmdet,llama70b,average,0.7856935877799396,0.21430641222006044
blog,radar,llama70b,average,0.5005622938830705,0.4994377061169295
blog,zerogpt,llama70b,average,0.3155745056643347,0.6844254943356654
email_content,binoculars,llama70b,average,0.20484496124031007,0.79515503875969
email_content,chatgpt-roberta,llama70b,average,0.17242524916943522,0.8275747508305649
email_content,detectgpt,llama70b,average,0.2760797342192691,0.7239202657807309
email_content,fastdetectgpt,llama70b,average,0.220265780730897,0.7797342192691029
email_content,gltr,llama70b,average,0.33903654485049833,0.6609634551495017
email_content,gpt2-base,llama70b,average,0.3319767441860465,0.6680232558139535
email_content,gpt2-large,llama70b,average,0.5521040974529347,0.4478959025470653
email_content,llmdet,llama70b,average,0.8779900332225913,0.12200996677740862
email_content,radar,llama70b,average,0.40825027685492804,0.5917497231450719
email_content,zerogpt,llama70b,average,0.1993078626799557,0.8006921373200443
game_review,binoculars,llama70b,average,0.42070028011204486,0.5792997198879551
game_review,chatgpt-roberta,llama70b,average,0.2341736694677871,0.7658263305322129
game_review,detectgpt,llama70b,average,0.6079411764705882,0.3920588235294118
game_review,fastdetectgpt,llama70b,average,0.4285014005602241,0.5714985994397759
game_review,gltr,llama70b,average,0.5888795518207283,0.4111204481792717
game_review,gpt2-base,llama70b,average,0.41207282913165266,0.5879271708683473
game_review,gpt2-large,llama70b,average,0.34500000000000003,0.655
game_review,llmdet,llama70b,average,0.7710784313725491,0.228921568627451
game_review,radar,llama70b,average,0.32865546218487396,0.671344537815126
game_review,zerogpt,llama70b,average,0.3671428571428571,0.6328571428571428
news,binoculars,llama70b,average,0.21453200182512028,0.7854679981748797
news,chatgpt-roberta,llama70b,average,0.6940979135556662,0.3059020864443338
news,detectgpt,llama70b,average,0.4793170316907251,0.520682968309275
news,fastdetectgpt,llama70b,average,0.28316845030695204,0.716831549693048
news,gltr,llama70b,average,0.6304390658702506,0.36956093412974944
news,gpt2-base,llama70b,average,0.15776920524307284,0.8422307947569272
news,gpt2-large,llama70b,average,0.20390015762402522,0.7960998423759749
news,llmdet,llama70b,average,0.7785719470715114,0.22142805292848847
news,radar,llama70b,average,0.05000674050107848,0.9499932594989215
news,zerogpt,llama70b,average,0.4366392898622864,0.5633607101377136
paper_abstract,binoculars,llama70b,average,0.13892156862745098,0.861078431372549
paper_abstract,chatgpt-roberta,llama70b,average,0.029705882352941176,0.9702941176470589
paper_abstract,detectgpt,llama70b,average,0.31186274509803924,0.6881372549019609
paper_abstract,fastdetectgpt,llama70b,average,0.17362745098039217,0.8263725490196079
paper_abstract,gltr,llama70b,average,0.10872549019607843,0.8912745098039215
paper_abstract,gpt2-base,llama70b,average,0.13333333333333336,0.8666666666666667
paper_abstract,gpt2-large,llama70b,average,0.27637254901960784,0.7236274509803922
paper_abstract,llmdet,llama70b,average,0.3607843137254902,0.6392156862745098
paper_abstract,radar,llama70b,average,0.0,1.0
paper_abstract,zerogpt,llama70b,average,0.13960784313725488,0.8603921568627452
speech,binoculars,llama70b,average,0.37276710684273706,0.6272328931572629
speech,chatgpt-roberta,llama70b,average,0.5097779111644658,0.49022208883553425
speech,detectgpt,llama70b,average,0.5375250100040017,0.4624749899959984
speech,fastdetectgpt,llama70b,average,0.36135854341736695,0.638641456582633
speech,gltr,llama70b,average,0.6839115646258503,0.31608843537414966
speech,gpt2-base,llama70b,average,0.41294117647058826,0.5870588235294119
speech,gpt2-large,llama70b,average,0.31750500200080034,0.6824949979991997
speech,llmdet,llama70b,average,0.8281432573029213,0.17185674269707882
speech,radar,llama70b,average,0.3252280912364946,0.6747719087635053
speech,zerogpt,llama70b,average,0.5453461384553822,0.45465386154461784
