domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,extreme_minor,0.038461538461538464,0.9615384615384616
blog,chatgpt-roberta,gpt,extreme_minor,0.09615384615384616,0.9038461538461539
blog,detectgpt,gpt,extreme_minor,0.36538461538461536,0.6346153846153846
blog,fastdetectgpt,gpt,extreme_minor,0.07692307692307693,0.9230769230769231
blog,gltr,gpt,extreme_minor,0.3269230769230769,0.6730769230769231
blog,gpt2-base,gpt,extreme_minor,0.07692307692307693,0.9230769230769231
blog,gpt2-large,gpt,extreme_minor,0.19230769230769232,0.8076923076923077
blog,llmdet,gpt,extreme_minor,0.7692307692307693,0.23076923076923078
blog,radar,gpt,extreme_minor,0.34615384615384615,0.6538461538461539
blog,zerogpt,gpt,extreme_minor,0.019230769230769232,0.9807692307692307
email_content,binoculars,gpt,extreme_minor,0.023255813953488372,0.9767441860465116
email_content,chatgpt-roberta,gpt,extreme_minor,0.11627906976744186,0.8837209302325582
email_content,detectgpt,gpt,extreme_minor,0.23255813953488372,0.7674418604651163
email_content,fastdetectgpt,gpt,extreme_minor,0.16279069767441862,0.8372093023255814
email_content,gltr,gpt,extreme_minor,0.16279069767441862,0.8372093023255814
email_content,gpt2-base,gpt,extreme_minor,0.3023255813953488,0.6976744186046512
email_content,gpt2-large,gpt,extreme_minor,0.5348837209302325,0.46511627906976744
email_content,llmdet,gpt,extreme_minor,0.8837209302325582,0.11627906976744186
email_content,radar,gpt,extreme_minor,0.3953488372093023,0.6046511627906976
email_content,zerogpt,gpt,extreme_minor,0.06976744186046512,0.9302325581395349
game_review,binoculars,gpt,extreme_minor,0.1,0.9
game_review,chatgpt-roberta,gpt,extreme_minor,0.14,0.86
game_review,detectgpt,gpt,extreme_minor,0.42,0.58
game_review,fastdetectgpt,gpt,extreme_minor,0.26,0.74
game_review,gltr,gpt,extreme_minor,0.46,0.54
game_review,gpt2-base,gpt,extreme_minor,0.42,0.58
game_review,gpt2-large,gpt,extreme_minor,0.4,0.6
game_review,llmdet,gpt,extreme_minor,0.82,0.18
game_review,radar,gpt,extreme_minor,0.14,0.86
game_review,zerogpt,gpt,extreme_minor,0.04,0.96
news,binoculars,gpt,extreme_minor,0.08,0.92
news,chatgpt-roberta,gpt,extreme_minor,0.6,0.4
news,detectgpt,gpt,extreme_minor,0.54,0.46
news,fastdetectgpt,gpt,extreme_minor,0.1,0.9
news,gltr,gpt,extreme_minor,0.64,0.36
news,gpt2-base,gpt,extreme_minor,0.12,0.88
news,gpt2-large,gpt,extreme_minor,0.2,0.8
news,llmdet,gpt,extreme_minor,0.7,0.3
news,radar,gpt,extreme_minor,0.02,0.98
news,zerogpt,gpt,extreme_minor,0.16,0.84
paper_abstract,binoculars,gpt,extreme_minor,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,gpt,extreme_minor,0.09803921568627451,0.9019607843137255
paper_abstract,detectgpt,gpt,extreme_minor,0.29411764705882354,0.7058823529411765
paper_abstract,fastdetectgpt,gpt,extreme_minor,0.11764705882352941,0.8823529411764706
paper_abstract,gltr,gpt,extreme_minor,0.1568627450980392,0.8431372549019608
paper_abstract,gpt2-base,gpt,extreme_minor,0.19607843137254902,0.803921568627451
paper_abstract,gpt2-large,gpt,extreme_minor,0.3333333333333333,0.6666666666666666
paper_abstract,llmdet,gpt,extreme_minor,0.47058823529411764,0.5294117647058824
paper_abstract,radar,gpt,extreme_minor,0.0,1.0
paper_abstract,zerogpt,gpt,extreme_minor,0.0392156862745098,0.9607843137254902
speech,binoculars,gpt,extreme_minor,0.06,0.94
speech,chatgpt-roberta,gpt,extreme_minor,0.38,0.62
speech,detectgpt,gpt,extreme_minor,0.46,0.54
speech,fastdetectgpt,gpt,extreme_minor,0.14,0.86
speech,gltr,gpt,extreme_minor,0.68,0.32
speech,gpt2-base,gpt,extreme_minor,0.4,0.6
speech,gpt2-large,gpt,extreme_minor,0.3,0.7
speech,llmdet,gpt,extreme_minor,0.86,0.14
speech,radar,gpt,extreme_minor,0.16,0.84
speech,zerogpt,gpt,extreme_minor,0.24,0.76
