domain,model,polisher,polish_type,ai_rate,human_rate
blog,binoculars,gpt,5,0.019230769230769232,0.9807692307692307
blog,chatgpt-roberta,gpt,5,0.019230769230769232,0.9807692307692307
blog,detectgpt,gpt,5,0.21153846153846154,0.7884615384615384
blog,fastdetectgpt,gpt,5,0.019230769230769232,0.9807692307692307
blog,gltr,gpt,5,0.21153846153846154,0.7884615384615384
blog,gpt2-base,gpt,5,0.057692307692307696,0.9423076923076923
blog,gpt2-large,gpt,5,0.1346153846153846,0.8653846153846154
blog,llmdet,gpt,5,0.6538461538461539,0.34615384615384615
blog,radar,gpt,5,0.28846153846153844,0.7115384615384616
blog,zerogpt,gpt,5,0.0,1.0
email_content,binoculars,gpt,5,0.0,1.0
email_content,chatgpt-roberta,gpt,5,0.09302325581395349,0.9069767441860465
email_content,detectgpt,gpt,5,0.20930232558139536,0.7906976744186046
email_content,fastdetectgpt,gpt,5,0.18604651162790697,0.813953488372093
email_content,gltr,gpt,5,0.13953488372093023,0.8604651162790697
email_content,gpt2-base,gpt,5,0.3488372093023256,0.6511627906976745
email_content,gpt2-large,gpt,5,0.4418604651162791,0.5581395348837209
email_content,llmdet,gpt,5,0.7906976744186046,0.20930232558139536
email_content,radar,gpt,5,0.3953488372093023,0.6046511627906976
email_content,zerogpt,gpt,5,0.046511627906976744,0.9534883720930233
game_review,binoculars,gpt,5,0.11764705882352941,0.8823529411764706
game_review,chatgpt-roberta,gpt,5,0.1568627450980392,0.8431372549019608
game_review,detectgpt,gpt,5,0.39215686274509803,0.6078431372549019
game_review,fastdetectgpt,gpt,5,0.13725490196078433,0.8627450980392157
game_review,gltr,gpt,5,0.4117647058823529,0.5882352941176471
game_review,gpt2-base,gpt,5,0.43137254901960786,0.5686274509803921
game_review,gpt2-large,gpt,5,0.37254901960784315,0.6274509803921569
game_review,llmdet,gpt,5,0.7450980392156863,0.2549019607843137
game_review,radar,gpt,5,0.0784313725490196,0.9215686274509803
game_review,zerogpt,gpt,5,0.0,1.0
news,binoculars,gpt,5,0.061224489795918366,0.9387755102040817
news,chatgpt-roberta,gpt,5,0.4897959183673469,0.5102040816326531
news,detectgpt,gpt,5,0.4897959183673469,0.5102040816326531
news,fastdetectgpt,gpt,5,0.16326530612244897,0.8367346938775511
news,gltr,gpt,5,0.46938775510204084,0.5306122448979592
news,gpt2-base,gpt,5,0.12244897959183673,0.8775510204081632
news,gpt2-large,gpt,5,0.1836734693877551,0.8163265306122449
news,llmdet,gpt,5,0.673469387755102,0.32653061224489793
news,radar,gpt,5,0.02040816326530612,0.9795918367346939
news,zerogpt,gpt,5,0.10204081632653061,0.8979591836734694
paper_abstract,binoculars,gpt,5,0.11764705882352941,0.8823529411764706
paper_abstract,chatgpt-roberta,gpt,5,0.0392156862745098,0.9607843137254902
paper_abstract,detectgpt,gpt,5,0.3137254901960784,0.6862745098039216
paper_abstract,fastdetectgpt,gpt,5,0.09803921568627451,0.9019607843137255
paper_abstract,gltr,gpt,5,0.09803921568627451,0.9019607843137255
paper_abstract,gpt2-base,gpt,5,0.21568627450980393,0.7843137254901961
paper_abstract,gpt2-large,gpt,5,0.3333333333333333,0.6666666666666666
paper_abstract,llmdet,gpt,5,0.5098039215686274,0.49019607843137253
paper_abstract,radar,gpt,5,0.0,1.0
paper_abstract,zerogpt,gpt,5,0.0392156862745098,0.9607843137254902
speech,binoculars,gpt,5,0.0196078431372549,0.9803921568627451
speech,chatgpt-roberta,gpt,5,0.4117647058823529,0.5882352941176471
speech,detectgpt,gpt,5,0.45098039215686275,0.5490196078431373
speech,fastdetectgpt,gpt,5,0.09803921568627451,0.9019607843137255
speech,gltr,gpt,5,0.6666666666666666,0.3333333333333333
speech,gpt2-base,gpt,5,0.4117647058823529,0.5882352941176471
speech,gpt2-large,gpt,5,0.2549019607843137,0.7450980392156863
speech,llmdet,gpt,5,0.8627450980392157,0.13725490196078433
speech,radar,gpt,5,0.17647058823529413,0.8235294117647058
speech,zerogpt,gpt,5,0.1568627450980392,0.8431372549019608
