id,model,decoding,repetition_penalty,attack,domain,generation
1,hybrid,none,none,polish_35,blog,"Another week flew by me. I drove by the new house yesterday and the front window was covered in boxes. We may get the keys at closing, I'm getting so excited. If everything goes well this week, we'll be set for closing a week from Wednesday. I was up until after 3 00 am last night watching movies with Bethany. There has been a lot of movie watching going on around here lately. Here's my rundown  last night we watched thirteen, a movie every mother of a teen should see. It was better than I expected. Then we watched Gigli, yeah, it was just as bad as the media said it was, but we had to see for ourselves."
2,hybrid,none,none,polish_35,blog,"Summer television used to be a barren landscape of reruns, but now there are two exceptional new shows that have captivated my attention. One of these shows is 'Blow Out', a concept that initially seems absurd  hairstylist Jonathan Antin aims to open a second location for his successful West Hollywood salon in Beverly Hills. Typically, I wouldn't give this story a second thought, but while channel surfing, I stumbled upon Jonathan, who was enthusiastically discussing his vision for the new salon on Rodeo Drive. His bombastic declaration, 'I'm going to build the greatest salon in the history of the world!' was both cringe-worthy and intriguing. Not since Rocco have I found someone as fascinatingly flawed to watch."
3,hybrid,none,none,polish_35,blog,"What a week has been challenging. My right shoulder has tendonitis, located under my shoulder blade. When I move my arm excessively, especially while using a mouse on a computer, it becomes unbearable. I'm currently struggling to draw anything due to my recent marathon of updating my website and working on other online projects. Lack of sleep exacerbates my pain. I'm not thrilled at the moment, but I'm confident that I'll recover soon. My mother's surgery was a success, and her eyesight has partially recovered. She can now see fuzzy shapes and distinguish colors. Although she still has some vision loss, I'm hopeful that she'll regain her full sight soon."
4,hybrid,none,none,polish_35,blog,"Kindness of strangers... Attempted laundry with the kids in tow and realized how quickly the simplest tasks can become an ordeal. I learned how sweet strangers can be, without any expectation of reward. It wasn't like they were trying to get into my pants or anything. I had kid drool all over me and was wearing my 'wash-day' outfit. Also, I'm not sure I'll ever bathe again, so it's not like there was an incentive. I'm doing two things simultaneously. I'm composing an email and watching videos. I'm doing both tasks at my desk in my room."
5,hybrid,none,none,polish_35,blog,"It's 11 14 PM MST, and I'm sitting in my bedroom, fixing the personal computer of my job's personnel director. While I don't mind doing it, I sometimes wonder how often I find myself fixing someone else's computer as a favor. I'm grateful to be able to love and serve people this way, but where is the line drawn where it becomes taking advantage? The past couple of weeks, I've been staying up late reading and such, so I was looking forward to hitting the sack early, until I realized it would be more practical to get this computer out of my bedroom and back into its owner's hands. I found myself watching Joe Schmo 2 again tonight."
6,hybrid,none,none,polish_35,blog,"Remind me, what did I write about before this? Or, a continuation in the 'is this a date?' saga, so, after the weird lunch, my confidence shook, I forgot to tell you guys an important piece of the story. Before Pat shows up to lunch, Dusty starts talking about what a nice guy Pat is and how he's trying to find a girlfriend for him. I'm listening and nodding, realizing that we're talking more about finding Dusty's best friend a girl than discussing whatever it is you discuss with a stranger over pink lemonade. I excused myself to the bathroom, looked in the mirror, and then silently asked myself  Am I being pawned off to the other guy? Is this what happens now?"
7,hybrid,none,none,polish_35,blog,"I would like everyone to think before they act. Actually, I'd like each and every individual in the world to make a conscious decision before they start their day, making a commitment to think critically and reflect on their actions throughout the day. If they're not prepared to do so, I'd like them to take a moment to pause and reassess their priorities. I'm tired of people who act impulsively without considering the consequences. I'm not claiming to be the smartest person in the world, but I do think it's reasonable to call out thoughtless behavior. Let's focus on a few specific types of individuals today, and we'll save other topics for another time, sound good?"
8,hybrid,none,none,polish_35,blog,"Two problems with the scenario outlined in my previous post  1. True, the bush administration is stimulating the economy, but in the wrong way. Robert Rubin told NPR's Marketplace today that the administration could have achieved the same stimulus effect without the long-term debt hangover by enacting different tax cuts, targeted at low- and middle-income individuals. Ah, Robert Rubin. The sound of his name is music to our ears. Quickly, can you name a Bush administration cabinet official with Rubin's gravitas? Still thinking? It'll come to you... 2. We can't give the Republicans control only in wartime because they've ingeniously concocted an endless, global 'war on terrorism.'"
9,hybrid,none,none,polish_35,blog,"She's saying I'm on the run, chasing guys for fun. The Offspring haven't updated in a while, but not much to say... Went to the cove to see Supernova, they were good as usual. Got to chill with Tiago. Sat. Went to work, then out with Joe and Rach, met up with Steve, Tiago, and Tom. Came home at a quarter to 12 and woke up the next morning at a quarter to 7 for a meet. Got there a little late, but it's all good. I did my full-on floor and didn't fall, second on floor and vault, and third on beam, 29.45 all around. That's not bad because my meets get better as the season goes on."
10,hybrid,none,none,polish_35,blog,"Do you ever have one of those moments when you begin to reflect on life? Like, you're sitting in math class, bored out of your skull, and you wonder what exactly goes on in your brain that makes you understand math? And you realize that you exist and you're in math class, and you wonder why. Then you realize how amazing existing is. Suddenly, it hits you - the fact that you're going off on this random train of thought is incredibly pathetic. Ever had that happen? I hate that. You know what else I hate? Block schedules. Who would ever come up with that idea? Anyone can see that sitting through a two and a half hour class in any subject is cruel and unusual punishment."
